,Density,Tau,Na/Na+Ca,epsilon_H2OT_3550,sigma_epsilon_H2OT_3550,epsilon_H2Om_1635,sigma_epsilon_H2Om_1635,epsilon_CO2,sigma_epsilon_CO2
FR02MI02c,2767.970066203879,0.6501710486320669,0.4470643442726649,62.12741366696795,7.228189135759851,30.386535983874282,8.302859563151632,281.89677547332474,19.284401530294843
FR02MI03a,2756.8563118174766,0.64878720975382,0.45549193424747836,62.02865089767256,7.22090693915427,30.214593264282144,8.294290600911205,278.90325084804414,19.458928313148853
FR02MI03b,2752.559919805379,0.64878720975382,0.45549193424747836,62.02865089767256,7.22090693915427,30.214593264282144,8.294290600911205,278.90325084804414,19.458928313148853
FR02MI03c,2750.379888683422,0.64878720975382,0.45549193424747836,62.02865089767256,7.22090693915427,30.214593264282144,8.294290600911205,278.90325084804414,19.458928313148853
FR02MI04a,2720.3534014648885,0.6679685960197479,0.47452556307303473,63.397601327037215,7.3221074220181075,32.597890750683945,8.41268658133268,272.1424050109738,19.84995066699554
FR02MI04b,2721.320206928139,0.6679685960197479,0.47452556307303473,63.397601327037215,7.3221074220181075,32.597890750683945,8.41268658133268,272.1424050109738,19.84995066699554
FR02MI04c,2721.5263915239925,0.6679685960197479,0.47452556307303473,63.397601327037215,7.3221074220181075,32.597890750683945,8.41268658133268,272.1424050109738,19.84995066699554
FR02MI05a,2814.958626912428,0.6411717394468782,0.4709971257112228,61.48514475051677,7.180885559753453,29.268367011983486,8.247056844487068,273.39572466260734,19.777784239134988
FR02MI05b,2801.081798561132,0.6411717394468782,0.4709971257112228,61.48514475051677,7.180885559753453,29.268367011983486,8.247056844487068,273.39572466260734,19.777784239134988
FR02MI05c,2815.2033053648684,0.6411717394468782,0.4709971257112228,61.48514475051677,7.180885559753453,29.268367011983486,8.247056844487068,273.39572466260734,19.777784239134988
FR02MI05d,2803.2012628487923,0.6411717394468782,0.4709971257112228,61.48514475051677,7.180885559753453,29.268367011983486,8.247056844487068,273.39572466260734,19.777784239134988
FR02MI06a,2763.470368379538,0.6416082336490407,0.4864885529988029,61.516296770354195,7.183176988816973,29.322601649690085,8.249767696896496,267.8930875854943,20.0935744355295
FR02MI06b,2764.288262533436,0.6416082336490407,0.4864885529988029,61.516296770354195,7.183176988816973,29.322601649690085,8.249767696896496,267.8930875854943,20.0935744355295
FR02MI06c,2768.1287700873827,0.6416082336490407,0.4864885529988029,61.516296770354195,7.183176988816973,29.322601649690085,8.249767696896496,267.8930875854943,20.0935744355295
FR02MI07a,2761.2207328954214,0.6317152287473254,0.41902458575817575,60.81024596046219,7.131317052728487,28.093390507787333,8.188219237023016,291.8566463083914,18.697196168123572
FR02MI07b,2759.555272227833,0.6317152287473254,0.41902458575817575,60.81024596046219,7.131317052728487,28.093390507787333,8.188219237023016,291.8566463083914,18.697196168123572
FR02MI07c,2758.5994092758406,0.6317152287473254,0.41902458575817575,60.81024596046219,7.131317052728487,28.093390507787333,8.188219237023016,291.8566463083914,18.697196168123572
FR02MI08a,2725.542719223807,0.6610222400260743,0.44045852132899665,62.901848992548736,7.285393924049508,31.734802309115906,8.36990405193417,284.2431987937773,19.146982235956173
FR02MI08b,2723.825778707895,0.6610222400260743,0.44045852132899665,62.901848992548736,7.285393924049508,31.734802309115906,8.36990405193417,284.2431987937773,19.146982235956173
FR02MI08c,2723.3191627980864,0.6610222400260743,0.44045852132899665,62.901848992548736,7.285393924049508,31.734802309115906,8.36990405193417,284.2431987937773,19.146982235956173
FR02MI09a,2801.663241195988,0.6570026020073362,0.35568991826937063,62.614972688857556,7.26418233684144,31.235360138800985,8.345098975368323,314.3534558741527,17.329393750479294
FR02MI09b,2802.388090280172,0.6570026020073362,0.35568991826937063,62.614972688857556,7.26418233684144,31.235360138800985,8.345098975368323,314.3534558741527,17.329393750479294
FR02MI09c,2800.389391978366,0.6570026020073362,0.35568991826937063,62.614972688857556,7.26418233684144,31.235360138800985,8.345098975368323,314.3534558741527,17.329393750479294
FR02MI10a,2773.6097039698416,0.6581433970255675,0.33076843537055245,62.696389736008044,7.270199796741969,31.37710452900076,8.352142405340693,323.20569868367227,16.773065514634602
FR02MI10b,2777.026181889981,0.6581433970255675,0.33076843537055245,62.696389736008044,7.270199796741969,31.37710452900076,8.352142405340693,323.20569868367227,16.773065514634602
FR02MI10c,2778.6425181244645,0.6581433970255675,0.33076843537055245,62.696389736008044,7.270199796741969,31.37710452900076,8.352142405340693,323.20569868367227,16.773065514634602
FR04MI01a,2801.222283177503,0.6421327134255947,0.4509807833140655,61.553728205462825,7.185930707570968,29.387768541999108,8.253024408357852,280.50563556869236,19.36561594576333
FR04MI01b,2804.2755297934245,0.6421327134255947,0.4509807833140655,61.553728205462825,7.185930707570968,29.387768541999108,8.253024408357852,280.50563556869236,19.36561594576333
FR04MI01c,2803.1166284315136,0.6421327134255947,0.4509807833140655,61.553728205462825,7.185930707570968,29.387768541999108,8.253024408357852,280.50563556869236,19.36561594576333
FR04MI02a,2808.154831924414,0.6363566138343087,0.43443770802800347,61.141495538547105,7.155628068503833,28.670085083344645,8.21712340452535,286.3818235886006,19.021247636283306
FR04MI02b,2816.8526649156893,0.6363566138343087,0.43443770802800347,61.141495538547105,7.155628068503833,28.670085083344645,8.21712340452535,286.3818235886006,19.021247636283306
FR04MI02c,2812.5825411204046,0.6363566138343087,0.43443770802800347,61.141495538547105,7.155628068503833,28.670085083344645,8.21712340452535,286.3818235886006,19.021247636283306
FR04MI03a,2814.4167096801775,0.6678578044885081,0.31797161783035793,63.38969428047874,7.321521288092684,32.58412484376473,8.412005038557902,327.75119609708236,16.482885202649854
FR04MI03b,2814.1666441382063,0.6678578044885081,0.31797161783035793,63.38969428047874,7.321521288092684,32.58412484376473,8.412005038557902,327.75119609708236,16.482885202649854
FR04MI03c,2813.8538090387847,0.6678578044885081,0.31797161783035793,63.38969428047874,7.321521288092684,32.58412484376473,8.412005038557902,327.75119609708236,16.482885202649854
FR04MI04a,2795.7160699912697,0.6537428264149733,0.4272900524586244,62.38232677187687,7.246998680849879,30.830331280729737,8.324956784000053,288.92070872941855,18.871367057147435
FR04MI04b,2798.174366608173,0.6537428264149733,0.4272900524586244,62.38232677187687,7.246998680849879,30.830331280729737,8.324956784000053,288.92070872941855,18.871367057147435
FR04MI04c,2797.0573851242493,0.6537428264149733,0.4272900524586244,62.38232677187687,7.246998680849879,30.830331280729737,8.324956784000053,288.92070872941855,18.871367057147435
FR04MI05a,2792.290218259009,0.6510816139110585,0.4057324323082772,62.192399518999636,7.232982440426669,30.499674206030846,8.308495591246741,296.57808966220864,18.41512596703415
FR04MI05b,2792.8117256224555,0.6510816139110585,0.4057324323082772,62.192399518999636,7.232982440426669,30.499674206030846,8.308495591246741,296.57808966220864,18.41512596703415
FR04MI05c,2792.3836617365273,0.6510816139110585,0.4057324323082772,62.192399518999636,7.232982440426669,30.499674206030846,8.308495591246741,296.57808966220864,18.41512596703415
FR04MI07a,2825.4269921233818,0.663288221328851,0.35782057440880455,63.06356911195838,7.2973622995740515,32.016351696019925,8.383871742077735,313.5966355209482,17.376445526173658
FR04MI07b,2824.6602981042843,0.663288221328851,0.35782057440880455,63.06356911195838,7.2973622995740515,32.016351696019925,8.383871742077735,313.5966355209482,17.376445526173658
FR04MI07c,2822.116971805057,0.663288221328851,0.35782057440880455,63.06356911195838,7.2973622995740515,32.016351696019925,8.383871742077735,313.5966355209482,17.376445526173658
FR04MI08a,2775.637310010659,0.6568134050095361,0.38882103013157593,62.60146994678344,7.2631845538448685,31.211852310793134,8.343930568471306,302.58510934580454,18.052569871629615
FR04MI08b,2779.0425054660186,0.6568134050095361,0.38882103013157593,62.60146994678344,7.2631845538448685,31.211852310793134,8.343930568471306,302.58510934580454,18.052569871629615
FR04MI08c,2779.7105711925724,0.6568134050095361,0.38882103013157593,62.60146994678344,7.2631845538448685,31.211852310793134,8.343930568471306,302.58510934580454,18.052569871629615
FR04MI08d,2780.0500910591686,0.6568134050095361,0.38882103013157593,62.60146994678344,7.2631845538448685,31.211852310793134,8.343930568471306,302.58510934580454,18.052569871629615
FR06MI01a,2760.416331050354,0.6589353364730292,0.4988296274951875,62.752909417724645,7.274378283461843,31.47550342824354,8.357030264216867,263.5094725166837,20.343241187572364
FR06MI01b,2756.653464525015,0.6589353364730292,0.4988296274951875,62.752909417724645,7.274378283461843,31.47550342824354,8.357030264216867,263.5094725166837,20.343241187572364
FR06MI01c,2756.7213111723304,0.6589353364730292,0.4988296274951875,62.752909417724645,7.274378283461843,31.47550342824354,8.357030264216867,263.5094725166837,20.343241187572364
FR06MI02a,2736.131457399292,0.6563772474626364,0.4801086220701154,62.57034195359143,7.260884564501581,31.15765950268272,8.341236727944262,270.159272864998,19.96384896969044
FR06MI02b,2740.2051538899314,0.6563772474626364,0.4801086220701154,62.57034195359143,7.260884564501581,31.15765950268272,8.341236727944262,270.159272864998,19.96384896969044
FR06MI02c,2741.827213883774,0.6563772474626364,0.4801086220701154,62.57034195359143,7.260884564501581,31.15765950268272,8.341236727944262,270.159272864998,19.96384896969044
FR06MI03a,2652.2343973975944,0.6532136675290149,0.4180135007958821,62.344561394855,7.244210802388774,30.76458300657856,8.321684878104495,292.21578904574847,18.675826674733234
FR06MI03b,2667.121500686267,0.6532136675290149,0.4180135007958821,62.344561394855,7.244210802388774,30.76458300657856,8.321684878104495,292.21578904574847,18.675826674733234
FR06MI03c,2653.703795758511,0.6532136675290149,0.4180135007958821,62.344561394855,7.244210802388774,30.76458300657856,8.321684878104495,292.21578904574847,18.675826674733234
FR06MI04a,2789.096956149252,0.6708876047492346,0.3442815863014192,63.605927159078256,7.337556803070329,32.960579144073336,8.43063357296149,318.4057558533285,17.076114685304514
FR06MI04b,2788.2718264910804,0.6708876047492346,0.3442815863014192,63.605927159078256,7.337556803070329,32.960579144073336,8.43063357296149,318.4057558533285,17.076114685304514
FR06MI04c,2788.295333919489,0.6708876047492346,0.3442815863014192,63.605927159078256,7.337556803070329,32.960579144073336,8.43063357296149,318.4057558533285,17.076114685304514
FR06MI05a,2774.3894796568848,0.656731056362815,0.5143159235613868,62.59559283166133,7.262750282463917,31.201620447463867,8.343421990617394,258.0086580766005,20.654250032277947
FR06MI05b,2774.387837403064,0.656731056362815,0.5143159235613868,62.59559283166133,7.262750282463917,31.201620447463867,8.343421990617394,258.0086580766005,20.654250032277947
FR06MI05c,2773.926091784606,0.656731056362815,0.5143159235613868,62.59559283166133,7.262750282463917,31.201620447463867,8.343421990617394,258.0086580766005,20.654250032277947
FR06MI06a,2841.1900100453186,0.6316683691843638,0.3908578550943412,60.80690165479278,7.131071785041299,28.087568182066335,8.187927163609846,301.861618323858,18.096462160645938
FR06MI06b,2840.901638063573,0.6316683691843638,0.3908578550943412,60.80690165479278,7.131071785041299,28.087568182066335,8.187927163609846,301.861618323858,18.096462160645938
FR06MI06c,2842.571013112728,0.6316683691843638,0.3908578550943412,60.80690165479278,7.131071785041299,28.087568182066335,8.187927163609846,301.861618323858,18.096462160645938
FR06MI07a,2734.9059422861196,0.6574081401792372,0.4277474251987983,62.643915417336665,7.266321239701709,31.285748473217083,8.347603154554868,288.75824750803326,18.880978029941577
FR06MI07b,2738.8673536555248,0.6574081401792372,0.4277474251987983,62.643915417336665,7.266321239701709,31.285748473217083,8.347603154554868,288.75824750803326,18.880978029941577
FR06MI07c,2741.9500323470015,0.6574081401792372,0.4277474251987983,62.643915417336665,7.266321239701709,31.285748473217083,8.347603154554868,288.75824750803326,18.880978029941577
FR06MI08a,2822.5545361942427,0.6342845642976326,0.36017609863731465,60.993616075427376,7.144770640281685,28.412631821938177,8.204225935120062,312.75994083070304,17.428372872281642
FR06MI08b,2824.239561855887,0.6342845642976326,0.36017609863731465,60.993616075427376,7.144770640281685,28.412631821938177,8.204225935120062,312.75994083070304,17.428372872281642
FR06MI08c,2823.585375128933,0.6342845642976326,0.36017609863731465,60.993616075427376,7.144770640281685,28.412631821938177,8.204225935120062,312.75994083070304,17.428372872281642
CL05MI01a,,0.6587834317977641,0.37638373644715617,62.742068179894204,7.273576719185384,31.456629191224764,8.356092813953365,307.00290198016694,17.78316534056798
CL05MI01b,,0.6587834317977641,0.37638373644715617,62.742068179894204,7.273576719185384,31.456629191224764,8.356092813953365,307.00290198016694,17.78316534056798
CL05MI01c,,0.6587834317977641,0.37638373644715617,62.742068179894204,7.273576719185384,31.456629191224764,8.356092813953365,307.00290198016694,17.78316534056798
CL05MI02a,,0.6508986476083609,0.3588718098305112,62.179341453479,7.232019184658083,30.476940545216664,8.30736325354888,313.2232311276103,17.399631590229596
CL05MI02b,,0.6508986476083609,0.3588718098305112,62.179341453479,7.232019184658083,30.476940545216664,8.30736325354888,313.2232311276103,17.399631590229596
CL05MI02c,,0.6508986476083609,0.3588718098305112,62.179341453479,7.232019184658083,30.476940545216664,8.30736325354888,313.2232311276103,17.399631590229596
CL05MI05a,,0.6552012670607571,0.395541046085917,62.48641377166765,7.254684720978215,31.011543309775675,8.333971419508856,300.198124062738,18.19714470014269
CL05MI05b,,0.6552012670607571,0.395541046085917,62.48641377166765,7.254684720978215,31.011543309775675,8.333971419508856,300.198124062738,18.19714470014269
CL05MI05c,,0.6552012670607571,0.395541046085917,62.48641377166765,7.254684720978215,31.011543309775675,8.333971419508856,300.198124062738,18.19714470014269
SH01MI02a,,0.7075988624324534,0.556449101078971,66.22596156489327,7.532912110426887,37.52197251502487,8.654824181429847,243.04273011651372,21.488356903651223
SH01MI02b,,0.7075988624324534,0.556449101078971,66.22596156489327,7.532912110426887,37.52197251502487,8.654824181429847,243.04273011651372,21.488356903651223
SH01MI02c,,0.7075988624324534,0.556449101078971,66.22596156489327,7.532912110426887,37.52197251502487,8.654824181429847,243.04273011651372,21.488356903651223
SH01MI02d,,0.7075988624324534,0.556449101078971,66.22596156489327,7.532912110426887,37.52197251502487,8.654824181429847,243.04273011651372,21.488356903651223
SR1MI01a,,0.6757893981224908,0.27849844392473744,63.95576173568003,7.363528849116664,33.56962958825808,8.460730329441521,341.77227667618047,15.566321165382906
SR1MI01b,,0.6757893981224908,0.27849844392473744,63.95576173568003,7.363528849116664,33.56962958825808,8.460730329441521,341.77227667618047,15.566321165382906
