,PH_3550_M,PH_3550_STD,PH1635_BP,PH1635_BP_STD,PH1515_BP,PH1515_BP_STD,PH1430_BP,PH1430_BP_STD
FR06MI05c,0.8048895802770867,0.0003135233892836236,0.2040030531677774,0.0037049951288124997,0.12106379548958124,0.004848897900224793,0.11243401871989699,0.005646269049274283
FR06MI06a,0.7179152419756633,0.0001536919062904482,0.19514278623916292,0.003670441567653514,0.10571215278183212,0.004657192948112879,0.0997150220548603,0.0052754394205824975
FR06MI06b,0.7197070911396294,0.0002929012830482623,0.19161616952389515,0.003629428696034547,0.10584317778481939,0.004762997992766067,0.10100831373549814,0.005229076141549379
FR06MI06c,0.7093389454028074,0.0002816050026668484,0.19289908861011215,0.003681763899233212,0.10795752458583192,0.004867676002074422,0.1048539425230542,0.005500632564088166
FR06MI07a,1.0554462430968428,0.001653468260980855,0.2261289208149872,0.003651824917145204,0.11966691817430768,0.0047361574291577896,0.10939459734198918,0.005438748394509057
FR06MI07b,1.022429312129962,0.0026688819566969752,0.22497354303694617,0.0037208491168553427,0.12069414957974905,0.004702874414762332,0.11197287045518962,0.0052556039961271575
FR06MI07c,0.9968042111361161,0.001105674698377754,0.22908803882079798,0.003564936612893204,0.1251276485186204,0.004844506605581825,0.11215528689439362,0.005514698831364662
FR06MI08a,1.3068980163260946,0.004846208220308036,0.27979283258808124,0.0036741833085711306,0.18698577821270657,0.004938212385943423,0.18491650635123733,0.006016503875394832
FR06MI08b,1.2884882096724501,0.005616066657539497,0.2771871551234778,0.0036705690651854077,0.18526254989048455,0.004959230001428766,0.18290775368823742,0.005950976747653453
FR06MI08c,1.2956330274346375,0.0058707479113807685,0.277880492070054,0.0035941639195947706,0.1850718094141913,0.004884747214044447,0.18302549133552878,0.005950889983142488
