,H2OT_3550_SAT,H2Om_5200_M,H2Om_5200_M_STD,OH_4500_M,OH_4500_M_STD,P_H5200_S2N,P_H4500_S2N,ERR_5200,ERR_4500
FR01MI04b,*,3.202298811998063,0.748121080348247,4.274263400506515,1.0883877071392518,12.85620810844211,29.276079217652818,-,-
FR01MI04c,*,3.1279074119683816,0.7320160840849468,4.084454349318717,1.0280971144012596,9.940298841643687,23.49677079292188,-,-
FR02MI01a,-,2.5647537773467968,0.607643413824811,2.047734673488911,0.5172229386247947,6.567134860372822,6.324265874917509,-,-
FR02MI01b,-,3.212333467272808,0.6894936491475026,2.335587381228168,0.5398805438274196,6.015335329035632,5.63655929384593,-,-
FR02MI01c,-,2.287348741170378,0.4884240963484679,1.7533497948492844,0.4060693011051667,4.2853641087801035,6.04769641664416,-,-
FR02MI02a,*,3.7148952487938782,0.9716761448847038,3.00845430436433,0.8481102830485752,4.987902087576149,6.186040618812249,-,-
FR02MI02b,*,3.5902531139326586,0.9328576004994525,2.5509429907441463,0.7074713256774342,4.529446043697971,4.00919097501203,-,-
FR02MI02c,*,2.8524146152500514,0.7441766518801186,2.3308821450415302,0.6578284475187942,4.2265218483177724,5.236776035906484,-,-
FR02MI03a,-,3.9707977180545013,1.1502044010570438,2.720164577249317,0.8468276223167611,4.251059195655849,2.1710567782563275,-,*
FR02MI03b,-,2.882360165118904,0.8419854791303736,2.9824659791888055,0.9081077229182369,2.4374557683732987,4.064595227687619,*,-
FR02MI03c,-,2.8670738361553862,0.8306230195606201,3.568564831864878,1.0925373894246875,3.1040850236881448,3.9810819291619652,*,*
FR02MI04a,-,2.0532097957962345,0.48566718296328765,1.7077110628204033,0.4366836855047684,10.25494015422505,16.12178811467422,-,-
FR02MI04b,-,2.234281599382444,0.5470011239100067,1.5800887765889184,0.40313996179213085,6.783795568858417,10.949150769995,-,-
FR02MI04c,-,2.3040819758459232,0.5516326231942431,1.7386561747277056,0.45548102694972287,11.565786092858511,8.908161278320932,-,-
FR02MI05a,-,3.0050343769704226,0.857741470517648,1.927471249472407,0.5744355647263294,2.8639794492254507,2.4581028688894118,*,*
FR02MI05b,-,2.808480285074338,0.806495159515881,2.092115032219992,0.6209714684360805,2.597095987567585,3.059856261309692,*,*
FR02MI05c,-,4.544532229149563,1.2873087332532387,1.76908226510083,0.5537121524089081,4.9950228931327905,2.488317079185846,-,*
FR02MI05d,-,2.945737686761971,0.8605749061150589,2.651237359753448,0.7873728759143882,2.8871793351186574,2.8218410427589444,*,*
FR02MI06a,*,2.9647251127849072,0.8443857719116916,2.3192927048015366,0.676747370985669,3.286198708885705,6.412573985813939,*,-
FR02MI06b,*,2.5188552256400945,0.7245726963410886,2.761960769348294,0.8077138820097202,4.0487897311657886,7.143561144118223,-,-
FR02MI06c,*,2.6646139484336056,0.7406879810935952,2.204933818724702,0.6484409409213558,6.737270224643095,4.622301758493602,-,-
FR02MI07a,-,2.5398285593041905,0.7577257731091112,1.71138711877063,0.5293262375023383,8.838223419004173,8.4945259575413,-,-
FR02MI07b,-,2.2799360899458962,0.6771338338577819,2.0155804245896114,0.6218903220115114,5.382826465382659,12.696910816821287,-,-
FR02MI07c,-,2.6178487475287135,0.7930419050020672,1.9111338803667866,0.5901051223106303,6.786347262437726,6.1332017936234005,-,-
FR02MI08a,-,2.7268541141659908,0.6833701352337328,1.9192151553262797,0.5250114486851202,6.432301260705313,7.384334654482942,-,-
FR02MI08b,-,3.0390713146914043,0.7615840261436969,2.2447932284211864,0.6153731091442928,11.954155950680452,5.628564092491014,-,-
FR02MI08c,-,2.510993777745501,0.6302100394512078,2.048506080707744,0.5543035373960947,6.015126941120357,4.306592675482528,-,-
FR02MI09a,-,1.5212635046254286,0.37867246781144637,1.9398349223747495,0.5192768016246946,5.16630429498915,4.971255590429014,-,-
FR02MI09b,-,1.4868704466767577,0.37445291989187246,1.639775783383966,0.43551006723414243,3.6665912976454655,6.100411306312569,*,-
FR02MI09c,-,1.8530464072483621,0.46137395538626524,1.6212851697032533,0.4310308839968222,7.324213365629763,3.629233000668943,-,*
FR02MI10a,-,2.261087358891306,0.567596051646069,2.03135098021076,0.653940029174516,2.862375146953704,2.42254794904839,*,*
FR02MI10b,-,2.905254936150683,0.8860696336489257,2.2381488815933563,0.6792878930810253,3.7493055770606443,2.7597578044492224,*,*
FR02MI10c,-,2.31147981026325,0.5902161110107235,2.383688558242526,0.6369314268175038,2.7480150671418464,3.587352487469662,*,*
FR04MI01a,-,4.6965364165561345,1.2995223817209056,2.3131088375877096,0.6746743011868508,2.264716575439765,2.470100012728745,*,*
FR04MI01b,-,2.993947586104674,0.9905634660574365,2.038907832242705,0.6361256634203587,1.6287086077233364,2.0271809049365004,*,*
FR04MI01c,-,3.697716986021316,1.0286424290877076,3.2753496836294906,1.1491816229300147,2.0645956190338204,4.082233527858968,*,-
FR04MI02a,-,2.9479498795212726,0.8579431596691344,2.5240991384601386,0.7649398230555305,6.068915140248902,9.459294781857096,-,-
FR04MI02b,-,3.4692683578018717,1.042323469119249,1.8786708282528075,0.5647703601302791,2.81251400776798,5.824310068479885,*,-
FR04MI02c,-,2.6903207612728246,0.7753934236138376,2.055215744330311,0.6536408302247396,6.002696001515697,2.3010320375233086,-,*
FR04MI03a,-,0.931056382445374,0.26065048379911393,1.5203228227774432,0.4004384199657915,2.1546769287292613,4.853176678942906,*,-
FR04MI03b,-,0.7973730524980625,0.19874237169557712,2.1832201576625923,0.5707358474865759,2.6307909987048066,4.089557675184056,*,-
FR04MI03c,-,0.8626718614399738,0.20652019029204402,1.7395454699976527,0.4989546749458933,2.3487793192140725,6.100309514487719,*,-
FR04MI04a,-,2.9314474148112644,0.8087634341207182,2.724583786443489,0.7610154159714947,2.584329562581647,2.019052830092967,*,*
FR04MI04b,-,2.336845717585638,0.6085781255889536,3.223044007915829,0.8884200605736022,1.5651936579626744,3.749886824172826,*,*
FR04MI04c,-,2.9250869666007353,0.76639116658768,3.4575095908577147,0.9573592277016894,1.9339289125854415,3.3079786285800292,*,*
FR04MI05a,-,1.7323410753085664,0.47483707757499377,2.1582492028720583,0.6321710757560162,2.9665274437984124,3.718412628927377,*,*
