,H2OT_3550_M,H2OT_3550_STD,H2Om_1635_BP,H2Om_1635_STD,CO2_1515_BP,CO2_1515_STD,CO2_1430_BP,CO2_1430_STD
STD_C1_021920_256s_20x50_a,3.3897107714230117,0.3538782737220504,1.3041167513686232,0.23413800927735953,394.24401492899364,55.764981373888176,333.225106876409,55.84216136901227
STD_C1_021920_256s_20x50_b,3.388012329524004,0.35408034067980254,1.301503691020432,0.23386830316639495,381.4377662327283,54.465584395373924,321.24099719743884,54.958129918803586
STD_C1_021920_256s_20x50_c,3.3997949802197325,0.35549418795733356,1.299888218064218,0.23330788983309977,372.3401214122217,55.07940542535415,307.632162229466,54.79051055914861
STD_C1_022120_256s_20x50_a,3.345018810752879,0.34932125120563745,1.2779328721747574,0.22974168294849306,372.114689063021,53.1477846651864,233.4949797452137,50.212019139180676
STD_C1_022120_256s_20x50_b,3.3455666716273615,0.348984864834767,1.2774835238146014,0.22945723220630315,384.9307809828978,54.37043874383542,245.83499711443153,50.99787005967148
STD_C1_022120_256s_20x50_c,3.3381770414578464,0.3484656958505601,1.2787293614647053,0.22964739599264292,384.22919687603576,55.12300249751705,243.46111448443116,51.22865157774424
STD_CN92C_OL2_020320_256s_20x25_a,5.478819564253828,0.739881151621468,2.582841962987562,0.523137357062101,748.7084272070521,114.6654243826137,549.4113148389706,101.99381330087546
STD_CN92C_OL2_020320_256s_20x25_b,5.33427308669246,0.7199382498407079,2.5644950958950488,0.5213335439142502,694.6521027493259,109.73441850288509,469.9475836658113,95.91227363247282
STD_CN92C_OL2_020320_256s_20x25_c,5.5555070770304225,0.750243284367718,2.5891581455624904,0.525769163796264,759.469683948112,116.18906441114949,584.7818090903085,105.33343102880437
STD_CN92C_OL2_020520_256s_20x25_a,5.645678581056255,0.7617789952843474,2.639775369287431,0.5350193747347983,732.1219822413406,115.55253942195033,518.2798952536914,103.36310253348087
STD_CN92C_OL2_020520_256s_20x25_b,5.788828928463038,0.7811529695636888,2.632657933040302,0.5338824216435297,760.2243441176776,116.1024828506397,535.4885460930831,102.63444979704495
STD_CN92C_OL2_020520_256s_20x25_c,5.758892566712295,0.7761748616105995,2.6420776976094973,0.5348357539877457,774.7603876215128,116.70068987543137,549.5668221684369,102.8788976857982
STD_CN92C_OL2_021220_20x25_a,4.612995048665333,0.6212319560535586,2.4015926598525663,0.4881557736032356,328.0627747566556,75.7497632095476,232.3306278271572,72.26146849833373
STD_CN92C_OL2_021220_20x25_b,4.655120466671977,0.6277064233778574,2.412853226335563,0.48959385117524623,375.9469950176951,79.28426004722564,303.2937466792987,76.84656461291156
STD_CN92C_OL2_021220_20x25_c,4.682976525024713,0.6313538445854829,2.4144913491605253,0.489219954520479,384.0662225637615,81.70383142086223,310.1602523137056,79.10574737700438
STD_CN92C_OL2_021420_256s_20x25_a,5.146947982410629,0.6939109070678481,2.46228353506198,0.4999008373757013,398.6901965058003,88.39573436877053,510.2951992235482,97.39797220265439
STD_CN92C_OL2_021420_256s_20x25_b,5.122924027583753,0.6899570792800546,2.46462758102018,0.49874605524440296,387.743066905685,87.13462314636106,453.2685964564129,92.45301639707328
STD_CN92C_OL2_021420_256s_20x25_c,5.179637004961105,0.6986884440686643,2.4642343033235514,0.4992306504450969,389.8993171599739,87.85549634180688,461.11567759599484,94.65235635111223
STD_CN92C_OL2_021720_256s_20x25_a,5.147438246230563,0.6941104050861204,2.5807575304481825,0.5238478304049163,499.32970956632244,96.86203345110407,664.9162745409575,118.39978441515127
STD_CN92C_OL2_021720_256s_20x25_b,5.165320268704243,0.6973173807932027,2.5598104942856583,0.5186030648991632,488.8698888796217,93.93698551723314,649.3529124948416,113.00850529490332
STD_CN92C_OL2_021720_256s_20x25_c,5.174390831439784,0.6975125389153725,2.5790427917167396,0.5223337875035068,497.04806556473653,96.0505169054714,664.2024702960332,117.65806955425909
STD_CN92C_OL2_021920_256s_20x25_a,5.44237023099676,0.7341486109613676,2.651542391834717,0.5376517811008492,511.9800640685082,98.17855602643134,632.4151530007657,115.02525002237935
STD_CN92C_OL2_021920_256s_20x25_b,5.456070196279382,0.7355507507142722,2.623138113426485,0.5326375692602925,476.58165257760993,95.90524831164898,581.1586251231267,113.4534182016687
STD_CN92C_OL2_021920_256s_20x25_c,5.444303700478476,0.7351621987146306,2.6190719284683355,0.5310562008453984,480.5294297535228,92.959492859558,586.5252268507412,109.43208745815893
STD_CN92C_OL2_022120_256s_20x25_a,5.393492290325012,0.7263929038341774,2.628386511538336,0.5321710673559195,477.983447833776,93.92668147093659,650.0895583422732,116.07398308703873
STD_CN92C_OL2_022120_256s_20x25_b,5.350069547203451,0.7222241855761785,2.622987188700117,0.5324787428368831,451.02147993270177,89.94176546206924,668.7052286957862,112.10606390717362
STD_CN92C_OL2_022120_256s_20x25_c,5.363671290227419,0.7247990625152471,2.61930961249533,0.5304869088315672,470.2754008054271,93.63631330711182,685.5536601647995,117.17786510818642
STD_D1010_012821_256s_100x100_a,1.2058307816141387,0.08848341341534947,0.1648286773018401,0.027363085594009687,231.0921712151258,13.08869470524893,195.59316289912496,12.985994694294435
STD_D1010_012821_256s_100x100_b,1.2456143429617277,0.09142258775735149,0.16840473321153643,0.027879383719147197,233.95116630545664,13.381611496579664,195.18044781858345,13.009022951269808
STD_D1010_012821_256s_100x100_c,1.2595402096412083,0.09252877884786959,0.164515671605642,0.0273129423730059,223.78044743183668,13.065371483829672,188.49805504005832,13.092189527400041
STD_D1010_020320_256s_100x100_a,1.2008405652647662,0.08809817501949542,0.16973375728371826,0.02816451165649888,242.56234944280868,13.569492037950445,190.0365889506177,12.685791426354584
STD_D1010_020320_256s_100x100_b,1.19959741670191,0.08794718792082615,0.16584191963442985,0.027519290017327842,218.339344069704,12.82005279077679,171.9604840675958,12.434493382817742
STD_D1010_020320_256s_100x100_c,1.2064405107020766,0.08865598744560736,0.1669222697002603,0.027681495983459113,226.29685831468194,13.166660844138491,181.4936366037603,12.867350378694036
STD_D1010_020520_256s_100x100_a,1.2049750218390565,0.08851394130570256,0.15318947874773586,0.025455429280695312,154.0609143201002,11.219625915613602,133.80651723216798,11.508578788807371
STD_D1010_020520_256s_100x100_b,1.203704348034325,0.08825541251243511,0.15328896172398715,0.025479720040364803,152.290806375091,10.902762448571995,130.32601911814962,11.402684670019818
STD_D1010_020520_256s_100x100_c,1.1921483603486347,0.08745644999863866,0.1538202133860053,0.0255456013061427,149.94541390467245,10.925146378068982,128.63008710027484,11.186095848582934
STD_D1010_021220_256s_100x100_a,1.2109384383709638,0.08883657232591513,0.15603210359589112,0.025842759073068336,218.8044838209053,11.744365901343789,185.36736833564814,11.549007572909924
STD_D1010_021220_256s_100x100_b,1.210850954758526,0.08880497627566687,0.15531775797543923,0.025715919407170013,221.14380190984525,11.858058063504988,186.34634106397803,11.306715060641064
STD_D1010_021220_256s_100x100_c,1.208271403900895,0.08863037287288462,0.15516955069102029,0.025741618416019525,217.14187557532284,11.390727507154363,184.40629534520403,10.98378807791795
STD_D1010_021420_256s_100x100_a,1.1802411232094177,0.0866899811006522,0.16083002348622788,0.026623155774234002,199.31234230648016,12.091110959192847,160.01505777647287,12.037276582456986
STD_D1010_021420_256s_100x100_b,1.1926992135554377,0.08757861209964905,0.16209035818119089,0.026837499789022737,203.82387632422683,12.2956586273761,165.85766967150508,12.057370996583282
STD_D1010_021420_256s_100x100_c,1.2195569337768857,0.08945137419976805,0.1617304595916406,0.02679365810616611,212.41664773390963,12.397118645704342,175.27607220143096,12.340903502003858
STD_D1010_021720_256s_100x100_a,1.1933869746376795,0.08749892670471991,0.1695658671075986,0.02815132298596002,214.1521197928292,12.565995988690416,177.8276179673284,12.47559955653463
STD_D1010_021720_256s_100x100_b,1.184017870372235,0.08696005890572832,0.16877429993364235,0.028006196896184287,212.99982814585115,12.647039259649912,176.8031731202102,12.573197454365914
STD_D1010_021720_256s_100x100_c,1.1934109257662873,0.08753940822958853,0.16879985636430797,0.02801768619876088,214.3469731441301,12.741324144349873,179.12047153660438,12.60265307182463
STD_D1010_021720_256s_50x50_b,1.2002935560519656,0.08805300560713293,0.16811227443719753,0.027868993953872722,199.869641072849,12.433898561790446,164.29972176261904,12.63198637605305
STD_D1010_021720_256s_80x80_a,1.1766529223522226,0.08625716281530693,0.16852838528934844,0.027954914736087483,211.7606101977488,12.838484529751494,180.08987165925598,12.715733547003275
STD_D1010_021720_256s_80x80_b,1.1798003091301048,0.08659650565041076,0.17006994025799077,0.02823181231402593,212.73632118137246,12.745532740649375,178.4391583823634,12.733739946139906
