,P_H5200_M,P_H4500_M,P_H5200_STD,P_H4500_STD,S2N_P5200,S2N_P4500,ERR_5200,ERR_4500
FR02MI02c,0.018008258599958523,0.013055100099438945,0.00034467846488845944,0.0007702666492925531,4.2265218483177724,5.236776035906484,-,-
FR02MI03a,0.011822418681487134,0.007194259081482327,9.613828851466849e-05,0.00044269390627173444,4.251059195655849,2.1710567782563275,-,*
FR02MI03b,0.008568394812747255,0.007875697773778697,0.00030173719195696687,0.00010832812797044365,2.4374557683732987,4.064595227687619,*,-
FR02MI03c,0.008516202937826487,0.009415925998639023,9.048526960616549e-05,0.00036074274040575114,3.1040850236881448,3.9810819291619652,*,*
FR02MI04a,0.012323421503600796,0.00895814336879363,0.00017364406739465808,0.00028323551891831853,10.25494015422505,16.12178811467422,-,-
FR02MI04b,0.01341498538649707,0.008291620654603135,0.0008085455153197856,0.00022148354218644935,6.783795568858417,10.949150769995,-,-
FR02MI04c,0.013835126209759532,0.00912440486412685,0.0005078860102090155,0.0005686551623387277,11.565786092858511,8.908161278320932,-,-
FR02MI05a,0.013006434710504897,0.0074665283739408705,0.00035744178883209704,0.00018772440700552497,2.8639794492254507,2.4581028688894118,*,*
FR02MI05b,0.012095782682272474,0.008064364448274606,0.00047852363297372325,8.416517509443754e-05,2.597095987567585,3.059856261309692,*,*
FR02MI05c,0.01967142203426244,0.006853565810758847,0.0001256107529989996,0.0006273204957765016,4.9950228931327905,2.488317079185846,-,*
FR02MI05d,0.012696533286484088,0.010227316263096699,0.0007740829754245061,9.750689398946562e-05,2.8871793351186574,2.8218410427589444,*,*
FR02MI06a,0.015597204394952505,0.010915531484981892,0.0008873322112984885,0.000244673989182806,3.286198708885705,6.412573985813939,*,-
FR02MI06b,0.013251515166172867,0.012998906811413405,0.0009023212687663512,0.00039080406288302487,4.0487897311657886,7.143561144118223,-,-
FR02MI06c,0.014018341264806368,0.010377312217109894,0.00015306276567281612,0.0003723366560809119,6.737270224643095,4.622301758493602,-,-
FR02MI07a,0.013425987133649203,0.008181018218245096,0.0002950473318458967,0.00012491915974734,8.838223419004173,8.4945259575413,-,-
FR02MI07b,0.012044879762443275,0.009629355141036128,1.10799623237519e-05,7.322598613744485e-05,5.382826465382659,12.696910816821287,-,-
FR02MI07c,0.013825278482390324,0.009127203335790346,0.0006961368783073196,0.0002005922655630544,6.786347262437726,6.1332017936234005,-,-
FR02MI08a,0.01310144884764846,0.00810349068702028,0.00011120216687953275,0.0004543487371711791,6.432301260705313,7.384334654482942,-,-
FR02MI08b,0.014592330095408848,0.00947220631535191,3.735475245175648e-05,0.0005487348824902516,11.954155950680452,5.628564092491014,-,-
FR02MI08c,0.012054483497562662,0.008642338626378525,0.00016429989488911934,0.0003668444673398017,6.015126941120357,4.306592675482528,-,-
FR02MI09a,0.010209767071904558,0.011479732194597558,7.054869401406123e-05,0.0004021231773331822,5.16630429498915,4.971255590429014,-,-
FR02MI09b,0.009981524187349941,0.009706525461259621,0.0003664488459007977,0.00018984025690854564,3.6665912976454655,6.100411306312569,*,-
