,PH_3550_M,PH_3550_STD,H2OT_3550_MAX,H2OT_3550_SAT?,P_H1635_BP,P_H1635_STD,H2Om_1635_MAX,P_H1635_PCA1_BP,P_H1635_PCA1_STD,P_H1635_PCA2_BP,P_H1635_PCA2_STD,P_G1515_BP,P_G1515_STD,STD_G1515_BP,STD_G1515_STD,AMP_G1515_BP,AMP_G1515_STD,P_G1430_BP,P_G1430_STD,STD_G1430_BP,STD_G1430_STD,AMP_G1430_BP,AMP_G1430_STD,AVG_BL_BP,AVG_BL_STD,PCA1_BP,PCA1_STD,PCA2_BP,PCA2_STD,PCA3_BP,PCA3_STD,PCA4_BP,PCA4_STD,m_BP,m_STD,b_BP,b_STD
STD_CN92C_OL2_021720_256s_20x25_c,1.3768548237743568,0.005272760708074948,1.5244309999999999,-,0.34500226516489507,0.003694539020387416,0.2781816,-0.15543639435704884,0.01925295821086166,0.07568038107212118,0.015614251998529319,1517.4110594825245,2.904590085032711,25.3832579258287,2.8641252653975644,0.030234325870586966,0.004525210473708666,1420.0000000000002,1.2981999708797225,34.99999999999999,1.4727348709819696,0.04040195571058639,0.005222062454185527,0.044039186059371176,0.09262614078256098,-2.3018673514579553,1.1306198724231604,0.35365566359041606,0.05905325580063417,-0.23052907841009482,0.16177241569222114,0.292911573390533,0.07757801544721171,-0.0004981060984150705,0.0001851480498459838,0.5509940319763208,0.0625712904082211
STD_CN92C_OL2_021920_256s_20x25_a,1.4442594388100298,0.00524387925533086,1.573531,-,0.3537448970196538,0.0037528011399401272,0.2954015,-0.1507553571346941,0.019235911588434036,0.08269347087806614,0.015617166517022153,1517.9356118577255,2.9167633294825306,26.992772403605365,2.9655968486066846,0.031058692031381514,0.0045909169583273285,1420.0000000000002,1.258073185028394,34.99999999999999,1.638011629075381,0.038364750605604646,0.005197513907923942,0.013972457587090878,0.08483472556678211,-2.6299411582164463,1.0533619547246682,0.33851625826060255,0.05815595590713617,-0.28390063143551664,0.15511034217538552,0.30671846568542793,0.07129528906278312,-0.0005644151556665186,0.0001704176708465206,0.5882331007554091,0.05898834291129522
STD_CN92C_OL2_021920_256s_20x25_b,1.4476961829292094,0.006167119034682428,1.604852,-,0.34990738972173385,0.0036121037106533467,0.30949,-0.14884092952913755,0.01895399037038302,0.0743918125935858,0.015215699109484452,1519.011375287737,2.9406570744234033,26.57359177982202,3.0585867097805157,0.028907316599830597,0.004609465544498077,1420.0000000000002,1.5421899387086444,34.99999999999999,2.133973815164187,0.035250489145552455,0.005367723799636842,0.02967943113077229,0.08540094191203601,-2.3907419020724006,1.0821529940310122,0.3311444710863548,0.05835859978595285,-0.2759898717896789,0.16019787720972095,0.28547541386790687,0.071307818757662,-0.0005227642570416852,0.00017466252100637326,0.5855333498008658,0.0608608664993944
STD_CN92C_OL2_021920_256s_20x25_c,1.4447445187658505,0.006364911463164047,1.627897,-,0.34940620595251537,0.0036554812288112186,0.3090231,-0.1445262821644719,0.01899921395735945,0.07727595326032344,0.015258210169910741,1518.6110416669048,2.9745865211188165,26.70873567697917,3.065888424815992,0.02915020966855223,0.004375119401355326,1420.0000000000002,1.5123207887101826,34.99999999999999,1.889506598467371,0.035580200254048906,0.005037995259700201,0.05106300915442268,0.09194509925576373,-2.07782551083735,1.1110654029423996,0.3378409152374255,0.05876708963001554,-0.23734791640789127,0.15770476120558888,0.27648340864820786,0.07664397021181688,-0.0004714132132596112,0.00018225725970809933,0.5681209360335087,0.06122141852656813
STD_CN92C_OL2_022120_256s_20x25_a,1.431990766129686,0.004905521883377903,1.600198,-,0.3508276882780303,0.003649732216944438,0.31000170000000005,-0.166977550992511,0.01931578848084724,0.08543746100124762,0.014928564943883293,1518.7062326319303,2.7326716804202804,23.767370271659658,2.468053936290504,0.029010552027225384,0.004465536233773491,1420.0000000000002,0.8442384273791276,34.99999999999999,1.337282543965378,0.039456297158647784,0.005186828813612333,2.3852851140330503e-34,0.08270806380192416,-2.4659481485461168,1.0201521390448502,0.3623440105487981,0.05648565017444786,-0.2579453831000417,0.1486449718242949,0.27814589019264546,0.07002726605130416,-0.0005613377326093535,0.00016573270673902153,0.5903185440335216,0.05696766801302043
STD_CN92C_OL2_022120_256s_20x25_b,1.4210818536860954,0.0057270252296973845,1.582439,-,0.3502598136893299,0.0036432972521372687,0.3100478,-0.1658948153770333,0.019242884171710856,0.08673777103184531,0.015105482840791632,1517.6752657430952,2.8283993763402195,22.500000000000004,2.2912843317548477,0.02738607996251253,0.004303084480472372,1420.0000000000002,0.6805880805093225,34.99999999999999,1.1117707412099003,0.04060386407127571,0.004739369361367958,5.40574931942665e-34,0.07796640464847346,-2.2628674551358396,0.9503378071887646,0.39382192379311975,0.05528033932566877,-0.2212427721524598,0.13651200419292853,0.2653032234720705,0.06725700823956793,-0.0005404258067889277,0.0001548743269228537,0.579101639421673,0.05288550908810365
STD_CN92C_OL2_022120_256s_20x25_c,1.424499928045556,0.005290825704232129,1.592084,-,0.3497209025975956,0.0036469739633567845,0.3110757,-0.16982475625999194,0.019000421241054548,0.08539326711661478,0.015454445295226858,1517.9539127180117,2.8195882970435857,22.76833187329067,2.3319442915088673,0.02855127580720444,0.004487620501016869,1420.0000000000002,0.7193999449230717,34.99999999999999,0.9758326912143453,0.04162121088723935,0.005024638073862565,2.5195944474198727e-33,0.07578941656033639,-2.2641209895351055,0.9619865469300661,0.3863771030290507,0.05779217750808448,-0.21992426570762746,0.1420241756243316,0.27171802651522875,0.06645393572087845,-0.0005403262569763336,0.0001544394114153106,0.5793108904847528,0.054338113790002356
STD_D1010_012821_256s_100x100_a,2.710894807352858,0.0015865163670287263,2.915508,*,0.18563791225488496,0.0035842780766040393,0.7482745,-0.008790087223742705,0.018837434804619673,0.04436662287725251,0.016752301346851364,1523.1343684177425,1.336848680840959,34.99999999999999,0.9396067523199317,0.10948982828166838,0.0042136396763294065,1432.4538397267734,1.5682144444851558,34.99999999999999,1.1907991003969807,0.09267065044344465,0.004805571339778606,4.093778015359207,0.12049254503375224,2.7351609634214635,1.3723758244212154,-0.8548810194419496,0.0552590634128991,0.2825237941506417,0.18633784877858192,0.301156319239103,0.09491913919916138,-7.531966451975934e-05,0.000231114962357341,2.353189801820666,0.07308840385856677
STD_D1010_012821_256s_100x100_b,2.7991569773002367,0.0014659293131840893,3.012166,*,0.1895856885091546,0.003428208718736725,0.7478868000000001,-0.025386111959212556,0.0187272431243456,0.05986754586488503,0.017153120114791753,1522.806278062671,1.2679770689137573,34.99999999999999,1.0196079654556918,0.11079779325288175,0.004360730716519797,1431.5916292702225,1.6574183293816442,34.99999999999999,0.9203505503861943,0.09243622609759947,0.004826033279019142,4.317901080630625,0.11140012208850188,4.196070973957088,1.2262917422620516,-0.8785463467540591,0.05057947038149706,0.3721138218358333,0.16722954282388797,0.13053325529883728,0.09035088909934542,0.00024467794958331595,0.00020779596742301722,2.296292890548451,0.064905807996596
STD_D1010_012821_256s_100x100_c,2.83003501979007,0.0015701958159103915,3.0087,*,0.18518024324576854,0.0036672106417291006,0.7447599,0.003047024484838157,0.0188811575060003,0.04589401221434019,0.01731935977038805,1522.9905070294105,1.39320294435149,34.99999999999999,1.017796744875926,0.10596541736359771,0.00437479962228254,1432.3434209059583,1.6363306883226632,34.45093561320414,1.3401299218316367,0.0892583570359977,0.004965617130217065,4.040215672872488,0.11976765980805941,2.6859810752179496,1.4056640604904183,-0.8167664817617886,0.06048501525332146,0.2532289931226664,0.1925838497525338,0.2930311833390846,0.09400070964879996,-0.00010575622833774718,0.0002350734269711027,2.340806110805,0.07569017730904759
STD_D1010_020320_256s_100x100_a,2.6998185413621925,0.0008930219161529538,2.6691990000000003,*,0.19117233851044052,0.0032972283360081576,0.46058370000000004,-0.018816896670013676,0.017395455468444107,0.07526218358725813,0.016795241122928527,1522.7798041002513,1.292470919950029,34.99999999999999,0.9247436833623925,0.11493038402539907,0.004342307999129902,1432.6606619387767,1.6455314265396355,33.82256793687351,1.2517343985500524,0.0900427382779827,0.0047189871319497975,3.9379113300193005,0.11544515033475845,1.949889136989148,1.24145109925343,-0.9852225221000548,0.035473472687981525,0.1565847695122944,0.16899063285340676,0.3486331462698345,0.09109823941026857,-0.00024585396600194546,0.00021154761657380135,2.0740375569772644,0.0645237323963048
STD_D1010_020320_256s_100x100_b,2.697059073611084,0.0005313657756563438,2.670428,*,0.18679139068873274,0.003410473813549229,0.4623142,-0.004580640549502418,0.018226105793484833,0.05172250245390254,0.01694946365788693,1522.3328343949636,1.4111070635139527,34.99999999999999,1.0725576987031655,0.10345445098464695,0.004291171224965245,1432.498293068109,1.6974688805432514,32.116356852065145,1.5924898841583888,0.08147902773119918,0.0048075766636185326,3.9986904695438836,0.12688636522534943,2.0700468800177556,1.382989257551271,-0.9529486289679414,0.042834715987601905,0.043103723600460296,0.1859245448408665,0.23327201598572306,0.0995022471756818,-0.0001875689083732227,0.00023510675370640331,2.08429753753626,0.07198753439668289
STD_D1010_020320_256s_100x100_c,2.712248080622773,0.0005282940741109075,2.686412,*,0.1879946033433256,0.0033373931178687765,0.4628375,-0.010670714497574812,0.01777836813155354,0.058792824383704013,0.016785307866584852,1522.838156044333,1.3198409633876131,34.99999999999999,0.9767283358733084,0.10721715162444503,0.004383716784145003,1432.298081042181,1.6683848286111493,33.67315339788701,1.3880425335307145,0.08598984051098865,0.00493526668665446,4.126308251012876,0.11621094001794902,3.072344046270584,1.2482010427385488,-0.952783218255311,0.038481566539235595,0.16830230062464138,0.16985936540866226,0.17410588288063683,0.09297094188764626,1.1128442674220965e-05,0.00021265747774187923,2.0399093126567203,0.06492112684361388
