,Density_F,Tau,epsilon_H2Om_5200,sigma_epsilon_H2Om_5200,epsilon_OH_4500,sigma_epsilon_OH_4500
STD_CN92C_OL2_021920_256s_20x25_a,2718.3330213448776,0.6597528305721314,0.7932728324192562,0.2908085572187642,0.6978613885583269,0.2702277172962116
STD_CN92C_OL2_021920_256s_20x25_b,2717.9596738585487,0.6597528305721314,0.7932728324192562,0.2908085572187642,0.6978613885583269,0.2702277172962116
STD_CN92C_OL2_021920_256s_20x25_c,2718.2803185651646,0.6597528305721314,0.7932728324192562,0.2908085572187642,0.6978613885583269,0.2702277172962116
STD_CN92C_OL2_022120_256s_20x25_a,2719.666701613466,0.6597528305721314,0.7932728324192562,0.2908085572187642,0.6978613885583269,0.2702277172962116
STD_CN92C_OL2_022120_256s_20x25_b,2720.853728326064,0.6597528305721314,0.7932728324192562,0.2908085572187642,0.6978613885583269,0.2702277172962116
STD_CN92C_OL2_022120_256s_20x25_c,2720.4816813425255,0.6597528305721314,0.7932728324192562,0.2908085572187642,0.6978613885583269,0.2702277172962116
STD_D1010_012821_256s_100x100_a,2831.9118083267963,0.6585005613973198,0.7874178128288878,0.2905339210141859,0.693437720148383,0.26997490079437897
STD_D1010_012821_256s_100x100_b,2831.9118083267963,0.6585005613973198,0.7874178128288878,0.2905339210141859,0.693437720148383,0.26997490079437897
STD_D1010_012821_256s_100x100_c,2831.9118083267963,0.6585005613973198,0.7874178128288878,0.2905339210141859,0.693437720148383,0.26997490079437897
STD_D1010_020320_256s_100x100_a,2831.9118083267963,0.6585005613973198,0.7874178128288878,0.2905339210141859,0.693437720148383,0.26997490079437897
STD_D1010_020320_256s_100x100_b,2831.9118083267963,0.6585005613973198,0.7874178128288878,0.2905339210141859,0.693437720148383,0.26997490079437897
STD_D1010_020320_256s_100x100_c,2831.9118083267963,0.6585005613973198,0.7874178128288878,0.2905339210141859,0.693437720148383,0.26997490079437897
STD_D1010_020520_256s_100x100_a,2831.9118083267963,0.6585005613973198,0.7874178128288878,0.2905339210141859,0.693437720148383,0.26997490079437897
STD_D1010_020520_256s_100x100_b,2831.9118083267963,0.6585005613973198,0.7874178128288878,0.2905339210141859,0.693437720148383,0.26997490079437897
STD_D1010_020520_256s_100x100_c,2831.9118083267963,0.6585005613973198,0.7874178128288878,0.2905339210141859,0.693437720148383,0.26997490079437897
STD_D1010_021220_256s_100x100_a,2831.9118083267963,0.6585005613973198,0.7874178128288878,0.2905339210141859,0.693437720148383,0.26997490079437897
STD_D1010_021220_256s_100x100_b,2831.9118083267963,0.6585005613973198,0.7874178128288878,0.2905339210141859,0.693437720148383,0.26997490079437897
STD_D1010_021220_256s_100x100_c,2831.9118083267963,0.6585005613973198,0.7874178128288878,0.2905339210141859,0.693437720148383,0.26997490079437897
STD_D1010_021420_256s_100x100_a,2831.9118083267963,0.6585005613973198,0.7874178128288878,0.2905339210141859,0.693437720148383,0.26997490079437897
STD_D1010_021420_256s_100x100_b,2831.9118083267963,0.6585005613973198,0.7874178128288878,0.2905339210141859,0.693437720148383,0.26997490079437897
STD_D1010_021420_256s_100x100_c,2831.9118083267963,0.6585005613973198,0.7874178128288878,0.2905339210141859,0.693437720148383,0.26997490079437897
STD_D1010_021720_256s_100x100_a,2831.9118083267963,0.6585005613973198,0.7874178128288878,0.2905339210141859,0.693437720148383,0.26997490079437897
STD_D1010_021720_256s_100x100_b,2831.9118083267963,0.6585005613973198,0.7874178128288878,0.2905339210141859,0.693437720148383,0.26997490079437897
STD_D1010_021720_256s_100x100_c,2831.9118083267963,0.6585005613973198,0.7874178128288878,0.2905339210141859,0.693437720148383,0.26997490079437897
STD_D1010_021720_256s_50x50_b,2831.9118083267963,0.6585005613973198,0.7874178128288878,0.2905339210141859,0.693437720148383,0.26997490079437897
STD_D1010_021720_256s_80x80_a,2831.9118083267963,0.6585005613973198,0.7874178128288878,0.2905339210141859,0.693437720148383,0.26997490079437897
STD_D1010_021720_256s_80x80_b,2831.9118083267963,0.6585005613973198,0.7874178128288878,0.2905339210141859,0.693437720148383,0.26997490079437897
STD_D1010_021720_256s_80x80_c,2831.9118083267963,0.6585005613973198,0.7874178128288878,0.2905339210141859,0.693437720148383,0.26997490079437897
STD_D1010_021920_256s_100x100_a,2831.9118083267963,0.6585005613973198,0.7874178128288878,0.2905339210141859,0.693437720148383,0.26997490079437897
STD_D1010_021920_256s_100x100_b,2831.9118083267963,0.6585005613973198,0.7874178128288878,0.2905339210141859,0.693437720148383,0.26997490079437897
STD_D1010_021920_256s_100x100_c,2831.9118083267963,0.6585005613973198,0.7874178128288878,0.2905339210141859,0.693437720148383,0.26997490079437897
STD_D1010_022120_256s_100x100_a,2831.9118083267963,0.6585005613973198,0.7874178128288878,0.2905339210141859,0.693437720148383,0.26997490079437897
STD_D1010_022120_256s_100x100_b,2831.9118083267963,0.6585005613973198,0.7874178128288878,0.2905339210141859,0.693437720148383,0.26997490079437897
STD_D1010_022120_256s_100x100_c,2831.9118083267963,0.6585005613973198,0.7874178128288878,0.2905339210141859,0.693437720148383,0.26997490079437897
STD_D1010_030920_256s_100x100_a,2831.9118083267963,0.6585005613973198,0.7874178128288878,0.2905339210141859,0.693437720148383,0.26997490079437897
STD_D1010_030920_256s_100x100_b,2831.9118083267963,0.6585005613973198,0.7874178128288878,0.2905339210141859,0.693437720148383,0.26997490079437897
STD_D1010_030920_256s_100x100_c,2831.9118083267963,0.6585005613973198,0.7874178128288878,0.2905339210141859,0.693437720148383,0.26997490079437897
STD_D1010_031020_256s_100x100_a,2831.9118083267963,0.6585005613973198,0.7874178128288878,0.2905339210141859,0.693437720148383,0.26997490079437897
STD_D1010_031020_256s_100x100_b,2831.9118083267963,0.6585005613973198,0.7874178128288878,0.2905339210141859,0.693437720148383,0.26997490079437897
STD_D1010_031020_256s_100x100_c,2831.9118083267963,0.6585005613973198,0.7874178128288878,0.2905339210141859,0.693437720148383,0.26997490079437897
STD_ETF46_020320_256s_15x15_a,2861.935734013262,0.5700847136911034,0.37402704123473685,0.2706414864426253,0.38110679297752403,0.25204065711264884
STD_ETF46_020320_256s_15x15_b,2863.0294579336764,0.5700847136911034,0.37402704123473685,0.2706414864426253,0.38110679297752403,0.25204065711264884
STD_ETF46_020320_256s_15x15_c,2862.502076879423,0.5700847136911034,0.37402704123473685,0.2706414864426253,0.38110679297752403,0.25204065711264884
STD_ETF46_020520_256s_15x15_a,2866.8455724973182,0.5700847136911034,0.37402704123473685,0.2706414864426253,0.38110679297752403,0.25204065711264884
STD_ETF46_020520_256s_15x15_b,2867.436785060399,0.5700847136911034,0.37402704123473685,0.2706414864426253,0.38110679297752403,0.25204065711264884
STD_ETF46_020520_256s_15x15_c,2865.659161419602,0.5700847136911034,0.37402704123473685,0.2706414864426253,0.38110679297752403,0.25204065711264884
STD_ETF46_021220_256s_15x20_a,2858.8946967510506,0.5700847136911034,0.37402704123473685,0.2706414864426253,0.38110679297752403,0.25204065711264884
STD_ETF46_021220_256s_15x20_b,2859.84119002363,0.5700847136911034,0.37402704123473685,0.2706414864426253,0.38110679297752403,0.25204065711264884
STD_ETF46_021220_256s_15x20_c,2858.544701652821,0.5700847136911034,0.37402704123473685,0.2706414864426253,0.38110679297752403,0.25204065711264884
STD_ETF46_021420_256s_15x20_a,2862.7593582381846,0.5700847136911034,0.37402704123473685,0.2706414864426253,0.38110679297752403,0.25204065711264884
STD_ETF46_021420_256s_15x20_b,2862.4523477026505,0.5700847136911034,0.37402704123473685,0.2706414864426253,0.38110679297752403,0.25204065711264884
STD_ETF46_021420_256s_15x20_c,2861.219600713169,0.5700847136911034,0.37402704123473685,0.2706414864426253,0.38110679297752403,0.25204065711264884
STD_ETF46_021720_256s_15x20_a,2866.591241671927,0.5700847136911034,0.37402704123473685,0.2706414864426253,0.38110679297752403,0.25204065711264884
STD_ETF46_021720_256s_15x20_b,2862.234694949338,0.5700847136911034,0.37402704123473685,0.2706414864426253,0.38110679297752403,0.25204065711264884
STD_ETF46_021720_256s_15x20_c,2861.210437622469,0.5700847136911034,0.37402704123473685,0.2706414864426253,0.38110679297752403,0.25204065711264884
STD_ETF46_021920_256s_15x20_a,2864.53058465051,0.5700847136911034,0.37402704123473685,0.2706414864426253,0.38110679297752403,0.25204065711264884
STD_ETF46_021920_256s_15x20_b,2864.080394743502,0.5700847136911034,0.37402704123473685,0.2706414864426253,0.38110679297752403,0.25204065711264884
