,P_H5200_M,P_H4500_M,P_H5200_STD,P_H4500_STD,S2N_P5200,S2N_P4500,ERR_5200,ERR_4500
STD_C1_021720_256s_20x50_a,0.007797471292370133,0.015729366412499664,0.0005107624459769317,0.000142945483214093,3.8868659364065423,8.541576021027492,*,-
STD_C1_021720_256s_20x50_b,0.0077908885382678055,0.015934990492821415,0.0008670180793156006,0.00019250208578404588,3.842029344532127,8.304000978574068,*,-
STD_C1_021720_256s_20x50_c,0.008503778606056564,0.015943245362128988,0.0011348684512954355,0.0004277471132930409,4.199026384127774,8.071021727977135,-,-
STD_C1_021920_256s_20x50_a,0.00431656683146901,0.017674132898834686,0.00042218052790392134,0.000720230151470549,2.5546383356512457,10.169591556700647,*,-
STD_C1_021920_256s_20x50_b,0.00444021589228477,0.017837512133898354,0.00038267953090807583,0.0007795263461344068,3.350529243623372,11.086428924700465,*,-
STD_C1_021920_256s_20x50_c,0.00420672512417374,0.017885534986557036,0.00030754333726853945,0.0008632668538471057,2.3236115748098105,9.88820857715213,*,-
STD_C1_022120_256s_20x50_a,0.004439489237653649,0.018036032159268998,0.00017513748193081775,0.0012300622518016165,2.553418063003699,8.397160262459257,*,-
STD_C1_022120_256s_20x50_b,0.004292647049654686,0.017805352824242438,9.50506296293955e-06,0.0009588861197187525,2.3342374390841165,9.649273311062517,*,-
STD_C1_022120_256s_20x50_c,0.00439928362808053,0.017698682844667416,8.875155356354325e-05,0.0012161169396700678,3.2053793892752385,8.278054708004532,*,-
STD_CN92C_OL2_020320_256s_20x25_a,0.015070491697973878,0.013353953683062601,5.426426755420082e-05,0.00024356677912138624,13.845441771914272,11.229065876230885,-,-
STD_CN92C_OL2_020320_256s_20x25_b,0.015909498890309407,0.01204278059798772,0.00034722152468129634,0.0008411704325816616,15.431959605870171,17.600793038701653,-,-
STD_CN92C_OL2_020320_256s_20x25_c,0.014019425637696233,0.012847632339037652,0.0003908870389440355,0.0007203056105328208,12.109581164334758,12.573925146583369,-,-
STD_CN92C_OL2_020520_256s_20x25_a,0.013409118094812184,0.01038087503178776,0.0003764431915141555,7.461726775423712e-05,15.07245620892158,8.770831518202398,-,-
STD_CN92C_OL2_020520_256s_20x25_b,0.012954229007307931,0.01129075476276173,0.0008404643354879453,0.000468399237271455,13.626068365077662,13.047219627580054,-,-
STD_CN92C_OL2_020520_256s_20x25_c,0.013352369753279391,0.012234917342647728,0.000925190071775282,0.0002472347003786385,17.320492400003854,14.109938936310465,-,-
STD_CN92C_OL2_021220_20x25_a,0.005073873813114979,0.014287575302694913,9.344373895880244e-05,0.00022238616657862365,3.3913609067877304,17.653453185342794,*,-
STD_CN92C_OL2_021220_20x25_b,0.004047183471277718,0.014493168688022398,3.951335827855006e-05,0.0005258593897667972,3.9833402997761715,15.70781958919693,*,-
STD_CN92C_OL2_021220_20x25_c,0.005054272391030915,0.01467927782739884,7.843135195654928e-06,0.0003795610925106151,3.658343238024918,15.126478259762306,*,-
STD_CN92C_OL2_021420_256s_20x25_a,0.010526504229687343,0.013848051754025856,0.0002655875587674901,0.0007240642456526342,8.035293532449913,9.79074614675598,-,-
STD_CN92C_OL2_021420_256s_20x25_b,0.01142376445829447,0.012925826438986848,0.00014203923406321496,0.000649737230921819,10.56134821076253,12.667355862742307,-,-
STD_CN92C_OL2_021420_256s_20x25_c,0.012490958054777337,0.012912571769984407,6.306701522799302e-05,0.0005976988666113289,9.81430483542638,12.29010141976197,-,-
STD_CN92C_OL2_021720_256s_20x25_a,0.009290175842075496,0.010086073170317197,0.00034920633554697006,0.00035175002784886564,6.663433795522951,11.407926622372608,-,-
STD_CN92C_OL2_021720_256s_20x25_b,0.007730003916163841,0.010103166351161241,0.00026114277887002757,0.00017108524173707965,5.754764516502958,12.532818368744094,-,-
STD_CN92C_OL2_021720_256s_20x25_c,0.008014525132425109,0.009337435122322704,0.0004017445375238259,0.00043582758073962833,5.539620257763808,15.598441421145354,-,-
STD_CN92C_OL2_021920_256s_20x25_a,0.008359919601971424,0.008128607513675456,8.555461357977343e-05,0.0001870553938861899,6.372915711936888,7.822310251820071,-,-
STD_CN92C_OL2_021920_256s_20x25_b,0.00770452619632244,0.008307513432034811,0.000195444797974733,4.881889595447913e-05,5.320837254316283,7.992420629235416,-,-
STD_CN92C_OL2_021920_256s_20x25_c,0.007984547549551555,0.008629137599288857,0.0005024850832345456,0.00010383382135427784,6.610359890442254,13.0868862740304,-,-
STD_CN92C_OL2_022120_256s_20x25_a,0.008255705636946772,0.010066332947732808,0.00044400394638461965,0.0002460633112126272,6.619565311148031,7.612655100775449,-,-
STD_CN92C_OL2_022120_256s_20x25_b,0.00724920659363976,0.010320074558086057,0.00013163309317282918,0.00026425590578375266,5.519580097939258,8.155322167472319,-,-
STD_CN92C_OL2_022120_256s_20x25_c,0.007251557091729669,0.010340838351064889,0.0001537529685925192,0.000456550612118942,6.260722864542746,13.142353302102721,-,-
STD_D1010_012821_256s_100x100_a,0.00869563127136982,0.018647018440651114,0.00011231119267543994,0.00032743858439015415,12.236471205055372,13.394252759702107,-,-
