,Peak_Thicknesses,Peak_Thickness_M,Peak_Thickness_STD,Peak_Loc,Peak_Diff,Trough_Thicknesses,Trough_Thickness_M,Trough_Thickness_STD,Trough_Loc,Trough_Diff,Thickness_M,Thickness_STD
AC4_OL40_REF_b,[75.82 75.82 72.21 75.82 68.93 68.92 68.93],72.35,3.19,[2212.04 2252.54 2291.11 2364.4  2470.47 2512.9 ],[38.57 38.57 40.5  38.57 42.43 42.43 42.43 34.71],"[75.82, 75.82, 72.21, 75.82, 79.81, 65.93, 75.82, 72.21]",74.18,3.85,[2192.76 2233.26 2271.83 2308.47 2385.61 2493.61],[38.57 38.57 40.5  38.57 36.64 44.36 38.57 40.5 ],73.33,3.67
AC4_OL44_REF_a,[54.16 58.32 42.12 56.16 54.15 58.32 54.16],53.91,5.12,[2240.97 2362.47 2431.9  2483.97 2537.97],[54.   50.14 69.43 52.07 54.   50.14 54.  ],"[56.16, 58.32, 52.29, 58.32, 56.16, 52.29]",55.59,2.49,[2213.97 2310.4  2402.97 2458.9  2509.04],[52.07 50.14 55.93 50.14 52.07 55.93],54.69,4.2
AC4_OL44_REF_b,[54.15 56.16 58.32 50.55 58.32 52.29 54.15],54.85,2.72,[2244.83 2294.97 2387.54 2429.97 2487.83 2537.97],[54.   52.07 50.14 57.86 50.14 55.93 54.  ],"[58.32, 56.16, 58.32, 56.16, 58.32, 52.29, 58.32, 52.29]",56.27,2.46,[2217.83 2267.97 2356.69 2408.76 2458.9  2514.83],[50.14 52.07 50.14 52.07 50.14 55.93 50.14 55.93],55.61,2.68
AC4_OL45_REF_a,[29.16 29.16 29.16],29.16,0.0,[2258.33 2358.61 2453.11 2553.4 ],[100.28 100.28 100.28],"[29.73, 29.16, 30.33]",29.74,0.48,[2208.19 2306.54 2406.83 2503.26],[ 98.36 100.28  96.43],29.45,0.45
AC4_OL45_REF_b,[29.73 29.73 29.73 29.73],29.73,0.0,[2239.04 2337.4  2435.76 2534.11],[98.36 98.36 98.36 98.36],[],,,[2289.19 2387.54 2485.9 ],[],29.73,0.0
AC4_OL47_REF_a,[54.16 52.29 52.29 54.16 52.29 52.29 52.29],52.82,0.84,[2266.04 2321.97 2375.97 2431.9  2487.83 2547.61],[54.   55.93 55.93 54.   55.93 55.93 55.93],"[52.29, 52.29, 54.16, 52.29, 52.29, 52.29, 52.29]",52.56,0.65,[2239.04 2293.04 2348.97 2404.9  2460.83 2516.76],[55.93 55.93 54.   55.93 55.93 55.93 55.93],52.69,0.77
AC4_OL47_REF_b,[52.29 52.29 50.54 54.16 50.55 52.29 52.29],52.06,1.15,[2269.9  2327.76 2374.04 2435.76 2489.76 2547.61],[55.93 55.93 57.86 54.   57.86 55.93 55.93],"[52.29, 54.16, 52.29, 52.29, 52.29]",52.66,0.75,[2240.97 2296.9  2348.97 2406.83 2462.76 2518.68],[55.93 54.   55.93 55.93 55.93],52.31,1.04
AC4_OL48_REF_a,[39.9  37.91 37.91 36.98],38.17,1.07,[2229.4  2302.69 2379.83 2451.18 2528.33],[73.28 77.14 77.14 79.07],"[36.98, 39.9, 38.88]",38.59,1.21,[2267.97 2339.33 2412.61 2487.83],[79.07 73.29 75.21],38.35,1.15
AC4_OL48_REF_b,[39.9  40.98 39.9 ],40.26,0.51,[2291.11 2360.54 2429.97 2501.33],[73.28 71.36 73.28],"[40.98, 40.98, 42.12, 42.12, 40.98]",41.44,0.56,[2252.54 2323.9  2395.26 2464.68],[71.36 71.36 69.43 69.43 71.36],41.0,0.79
AC4_RH1_OL2_101819_REF_a,[65.93 68.93 65.93 68.93 65.93 68.93 65.93 68.93 65.93 65.93],67.13,1.47,[2254.47 2296.9  2341.26 2383.69 2428.04 2470.47 2510.97],[44.36 42.43 44.36 42.43 44.36 42.43 44.36 42.43 44.36 44.36],"[65.93, 65.93, 68.93, 68.93, 68.93, 65.93, 68.93, 68.93, 68.92, 68.93]",68.03,1.37,[2275.69 2318.11 2360.54 2404.9  2447.33 2489.76 2530.26],[44.36 44.36 42.43 42.43 42.43 44.36 42.43 42.43 42.43 42.43],67.58,1.49
AC4_RH1_OL2_101819_REF_b,[63.18 63.18 63.18 63.18 63.18],63.18,0.0,[2273.76 2320.04 2364.4  2410.68 2456.97 2503.26],[46.28 46.28 46.28 46.29 46.29],"[65.93, 63.18, 65.93, 63.18, 65.93, 63.18, 63.18, 63.18]",64.21,1.33,[2252.54 2296.9  2343.19 2387.54 2433.83 2480.11],[44.36 46.28 44.36 46.29 44.36 46.29 46.28 46.28],63.81,1.16
AC4_RH1_OL3_101819_REF_a,[37.91 37.91 37.91 37.91],37.91,0.0,[2281.47 2356.69 2433.83 2509.04],[77.14 77.14 77.14 77.14],"[37.91, 37.91, 38.88, 38.88]",38.39,0.49,[2242.9  2320.04 2397.19 2470.47 2545.68],[77.14 77.14 75.21 75.21],38.15,0.42
AC4_RH1_OL3_101819_REF_b,[37.91 37.91 36.98 37.91],37.68,0.4,[2277.61 2360.54 2435.76 2514.83],[77.14 77.14 79.07 77.14],"[36.98, 36.98, 36.98]",36.98,0.0,[2239.04 2316.19 2395.26 2476.26 2553.4 ],[79.07 79.07 79.07],37.38,0.46
AC4_RH1_OL3_REF_a,[37.91 38.88 38.88 38.88],38.64,0.42,[2333.54 2410.68 2485.9  2561.11],[77.14 75.21 75.21 75.21],"[36.1, 36.1, 37.91, 39.9, 39.9]",37.98,1.7,[2293.04 2377.9  2447.33 2524.47],[81.   81.   77.14 73.29 73.28],38.27,1.34
AC4_RH1_OL3_REF_b,[37.91 38.88 38.88 38.88],38.64,0.42,[2335.47 2410.68 2483.97 2559.18],[77.14 75.21 75.21 75.21],"[37.91, 37.91, 38.88, 39.9, 38.88]",38.7,0.74,[2294.97 2377.9  2447.33 2522.54],[77.14 77.14 75.21 73.28 75.21],38.67,0.62
