,Density,Tau,Na/Na+Ca,epsilon_H2OT_3550,sigma_epsilon_H2OT_3550,epsilon_H2Om_1635,sigma_epsilon_H2Om_1635,epsilon_CO2,sigma_epsilon_CO2
STD_CN92C_OL2_021420_256s_20x25_b,2727.0969966222174,0.6597528305721314,0.2531711551948636,62.8112529014778,7.278692605828422,31.577077506598854,8.362074399140308,350.76866386766187,14.959081307391472
STD_CN92C_OL2_021420_256s_20x25_c,2725.5328425223697,0.6597528305721314,0.2531711551948636,62.8112529014778,7.278692605828422,31.577077506598854,8.362074399140308,350.76866386766187,14.959081307391472
STD_CN92C_OL2_021720_256s_20x25_a,2726.420451017524,0.6597528305721314,0.2531711551948636,62.8112529014778,7.278692605828422,31.577077506598854,8.362074399140308,350.76866386766187,14.959081307391472
STD_CN92C_OL2_021720_256s_20x25_b,2725.9273631789592,0.6597528305721314,0.2531711551948636,62.8112529014778,7.278692605828422,31.577077506598854,8.362074399140308,350.76866386766187,14.959081307391472
STD_CN92C_OL2_021720_256s_20x25_c,2725.677382825846,0.6597528305721314,0.2531711551948636,62.8112529014778,7.278692605828422,31.577077506598854,8.362074399140308,350.76866386766187,14.959081307391472
STD_CN92C_OL2_021920_256s_20x25_a,2718.3330213448776,0.6597528305721314,0.2531711551948636,62.8112529014778,7.278692605828422,31.577077506598854,8.362074399140308,350.76866386766187,14.959081307391472
STD_CN92C_OL2_021920_256s_20x25_b,2717.9596738585487,0.6597528305721314,0.2531711551948636,62.8112529014778,7.278692605828422,31.577077506598854,8.362074399140308,350.76866386766187,14.959081307391472
STD_CN92C_OL2_021920_256s_20x25_c,2718.2803185651646,0.6597528305721314,0.2531711551948636,62.8112529014778,7.278692605828422,31.577077506598854,8.362074399140308,350.76866386766187,14.959081307391472
STD_CN92C_OL2_022120_256s_20x25_a,2719.666701613466,0.6597528305721314,0.2531711551948636,62.8112529014778,7.278692605828422,31.577077506598854,8.362074399140308,350.76866386766187,14.959081307391472
STD_CN92C_OL2_022120_256s_20x25_b,2720.853728326064,0.6597528305721314,0.2531711551948636,62.8112529014778,7.278692605828422,31.577077506598854,8.362074399140308,350.76866386766187,14.959081307391472
STD_CN92C_OL2_022120_256s_20x25_c,2720.4816813425255,0.6597528305721314,0.2531711551948636,62.8112529014778,7.278692605828422,31.577077506598854,8.362074399140308,350.76866386766187,14.959081307391472
STD_D1010_012821_256s_100x100_a,2795.3504868075142,0.6585005613973198,0.33157962514364914,62.72188008969185,7.272084174154003,31.421482392916772,8.354346998729072,322.91755977696255,16.791353467152266
STD_D1010_012821_256s_100x100_b,2794.175129872062,0.6585005613973198,0.33157962514364914,62.72188008969185,7.272084174154003,31.421482392916772,8.354346998729072,322.91755977696255,16.791353467152266
STD_D1010_012821_256s_100x100_c,2793.764161359013,0.6585005613973198,0.33157962514364914,62.72188008969185,7.272084174154003,31.421482392916772,8.354346998729072,322.91755977696255,16.791353467152266
STD_D1010_020320_256s_100x100_a,2795.4980525492824,0.6585005613973198,0.33157962514364914,62.72188008969185,7.272084174154003,31.421482392916772,8.354346998729072,322.91755977696255,16.791353467152266
STD_D1010_020320_256s_100x100_b,2795.534818425559,0.6585005613973198,0.33157962514364914,62.72188008969185,7.272084174154003,31.421482392916772,8.354346998729072,322.91755977696255,16.791353467152266
