Wavenumber,WD23MI02,WD33MI03,WD71AMI01,SH01MI11,SH01MI05,WD23MI03A,FI38MI01C,SH01MI12B,CV09EMI05,FI38MI01B,SH01MI12A,OK14MI07,OK14MI12,OK14MI01,WD35MI04A,OK14MI06C,FI45MI02,WD70MI03,Terry3MI03,WD70MI01A,WD35MI02,FI45MI06,WD35MI01,WD07MI01B,FI38MI05A,SH58MI01,SH63MI34,OK17MI05A,FI45MI04A,JFL30AMI12,SH63MI24
1303.665,0.007231645,0.004889797,0.031298662,0.006344186,0.004946668,0.02246311,0.005205692,0.006657515,0.00824984,0.004999054,0.007340024,0.014049799,0.002055792,0.005176566,0.005776306,0.00083548,0.012362442,0.008036913,0.002106972,0.012388783,0.007661038,0.010485458,0.011421266,0.00497065,0.004602908,0.002653474,0.005657798,0.001225123,0.009406884,0.008791949,0.00331223
1305.594,0.007655409,0.004965692,0.032280843,0.00689314,0.005079183,0.022213392,0.00525977,0.007464527,0.008655421,0.005255606,0.007936799,0.014281447,0.002340259,0.005312447,0.005995026,0.001265383,0.012700437,0.008368907,0.002429019,0.012559099,0.007726543,0.011210897,0.011876322,0.005348837,0.004707722,0.003344115,0.006306125,0.001683685,0.010101776,0.009728899,0.004456864
1307.522,0.00527419,0.005076283,0.033176951,0.007388421,0.005244736,0.022057362,0.005382876,0.007842714,0.009033373,0.005440082,0.008400194,0.013049894,0.002323066,0.005809147,0.006150151,0.001634036,0.012865663,0.008617461,0.003488892,0.01272215,0.007718399,0.011585834,0.012213639,0.005732923,0.004789298,0.003994569,0.007175834,0.002048831,0.010547786,0.010508493,0.005510859
1309.45,0.004554566,0.005388154,0.034403916,0.007954527,0.005428537,0.02230864,0.005616448,0.008313947,0.00937977,0.005590152,0.009038419,0.011672726,0.002392501,0.006303563,0.00643751,0.002018723,0.012923459,0.008882632,0.00439429,0.012926934,0.007801546,0.011818403,0.012672816,0.006115684,0.004978668,0.004858318,0.008065486,0.002359399,0.010833113,0.011325982,0.006672897
1311.379,0.006294148,0.005718066,0.035657328,0.008604772,0.005588985,0.022159565,0.005834175,0.008653316,0.009620179,0.005599072,0.009673783,0.009135513,0.002501477,0.006288562,0.006669325,0.002340255,0.012849767,0.009102255,0.005005408,0.012985014,0.007864951,0.011910814,0.013159443,0.006391612,0.005162968,0.00557534,0.008744299,0.002574729,0.011110685,0.011891514,0.007457137
1313.307,0.008948868,0.006183063,0.036683478,0.00924757,0.005756725,0.021706392,0.006176279,0.009129996,0.009891078,0.005680291,0.010336471,0.007220657,0.002615663,0.0062622,0.006870165,0.002611151,0.012933719,0.009348158,0.006055288,0.013065582,0.007861916,0.012222982,0.013530674,0.006745071,0.005438154,0.006292359,0.009291159,0.00273884,0.011506532,0.012409193,0.008087761
1315.236,0.007284441,0.006399575,0.037338379,0.00970044,0.005866319,0.021228587,0.006447656,0.009375592,0.010109376,0.00587683,0.010921039,0.006535761,0.002683743,0.006319986,0.007047219,0.00279723,0.013033072,0.00956697,0.006218567,0.013111782,0.007793606,0.012701513,0.013726964,0.006982685,0.005666364,0.006933494,0.009654558,0.002793887,0.011978098,0.012803033,0.008577448
1317.164,0.006939675,0.006479097,0.037991418,0.009980919,0.006107338,0.021257808,0.006719877,0.009489854,0.010316613,0.006166471,0.011770102,0.005834221,0.003032239,0.006634827,0.007385595,0.002944342,0.013170431,0.009775952,0.006391056,0.013221258,0.008058255,0.013190343,0.014014046,0.007228514,0.00608505,0.007659167,0.010169485,0.002807486,0.012556142,0.013223679,0.009214302
1319.093,0.010216302,0.0065855,0.03870178,0.010104184,0.006364988,0.021651608,0.00695098,0.009699082,0.010471024,0.006377922,0.012605939,0.004067111,0.003468752,0.006881226,0.00770656,0.003009375,0.013212346,0.009963972,0.007700776,0.013283428,0.008517589,0.013408928,0.014196135,0.007352218,0.006482699,0.008175515,0.010549278,0.002733087,0.01278369,0.013537549,0.009622171
1321.021,0.011776254,0.006724827,0.039587042,0.010170698,0.006677412,0.022617714,0.007115687,0.010225163,0.010596283,0.006620464,0.013378292,0.00378782,0.004175655,0.007032705,0.007976196,0.003030374,0.013273367,0.010216351,0.008256843,0.013400351,0.00890637,0.013210521,0.014542106,0.007477057,0.006839499,0.008710592,0.010959487,0.002683067,0.012649977,0.013773928,0.009918046
1322.95,0.009295405,0.006661821,0.040248166,0.010031856,0.006962813,0.023826762,0.007175773,0.010673128,0.010638679,0.00666836,0.014060297,0.004694894,0.004752516,0.006665992,0.008160115,0.002986466,0.013276202,0.010380803,0.008375507,0.013543217,0.009235587,0.01274973,0.014982634,0.007529662,0.007168552,0.009026622,0.011510932,0.002609447,0.012349516,0.01393824,0.009979547
1324.878,0.008730303,0.006640076,0.040735764,0.009854113,0.007251908,0.025379884,0.007287479,0.011120367,0.010731942,0.006627326,0.014845655,0.006484213,0.00513726,0.006389029,0.008486305,0.002940123,0.01332947,0.010561741,0.008945619,0.013842803,0.009919929,0.012631125,0.015551402,0.007618924,0.007600576,0.009341088,0.012186691,0.002538961,0.012239064,0.014162874,0.010137353
1326.807,0.009979932,0.006570074,0.041250701,0.009830423,0.007481697,0.02650712,0.007320617,0.011399743,0.010898191,0.006610543,0.015519569,0.008739293,0.005350627,0.006134732,0.008887724,0.00286988,0.013483107,0.010765586,0.008975478,0.014137401,0.010594547,0.012818214,0.016128847,0.007636946,0.007924455,0.009667842,0.012621,0.0025041,0.011890123,0.014337169,0.010429999
1328.735,0.01108813,0.006255292,0.041443121,0.009878426,0.007559669,0.02708634,0.007323979,0.011773817,0.011048561,0.006621358,0.016001593,0.010743507,0.005548138,0.00638613,0.009189831,0.0027426,0.013688336,0.010977649,0.008943983,0.014374606,0.011099957,0.013088234,0.016592559,0.007675147,0.008097304,0.009981127,0.012869232,0.002503925,0.011413374,0.014562708,0.010745012
1330.664,0.010062188,0.005816949,0.04132507,0.009885332,0.00756885,0.027516986,0.007259082,0.011937214,0.011104826,0.006605604,0.016181399,0.012089838,0.005569559,0.006365266,0.009141867,0.002503727,0.013721817,0.011087057,0.009209334,0.014482744,0.011430424,0.013114593,0.016583606,0.007677703,0.008131589,0.009983696,0.012872407,0.002469096,0.011181007,0.014614146,0.010734923
1332.592,0.010011295,0.00548304,0.041265047,0.010023371,0.007655223,0.028139666,0.007290065,0.011891098,0.011201829,0.006711928,0.016187861,0.01350715,0.005440909,0.005778083,0.009046959,0.002265453,0.01378204,0.011140547,0.008440647,0.014600395,0.011676241,0.013193992,0.016591916,0.007836463,0.008070719,0.009977848,0.012948422,0.002489135,0.011250273,0.014651634,0.010729803
1334.521,0.010282218,0.005166787,0.041001729,0.010244677,0.007639994,0.02845355,0.007269949,0.011621461,0.011212521,0.006622848,0.015920523,0.014498895,0.005071729,0.005135688,0.008933831,0.002001063,0.013811188,0.011086886,0.007541098,0.014703788,0.011634583,0.013302291,0.016646521,0.007978044,0.007806307,0.009851376,0.01299922,0.002492709,0.011402555,0.014707342,0.010777983
1336.449,0.009814815,0.004992402,0.040834866,0.010584462,0.007634516,0.028646314,0.007221593,0.011408566,0.011210151,0.00641334,0.015605178,0.015739925,0.004737635,0.004866903,0.008806448,0.001753873,0.013789155,0.011054241,0.007642865,0.014810679,0.01157062,0.013326755,0.01673192,0.008091387,0.00749396,0.009762468,0.01288972,0.00251433,0.011426873,0.014859482,0.010861312
1338.378,0.011688203,0.005024447,0.040611019,0.010901921,0.007579673,0.02841552,0.007156352,0.011027509,0.011177552,0.006184306,0.015113044,0.016709161,0.004422946,0.004582836,0.008605684,0.001487484,0.013694041,0.011017252,0.008285196,0.014844902,0.011457991,0.013296743,0.016651545,0.008132818,0.007114901,0.009642828,0.012532419,0.002560305,0.011477051,0.014922245,0.010618698
1340.307,0.01335929,0.005177551,0.040272883,0.011198694,0.007449033,0.027944956,0.007174173,0.010684756,0.011177305,0.006071831,0.01448043,0.017664956,0.004055271,0.004426189,0.008409971,0.001250132,0.013688062,0.010975815,0.009282398,0.014843742,0.011130545,0.013352645,0.016337971,0.008182677,0.006747478,0.009501586,0.012175097,0.002662368,0.011757634,0.014839044,0.010402639
