Wavenumber,WD23MI02,WD33MI03,SH55MI02,SH54MI11,SH63MI02,WD71AMI01,SH63MI10,SH01MI11,SH01MI05,SH63MI39,WD23MI03A,FI38MI01C,SH01MI12B,CV09EMI05,FI38MI01B,SH01MI12A,OK14MI07,OK14MI12,AK96MI13,OK14MI01,WD35MI04A,SH63MI43,OK14MI06C,Terry3MI04A,FI45MI02,AK96MI08,WD70MI03,Terry3MI03,JFL19BMI11,WD12MI04A,FI45MI05,WD70MI01A,WD35MI02,WD07MI01A,FI45MI06,OK14MI08,WD70MI01B,WD12MI06,WD35MI01,OK14MI09,WD07MI01B,SH63MI53,FI38MI05A,SH58MI01,SH63MI34,SH01MI21,OK17MI05A,SH63MI22,FI45MI04A,SH63MI27,JFL30AMI12,VS73MI02,SH63MI25,SH63MI31,SH63MI24
2111.706,0.29951689,0.241561705,0.191401933,0.106210609,0.374272313,0.32935642,0.18819984,0.298115299,0.16962281,0.210492229,0.725808248,0.012349797,0.381877775,0.113496875,-0.043732423,0.331352447,0.384426602,0.170406067,0.087241213,0.259248316,0.289875656,0.15986046,0.11776597,-0.012426112,0.270560704,0.107536512,0.188161053,0.210384177,0.262862294,0.272723507,0.238769932,0.245444958,0.312300229,0.192384819,0.285653364,0.304953599,0.24158863,0.265376543,0.352472804,0.270225619,0.272889342,0.179825268,0.252756015,0.350261887,0.225792782,0.168847248,0.122293349,0.089787678,0.311296826,0.180539806,0.253750563,0.26913285,0.155498342,0.194577411,0.176883278
2113.634,0.299258333,0.2413561,0.191466254,0.105984678,0.374001915,0.32921591,0.187938698,0.297818304,0.169456152,0.210146067,0.725459663,0.012108155,0.381637097,0.113396264,-0.044057638,0.330767189,0.383843999,0.170082194,0.087052769,0.259248383,0.289766279,0.159571127,0.117682306,-0.012599991,0.270471796,0.107404656,0.188106858,0.210022148,0.262451471,0.272624523,0.238579346,0.245276076,0.312265,0.192021307,0.285594207,0.30499373,0.241557845,0.265263107,0.35251681,0.270021456,0.272746915,0.179341926,0.252691695,0.34994399,0.225543179,0.168444568,0.122040852,0.089539526,0.311209713,0.180207388,0.253567172,0.269226393,0.155188605,0.194169663,0.176420978
2115.563,0.299007152,0.241165548,0.191516263,0.105763481,0.3737287,0.329086868,0.18768152,0.297535925,0.169283873,0.209807624,0.725137175,0.01184986,0.381397641,0.113299457,-0.044377404,0.330193046,0.383265153,0.169768979,0.086864,0.259245829,0.289663585,0.159285818,0.117602267,-0.012771045,0.270395085,0.107272119,0.188055632,0.209659925,0.262041438,0.27253045,0.238376255,0.245107023,0.312240345,0.191666832,0.285540111,0.305017436,0.241527028,0.265159711,0.352568843,0.269828759,0.272611319,0.178862008,0.25262658,0.349635083,0.225302367,0.168048395,0.121791094,0.089296856,0.31113872,0.179877709,0.253385003,0.269322805,0.154883211,0.193763664,0.175962766
2117.491,0.298766412,0.240988101,0.191550165,0.105546407,0.373450751,0.328969642,0.187428362,0.297265678,0.169107832,0.209477058,0.724839898,0.011572157,0.381160094,0.11320676,-0.044690251,0.329630987,0.382692322,0.169466596,0.086673863,0.259244471,0.289569402,0.159004363,0.117525843,-0.012938993,0.270332154,0.107139679,0.188007463,0.209295479,0.261633048,0.272440709,0.238167707,0.244939311,0.312225734,0.191321694,0.285491918,0.305023802,0.241497658,0.265062128,0.352626921,0.269648479,0.27248061,0.178385573,0.25255759,0.349334923,0.225069773,0.167655202,0.121543838,0.089059307,0.311084051,0.179551389,0.253204477,0.269422357,0.154582603,0.193359218,0.175505932
2119.42,0.298528112,0.240823919,0.191566564,0.105332701,0.373170127,0.32886423,0.187178711,0.297004795,0.168928332,0.209153215,0.724566591,0.011273795,0.380922806,0.113118232,-0.044995352,0.329080663,0.382126901,0.16917407,0.086486969,0.259244234,0.289484192,0.15872598,0.117453068,-0.013103377,0.270282384,0.107008578,0.187961819,0.208933769,0.261225648,0.272354223,0.237959932,0.244774426,0.31221959,0.190986201,0.285450391,0.305018782,0.241470735,0.264968481,0.35268883,0.269480741,0.272352942,0.177909499,0.252480658,0.349043658,0.224843941,0.167268638,0.1212985,0.088825744,0.311047368,0.179229854,0.253026534,0.269525002,0.154286684,0.19295562,0.175047275
2121.348,0.298291996,0.240673499,0.191565543,0.105121658,0.37288913,0.328770434,0.186932745,0.296749895,0.168745514,0.208834612,0.7243176,0.010953547,0.380686687,0.113034097,-0.045293026,0.32854267,0.381568506,0.168890442,0.086305671,0.259241068,0.289406874,0.158449675,0.117383911,-0.01326393,0.270244686,0.106879189,0.187918241,0.208574071,0.260818606,0.272270607,0.237754553,0.244614951,0.312220996,0.190661179,0.285417393,0.305012348,0.24144784,0.264884274,0.352753689,0.269326635,0.272227179,0.177433903,0.252392195,0.348761163,0.224625116,0.166885136,0.121055256,0.088595594,0.311032372,0.178914693,0.252851786,0.26963044,0.153995578,0.192552813,0.174584426
2123.277,0.298064601,0.240535209,0.191547575,0.104911951,0.372607742,0.328687544,0.18669045,0.296497784,0.168559915,0.208520713,0.724091675,0.010609645,0.380454631,0.112954046,-0.045582205,0.328017592,0.381015336,0.168614968,0.086129027,0.259234754,0.289338638,0.15817621,0.117318115,-0.013420758,0.270218535,0.106750323,0.187876339,0.208219915,0.26041312,0.272188456,0.237554052,0.244462876,0.312228531,0.190346268,0.285393582,0.305009231,0.241429632,0.264812894,0.352819703,0.269185532,0.27210234,0.176957038,0.252290191,0.348486108,0.224413655,0.166500405,0.120814571,0.088368194,0.31103912,0.178606148,0.252680695,0.269738551,0.153709412,0.192150536,0.174115352
2125.205,0.297832423,0.240408331,0.191513747,0.104703036,0.372329622,0.328615583,0.186452042,0.296247271,0.168373284,0.208209561,0.723887906,0.01024247,0.38023049,0.112877986,-0.045861741,0.327505097,0.380465156,0.168347421,0.085958435,0.259227549,0.289280794,0.157905513,0.117255844,-0.013573485,0.270203455,0.106624456,0.187836565,0.207874204,0.260010644,0.27210728,0.237358008,0.244320706,0.312243512,0.190042615,0.285377867,0.305012244,0.241417468,0.264744915,0.352886152,0.269056146,0.271977971,0.176477125,0.252173158,0.348217528,0.224207877,0.166120296,0.120576871,0.088143268,0.311067099,0.17830493,0.252513799,0.26984938,0.153429068,0.191749386,0.173639162
2127.134,0.297607147,0.240291748,0.191465354,0.104494347,0.37205704,0.328554477,0.186217359,0.295996844,0.168187475,0.207899179,0.723704205,0.009854157,0.380016475,0.112806046,-0.046131469,0.32700339,0.379915222,0.168087144,0.085792187,0.259220936,0.2892332,0.157637475,0.117197097,-0.013722177,0.270197778,0.106503063,0.187799611,0.207533935,0.259610915,0.272026763,0.237168428,0.244190357,0.312267353,0.189750589,0.285368566,0.30502459,0.241412395,0.264679645,0.352953184,0.268935902,0.271852844,0.175997163,0.252040409,0.347953227,0.224004854,0.165746185,0.120342141,0.08792067,0.311116266,0.178010589,0.252350597,0.269963024,0.153153963,0.191347768,0.173154127
2129.062,0.297401552,0.240184909,0.191404908,0.104285438,0.371789348,0.328503779,0.185986474,0.295745685,0.168004084,0.207589704,0.723540983,0.009448777,0.379812887,0.112739288,-0.046389515,0.326510692,0.379367622,0.167833184,0.085628613,0.259216573,0.289195475,0.157371465,0.117141495,-0.013866279,0.270201743,0.106383841,0.187765659,0.207199687,0.259213264,0.271947025,0.236987752,0.244073471,0.312299454,0.189470233,0.28536534,0.305046619,0.241415524,0.2646284,0.353021498,0.268822757,0.271727355,0.175522918,0.251893027,0.347691128,0.223803642,0.165375045,0.120110785,0.087700571,0.311185491,0.177723127,0.252191037,0.270079423,0.152884174,0.19094439,0.172658684
