Sample,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,Thickness,Sigma_Thickness
CI_Ref_27_chip2_100x100_256s_sp1,49.88,1.39,15.86,12.32,,0.23,7.15,11.59,2.54,0.17,0.11,22.30,3.00
CI_Ref_27_chip3_100x100_256s_sp1,49.88,1.39,15.86,12.32,,0.23,7.15,11.59,2.54,0.17,0.11,34.90,3.00
CI_Ref_27_chip3_100x100_256s_sp2,49.88,1.39,15.86,12.32,,0.23,7.15,11.59,2.54,0.17,0.11,35.20,3.00
CI_Ref_28_1_100x100_256s_sp1,49.71,1.36,16.02,12.34,,0.21,7.14,11.58,2.60,0.17,0.10,35.20,3.00
CI_Ref_28_1_100x100_256s_sp2,49.71,1.36,16.02,12.34,,0.21,7.14,11.58,2.60,0.17,0.10,36.10,3.00
CI_Ref_28_1_100x100_256s_sp3,49.71,1.36,16.02,12.34,,0.21,7.14,11.58,2.60,0.17,0.10,33.20,3.00
CI_Ref_28_1_100x100_256s_sp4,49.71,1.36,16.02,12.34,,0.21,7.14,11.58,2.60,0.17,0.10,34.40,3.00
CI_Ref_28_2_100x100_256s_sp1,49.71,1.36,16.02,12.34,,0.21,7.14,11.58,2.60,0.17,0.10,36.10,3.00
CI_Ref_28_2_100x100_256s_sp2,49.71,1.36,16.02,12.34,,0.21,7.14,11.58,2.60,0.17,0.10,35.30,3.00
CI_Ref_bas_3_1_100x100_256s_060223_sp1,45.25,4.27,15.19,13.53,,0.18,5.61,10.41,4.19,1.79,0.93,26.40,3.00
CI_Ref_bas_3_1_100x100_256s_sp2,45.25,4.27,15.19,13.53,,0.18,5.61,10.41,4.19,1.79,0.93,24.80,3.00
CI_Ref_bas_3_1_100x100_256s_sp3,45.25,4.27,15.19,13.53,,0.18,5.61,10.41,4.19,1.79,0.93,23.30,3.00
CI_Ref_bas_3_2_100x100_256s_060223_sp1,45.25,4.27,15.19,13.53,,0.18,5.61,10.41,4.19,1.79,0.93,24.90,3.00
CI_Ref_bas_3_chip1_100x100_256s_sp1,45.25,4.27,15.19,13.53,,0.18,5.61,10.41,4.19,1.79,0.93,32.40,3.00
CI_Ref_bas_3_chip1_100x100_256s_sp2,45.25,4.27,15.19,13.53,,0.18,5.61,10.41,4.19,1.79,0.93,35.70,3.00
CI_Ref_bas_3_chip1_100x100_256s_sp3,45.25,4.27,15.19,13.53,,0.18,5.61,10.41,4.19,1.79,0.93,37.80,3.00
CI_Ref_bas_4_2_100x100_256s_sp2,44.92,4.32,15.04,14.03,,0.18,5.44,10.55,4.26,1.71,0.96,54.80,3.00
CI_Ref_bas_4_2_100x100_256s_sp3,44.92,4.32,15.04,14.03,,0.18,5.44,10.55,4.26,1.71,0.96,39.30,3.00
CI_Ref_bas_5_1_100x100_256s_sp1,45.24,4.28,15.15,13.81,,0.19,5.32,10.45,4.19,1.77,0.98,38.50,3.00
CI_Ref_bas_5_1_100x100_256s_sp2,45.24,4.28,15.15,13.81,,0.19,5.32,10.45,4.19,1.77,0.98,39.80,3.00
CI_Ref_bas_5_1_100x100_256s_sp3,45.24,4.28,15.15,13.81,,0.19,5.32,10.45,4.19,1.77,0.98,34.90,3.00
CI_Ref_bas_5_1_100x100_256s_sp4,45.24,4.28,15.15,13.81,,0.19,5.32,10.45,4.19,1.77,0.98,39.70,3.00
CI_Ref_bas_5_2_100x100_256s_sp1,45.24,4.28,15.15,13.81,,0.19,5.32,10.45,4.19,1.77,0.98,33.00,3.00
CI_Ref_bas_6_1_100x100_256s_sp1,45.50,4.28,15.24,13.87,,0.19,5.39,9.89,4.26,1.76,1.01,27.10,3.00
CI_Ref_bas_6_2_100x100_256s_sp1,45.50,4.28,15.24,13.87,,0.19,5.39,9.89,4.26,1.76,1.01,28.50,3.00
CI_Ref_bas_6_2_100x100_256s_sp2,45.50,4.28,15.24,13.87,,0.19,5.39,9.89,4.26,1.76,1.01,30.80,3.00
CI_Ref_bas_7_1_100x100_256s_051423_sp1,44.90,4.36,15.09,13.96,,0.18,5.42,10.52,4.27,1.74,0.96,20.50,3.00
