Sample,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,Thickness,Sigma_Thickness
AC4_RH1_OL2_022120_256s_30x30_a,53.65,1.22,16.14,2.05,7.5,0.2,4.5,6.72,3.98,0.99,0.2,67.8,3
AC4_RH1_OL2_022120_256s_30x30_b,53.65,1.22,16.14,2.05,7.5,0.2,4.5,6.72,3.98,0.99,0.2,67.8,3
AC4_RH1_OL2_022120_256s_30x30_c,53.65,1.22,16.14,2.05,7.5,0.2,4.5,6.72,3.98,0.99,0.2,67.8,3
AC4_RH1_OL3_MI1_022120_256s_20x25_a,49.32,1.12,16.9,2.59,9.44,0.26,5.14,7.84,3.52,0.77,0.14,37.1,3
AC4_RH1_OL3_MI1_022120_256s_20x25_b,49.32,1.12,16.9,2.59,9.44,0.26,5.14,7.84,3.52,0.77,0.14,37.1,3
AC4_RH1_OL3_MI1_022120_256s_20x25_c,49.32,1.12,16.9,2.59,9.44,0.26,5.14,7.84,3.52,0.77,0.14,37.1,3
AC4_RH1_OL3_MI2_022120_256s_20x20_a,47.77,0.84,17.03,2.92,10.67,0.25,5.14,8.27,3.31,0.66,0.11,37.1,3
AC4_RH1_OL3_MI2_022120_256s_20x20_b,47.77,0.84,17.03,2.92,10.67,0.25,5.14,8.27,3.31,0.66,0.11,37.1,3
AC4_RH1_OL3_MI2_022120_256s_20x20_c,47.77,0.84,17.03,2.92,10.67,0.25,5.14,8.27,3.31,0.66,0.11,37.1,3
AC4_RH3_OL1BIG_022120_256s_20x25_a,53.95,1.18,16.45,2.02,7.37,0.24,4.39,6.52,4.4,1.06,0.18,53.00,3
AC4_RH3_OL1BIG_022120_256s_20x25_b,53.95,1.18,16.45,2.02,7.37,0.24,4.39,6.52,4.4,1.06,0.18,53.00,3
AC4_RH3_OL1BIG_022120_256s_20x25_c,53.95,1.18,16.45,2.02,7.37,0.24,4.39,6.52,4.4,1.06,0.18,53.00,3
AC4_RH3_OL1SMALL_022120_256s_20x25_a,53.95,1.18,16.45,2.02,7.37,0.24,4.39,6.52,4.4,1.06,0.18,53.00,3
AC4_RH3_OL1SMALL_022120_256s_20x25_b,53.95,1.18,16.45,2.02,7.37,0.24,4.39,6.52,4.4,1.06,0.18,53.00,3
AC4_RH3_OL1SMALL_022120_256s_20x25_c,53.95,1.18,16.45,2.02,7.37,0.24,4.39,6.52,4.4,1.06,0.18,53.00,3
AC4_RH3_OL2_022120_256s_30x30_a,49.38,1.84,15.69,3.04,11.1,0.22,4.3,5.76,3.96,1.05,0.2,53.00,3
AC4_RH3_OL2_022120_256s_30x30_b,49.38,1.84,15.69,3.04,11.1,0.22,4.3,5.76,3.96,1.05,0.2,53.00,3
AC4_RH3_OL2_022120_256s_30x30_c,49.38,1.84,15.69,3.04,11.1,0.22,4.3,5.76,3.96,1.05,0.2,53.00,3
AC4_RH3_OL3_022120_256s_20x20_a,53.07,1.21,18.48,1.88,6.87,0.18,3.72,7.59,4.33,0.94,0.22,81.00,3
AC4_RH3_OL3_022120_256s_20x20_b,53.07,1.21,18.48,1.88,6.87,0.18,3.72,7.59,4.33,0.94,0.22,81.00,3
AC4_RH3_OL3_022120_256s_20x20_c,53.07,1.21,18.48,1.88,6.87,0.18,3.72,7.59,4.33,0.94,0.22,81.00,3
