Sample,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,Thickness,Sigma_Thickness
FR02MI05c,48.15,1.03,14.8,,12.98,0.26,6.87,6.69,3.29,0.72,0.19,39.21,3
FR02MI05d,48.15,1.03,14.8,,12.98,0.26,6.87,6.69,3.29,0.72,0.19,39.21,3
FR02MI06a,49.05,1.16,14.23,,13.55,0.24,6.38,6.59,3.45,0.74,0.19,48.34,3
FR02MI06b,49.05,1.16,14.23,,13.55,0.24,6.38,6.59,3.45,0.74,0.19,48.34,3
FR02MI06c,49.05,1.16,14.23,,13.55,0.24,6.38,6.59,3.45,0.74,0.19,48.34,3
FR02MI07a,44.66,1.06,15.83,,10.09,0.2,5.09,7.36,2.93,4.86,0.19,52.08,3
FR02MI07b,44.66,1.06,15.83,,10.09,0.2,5.09,7.36,2.93,4.86,0.19,52.08,3
FR02MI07c,44.66,1.06,15.83,,10.09,0.2,5.09,7.36,2.93,4.86,0.19,52.08,3
FR02MI08a,49.83,1.04,15.14,,11.54,0.24,6.36,7.03,3.06,0.76,0.19,39.74,3
FR02MI08b,49.83,1.04,15.14,,11.54,0.24,6.36,7.03,3.06,0.76,0.19,39.74,3
FR02MI08c,49.83,1.04,15.14,,11.54,0.24,6.36,7.03,3.06,0.76,0.19,39.74,3
FR02MI09a,48.04,0.76,17.83,,11.14,0.2,6.89,9,2.75,0.5,0.13,55.30,3
FR02MI09b,48.04,0.76,17.83,,11.14,0.2,6.89,9,2.75,0.5,0.13,55.30,3
FR02MI09c,48.04,0.76,17.83,,11.14,0.2,6.89,9,2.75,0.5,0.13,55.30,3
FR02MI10a,46.33,0.96,17.6,,11.15,0.2,6.38,8.97,2.45,0.49,0.14,45.42,3
FR02MI10b,46.33,0.96,17.6,,11.15,0.2,6.38,8.97,2.45,0.49,0.14,45.42,3
FR02MI10c,46.33,0.96,17.6,,11.15,0.2,6.38,8.97,2.45,0.49,0.14,45.42,3
FR04MI01a,48,1.02,15.05,,13.25,0.26,6.63,6.98,3.17,0.69,0.19,48.12,3
FR04MI01b,48,1.02,15.05,,13.25,0.26,6.63,6.98,3.17,0.69,0.19,48.12,3
FR04MI01c,48,1.02,15.05,,13.25,0.26,6.63,6.98,3.17,0.69,0.19,48.12,3
FR04MI02a,47.51,1.01,14.65,,13.36,0.28,6.87,7.19,3.05,0.67,0.18,48.24,3
FR04MI02b,47.51,1.01,14.65,,13.36,0.28,6.87,7.19,3.05,0.67,0.18,48.24,3
FR04MI02c,47.51,1.01,14.65,,13.36,0.28,6.87,7.19,3.05,0.67,0.18,48.24,3
FR04MI03a,48,0.61,19.12,,10.69,0.2,6.6,9.56,2.46,0.45,0.11,43.56,3
FR04MI03b,48,0.61,19.12,,10.69,0.2,6.6,9.56,2.46,0.45,0.11,43.56,3
FR04MI03c,48,0.61,19.12,,10.69,0.2,6.6,9.56,2.46,0.45,0.11,43.56,3
FR04MI04a,49.51,1.07,14.87,,12.18,0.23,6.42,7.32,3.02,0.72,0.18,41.00,3
FR04MI04b,49.51,1.07,14.87,,12.18,0.23,6.42,7.32,3.02,0.72,0.18,41.00,3
FR04MI04c,49.51,1.07,14.87,,12.18,0.23,6.42,7.32,3.02,0.72,0.18,41.00,3
FR04MI05a,48.89,0.93,14.94,,13.31,0.27,6.73,6.94,2.62,0.69,0.18,31.87,3
FR04MI05b,48.89,0.93,14.94,,13.31,0.27,6.73,6.94,2.62,0.69,0.18,31.87,3
FR04MI05c,48.89,0.93,14.94,,13.31,0.27,6.73,6.94,2.62,0.69,0.18,31.87,3
FR04MI07a,47.62,0.79,17.68,,11.06,0.21,6.49,8.53,2.63,0.56,0.15,46.00,3
FR04MI07b,47.62,0.79,17.68,,11.06,0.21,6.49,8.53,2.63,0.56,0.15,46.00,3
FR04MI07c,47.62,0.79,17.68,,11.06,0.21,6.49,8.53,2.63,0.56,0.15,46.00,3
FR04MI08a,48.88,1,14.98,,12.79,0.26,6.86,6.7,2.36,0.76,0.17,37.44,3
FR04MI08b,48.88,1,14.98,,12.79,0.26,6.86,6.7,2.36,0.76,0.17,37.44,3
FR04MI08c,48.88,1,14.98,,12.79,0.26,6.86,6.7,2.36,0.76,0.17,37.44,3
FR04MI08d,48.88,1,14.98,,12.79,0.26,6.86,6.7,2.36,0.76,0.17,37.44,3
FR06MI01a,49.41,0.93,15.66,,11.68,0.23,6.19,6.55,3.6,0.81,0.27,47.39,3
FR06MI01b,49.41,0.93,15.66,,11.68,0.23,6.19,6.55,3.6,0.81,0.27,47.39,3
FR06MI01c,49.41,0.93,15.66,,11.68,0.23,6.19,6.55,3.6,0.81,0.27,47.39,3
FR06MI02a,49.06,1.11,15.23,,12.05,0.24,5.93,6.78,3.46,0.79,0.2,40.45,3
FR06MI02b,49.06,1.11,15.23,,12.05,0.24,5.93,6.78,3.46,0.79,0.2,40.45,3
FR06MI02c,49.06,1.11,15.23,,12.05,0.24,5.93,6.78,3.46,0.79,0.2,40.45,3
FR06MI03a,48.1,0.98,15.9,,11.95,0.23,6.12,7.49,2.97,1.18,0.18,10.00,3
FR06MI03b,48.1,0.98,15.9,,11.95,0.23,6.12,7.49,2.97,1.18,0.18,10.00,3
FR06MI03c,48.1,0.98,15.9,,11.95,0.23,6.12,7.49,2.97,1.18,0.18,10.00,3
FR06MI04a,47.82,0.67,19.05,,10.26,0.19,6.19,9.34,2.71,0.5,0.12,49.76,3
FR06MI04b,47.82,0.67,19.05,,10.26,0.19,6.19,9.34,2.71,0.5,0.12,49.76,3
FR06MI04c,47.82,0.67,19.05,,10.26,0.19,6.19,9.34,2.71,0.5,0.12,49.76,3
FR06MI05a,48.81,1.25,15.46,,12.92,0.24,5.35,6.26,3.66,0.84,0.27,28.73,3
FR06MI05b,48.81,1.25,15.46,,12.92,0.24,5.35,6.26,3.66,0.84,0.27,28.73,3
FR06MI05c,48.81,1.25,15.46,,12.92,0.24,5.35,6.26,3.66,0.84,0.27,28.73,3
FR06MI06a,44.35,1,16.06,,14.79,0.27,5.59,8.21,2.91,0.51,0.15,21.57,3
FR06MI06b,44.35,1,16.06,,14.79,0.27,5.59,8.21,2.91,0.51,0.15,21.57,3
FR06MI06c,44.35,1,16.06,,14.79,0.27,5.59,8.21,2.91,0.51,0.15,21.57,3
FR06MI07a,48.05,0.93,15.79,,11.87,0.23,5.75,7.65,3.16,0.66,0.21,25.92,3
FR06MI07b,48.05,0.93,15.79,,11.87,0.23,5.75,7.65,3.16,0.66,0.21,25.92,3
FR06MI07c,48.05,0.93,15.79,,11.87,0.23,5.75,7.65,3.16,0.66,0.21,25.92,3
FR06MI08a,45.33,1.04,15.96,,13.8,0.22,6.03,8.84,2.75,0.44,0.15,37.05,3
FR06MI08b,45.33,1.04,15.96,,13.8,0.22,6.03,8.84,2.75,0.44,0.15,37.05,3
FR06MI08c,45.33,1.04,15.96,,13.8,0.22,6.03,8.84,2.75,0.44,0.15,37.05,3
