,PH_3550_M,PH_3550_STD,H2Ot_3550_MAX,BL_H2Ot_3550_MAX,H2Ot_3550_SAT,PH_1635_BP,PH_1635_STD,H2Om_1635_MAX,BL_H2Om_1635_MAX,PH_1515_BP,PH_1515_STD,P_1515_BP,P_1515_STD,STD_1515_BP,STD_1515_STD,MAX_1515_ABS,BL_MAX_1515_ABS,PH_1430_BP,PH_1430_STD,P_1430_BP,P_1430_STD,STD_1430_BP,STD_1430_STD,MAX_1430_ABS,BL_MAX_1430_ABS,PH_5200_M,PH_5200_STD,PH_4500_M,PH_4500_STD,STN_P5200,ERR_5200,STN_P4500,ERR_4500,AVG_BL_BP,AVG_BL_STD,PC1_BP,PC1_STD,PC2_BP,PC2_STD,PC3_BP,PC3_STD,PC4_BP,PC4_STD,m_BP,m_STD,b_BP,b_STD,PH_1635_PC1_BP,PH_1635_PC1_STD,PH_1635_PC2_BP,PH_1635_PC2_STD
FR02MI04c,1.540023507,0.000260143,1.708695,0.199430561,-,0.413834977,0.003115742,0.3185302,0.393537193,0.080419504,0.003721826,1520.024265,1.989019764,31.09225388,2.156592812,0.4740494,0.39113706,0.07554582,0.004199584,1430.319091,2.355173354,34.56709525,2.325480871,0.4737523,0.410154103,0.013921809,0.000459037,0.009124405,0.000568655,11.45403675,-,8.822090069,-,0.60063973,0.05362752,-1.945637612,0.558452212,0.021498912,0.020705018,-0.313795999,0.077645641,0.275994062,0.041129493,-0.000350561,9.51E-05,0.758617779,0.029062798,-0.054267577,0.016470843,0.101810375,0.018175068
FR02MI05a,0.929409869,3.87E-05,1.186318,0.27826041,-,0.224575143,0.003037871,0.4275817,0.465528654,0.054873024,0.003264779,1524.558487,2.883677635,33.09090936,2.779207969,0.5099195,0.455099113,0.058279291,0.003975351,1428.636226,2.483626502,32.36619404,2.504085001,0.5459834,0.493161524,0.013032465,0.000377198,0.007466528,0.000187724,2.836307501,*,2.433884516,*,0.976118041,0.026883759,2.388371087,0.25843751,-0.36721116,0.019479661,0.6,0.026259192,0.086099174,0.035619962,0.000265646,4.44E-05,0.634994263,0.012454627,0.010909572,0.016216852,-0.082565392,0.019153248
FR02MI05b,1.093675837,0.00014913,1.358029,0.260379243,-,0.239434348,0.003068307,0.3891209,0.425421441,0.060380411,0.003419898,1522.85453,2.356673824,31.28430312,2.706898785,0.4752153,0.417147633,0.061805397,0.004093512,1428.55488,2.375730408,33.26585969,2.519375177,0.5125048,0.458091109,0.011324866,0.001392594,0.008064364,8.42E-05,2.571508211,*,3.030291739,*,0.996061232,0.026453662,2.226793217,0.254504939,-0.315803662,0.019293852,0.6,0.025659865,0.042309946,0.036337205,0.00027623,4.36E-05,0.610307212,0.012221543,0.001069892,0.016061996,-0.033324657,0.018632006
FR02MI05c,0.926527506,0.000150709,1.171962,0.265141535,-,0.22040099,0.003022645,0.4037138,0.43657826,0.05035476,0.003287606,1520.699595,3.03339828,33.37833196,2.769265821,0.4696695,0.420241723,0.053283638,0.003849331,1426.704515,2.57031062,30.4657668,2.587811979,0.5096985,0.459131573,0.019000476,0.001017498,0.006853566,0.00062732,4.946760685,-,2.463801042,*,0.92748534,0.028807368,1.721197729,0.281751802,-0.360527132,0.019100708,0.6,0.03115327,0.141411621,0.035048631,0.00020674,4.83E-05,0.635704583,0.013865441,0.020735981,0.016079083,-0.075119784,0.017413602
FR02MI05d,1.068485014,0.000300767,1.323138,0.233972928,-,0.233030194,0.003040335,0.3279122,0.350040319,0.056214614,0.003285538,1521.440711,2.954645812,35.17041725,2.430911001,0.3930624,0.334753713,0.053973967,0.003978907,1426.840297,2.45799559,30.69355866,2.722027859,0.421889,0.374015762,0.013125213,0.000705304,0.010227316,9.75E-05,2.859283228,*,2.794038975,*,0.933269665,0.026263362,1.662316594,0.252746296,-0.311859869,0.01959262,0.6,0.025778135,0.078557701,0.03546533,0.000268617,4.33E-05,0.544695837,0.012200702,0.00114587,0.015796863,-0.067530472,0.018291675
FR02MI06a,1.892749909,2.44E-05,2.166489,0.343242883,*,0.421236986,0.003178648,0.4250199,0.539443033,0.062329625,0.003713782,1519.314595,2.261576374,33.56595571,2.548038033,0.6023574,0.539353506,0.060684432,0.003868462,1427.029231,2.035419525,28.99789866,2.250656246,0.6155898,0.565657499,0.015388846,0.001065668,0.010915531,0.000244674,3.254447252,*,6.350615296,-,0.715298898,0.066098133,-1.139769525,0.684900653,0.427072755,0.020913569,-0.132557221,0.091119601,0.200819212,0.052953475,-0.000286337,0.000116398,0.885797787,0.035175079,-0.062237394,0.016825526,-0.052674447,0.018955663
FR02MI06b,1.880350142,1.97E-05,2.242838,0.357266738,*,0.417473176,0.003137053,0.4416095,0.560803527,0.060920414,0.003722115,1520.268526,2.288608556,33.25785316,2.56727175,0.6217055,0.562606686,0.05913577,0.003903786,1426.173004,2.13853599,29.68214695,2.234238333,0.6389097,0.590114855,0.013285365,0.000927184,0.012998907,0.000390804,4.009670072,-,7.074539611,-,0.700981743,0.064406351,-1.46460794,0.667814904,0.446920201,0.021096063,-0.1806788,0.089096803,0.214185753,0.052006464,-0.000353951,0.000113475,0.931733368,0.034320774,-0.046768885,0.017052181,-0.062418277,0.019116849
FR02MI06c,1.822224596,1.42E-05,2.186151,0.359066358,*,0.410713192,0.003136111,0.4272933,0.53995627,0.058111933,0.003662141,1520.934079,2.510675328,33.89573266,2.573800848,0.595273,0.534895553,0.057352617,0.003830408,1427.131355,2.131891998,29.20340766,2.306380954,0.6078623,0.561214319,0.013753167,0.000470599,0.010377312,0.000372337,6.6721743,-,4.577640791,-,0.687989293,0.055336243,-1.643927226,0.577099266,0.423809209,0.020691186,-0.146687036,0.079886394,0.262781087,0.042013077,-0.000344672,9.80E-05,0.913409786,0.029958953,-0.053610667,0.016551014,-0.090541272,0.019312674
FR02MI07a,1.605238395,0.000490704,1.697527,0.121515682,-,0.323997196,0.003077496,0.2202228,0.326574979,0.033747126,0.003641502,1519.245238,3.736431125,32.63025941,3.050295314,0.3587072,0.323337261,0.035092038,0.003770504,1423.332097,2.865314529,27.99145705,2.849398781,0.3666427,0.336066916,0.013075649,0.000431677,0.008181018,0.000124919,8.752827953,-,8.412451318,-,0.516033557,0.036622316,-2.097375561,0.389159936,0.333790346,0.0201956,-0.386767301,0.059194892,0.3,0.022443922,-0.000407521,6.60E-05,0.672130826,0.020762691,-0.059415409,0.015772074,-0.087531996,0.016742016
FR02MI07b,1.631288301,0.000460484,1.712212,0.137078315,-,0.326101598,0.003092993,0.2349675,0.336111912,0.033072466,0.003662027,1516.962639,3.646387365,31.26010058,3.285266857,0.3654313,0.332060358,0.03450671,0.00379686,1423.914151,3.001670166,27.96354455,2.828773515,0.3763266,0.346233257,0.012554755,0.000715596,0.009629355,7.32E-05,5.330817261,-,12.57181505,-,0.516947208,0.033665995,-2.103747063,0.358502329,0.301664209,0.019984594,-0.354586255,0.055824535,0.3,0.019226242,-0.000402184,6.08E-05,0.682869801,0.019266892,-0.06321266,0.015927401,-0.078261337,0.016067378
