,AVG_BL_BP,PCA1_BP,PCA2_BP,PCA3_BP,PCA4_BP,m_BP,b_BP,SiO2,TiO2,Al2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,FeO,H2O
STD_C1_020520_256s_20x50_a,0.639473089,1.037988812,0.517095149,-0.106199538,-0.270392751,0.00018076,0.462585969,46.47,0.87,18.05,0.15,6.15,11.79,1.95,0.3,0.14,9.564701701,3.391991062
STD_C1_020520_256s_20x50_b,0.629044395,0.944203041,0.514808166,-0.110048903,-0.263011353,0.000158998,0.463690439,46.47,0.87,18.05,0.15,6.15,11.79,1.95,0.3,0.14,9.564701701,3.393417306
STD_C1_020520_256s_20x50_c,0.626221266,0.994731256,0.520464643,-0.098158806,-0.257781841,0.000163182,0.460116779,46.47,0.87,18.05,0.15,6.15,11.79,1.95,0.3,0.14,9.564701701,3.391363725
STD_CN92C_OL2_020320_256s_20x25_a,0.498669061,1.143152261,0.085092774,0.355996887,0.004255293,0.00010109,0.371740933,46.26,1.04,17.64,0.18,5.72,11.37,2.13,0.32,0.17,9.87,5.478935538
STD_CN92C_OL2_020320_256s_20x25_b,0.524821891,1.376209461,-0.068286768,0.367794216,0.030446237,0.000112381,0.384265334,46.26,1.04,17.64,0.18,5.72,11.37,2.13,0.32,0.17,9.87,5.334384431
STD_CN92C_OL2_020320_256s_20x25_c,0.47282869,0.80417283,0.116023278,0.312036634,0.026482157,5.47E-05,0.384002581,46.26,1.04,17.64,0.18,5.72,11.37,2.13,0.32,0.17,9.87,5.555625539
STD_CN92C_OL2_020520_256s_20x25_a,0.491062521,1.135551296,-0.079595837,0.338196776,0.059490415,6.87E-05,0.398374697,46.26,1.04,17.64,0.18,5.72,11.37,2.13,0.32,0.17,9.87,5.645799997
STD_CN92C_OL2_020520_256s_20x25_b,0.456370158,0.514980787,-0.02788289,0.250194211,0.054754378,-1.45E-05,0.419565654,46.26,1.04,17.64,0.18,5.72,11.37,2.13,0.32,0.17,9.87,5.788955097
STD_CN92C_OL2_020520_256s_20x25_c,0.514898236,1.066895249,-0.019801329,0.310758972,0.012123884,8.87E-05,0.393136429,46.26,1.04,17.64,0.18,5.72,11.37,2.13,0.32,0.17,9.87,5.759017735
STD_D1010_012821_256s_100x100_a,4.108080948,2.95431598,-0.847477238,0.316663878,0.296569205,-4.04E-05,2.340428761,51.41,1.26,16.58,0,7.57,10.98,3.01,0.37,0.18,7.58,0.782285655
STD_D1010_012821_256s_100x100_b,4.390422911,5.224283171,-0.854132565,0.538195006,0.123347922,0.000413963,2.236007482,51.41,1.26,16.58,0,7.57,10.98,3.01,0.37,0.18,7.58,0.797677859
STD_D1010_012821_256s_100x100_c,4.03969453,2.688774209,-0.815704405,0.253608943,0.292736914,-0.000105834,2.340566892,51.41,1.26,16.58,0,7.57,10.98,3.01,0.37,0.18,7.58,0.799810168
STD_D1010_020320_256s_100x100_a,3.936450558,1.950300324,-0.983251592,0.156713751,0.348493566,-0.000246851,2.07382293,51.41,1.26,16.58,0,7.57,10.98,3.01,0.37,0.18,7.58,0.792377082
STD_D1010_020320_256s_100x100_b,3.996863397,2.076440134,-0.949960423,0.044507872,0.233548206,-0.000188091,2.083591247,51.41,1.26,16.58,0,7.57,10.98,3.01,0.37,0.18,7.58,0.800943686
STD_D1010_020320_256s_100x100_c,4.12502941,3.076964401,-0.950543747,0.169075406,0.173840291,1.07E-05,2.039440072,51.41,1.26,16.58,0,7.57,10.98,3.01,0.37,0.18,7.58,0.799617796
STD_D1010_020520_256s_100x100_a,4.17651814,4.794403534,-0.45112973,0.21314828,0.096601403,0.000389596,1.760664487,51.41,1.26,16.58,0,7.57,10.98,3.01,0.37,0.18,7.58,0.929105733
STD_D1010_020520_256s_100x100_b,4.231629301,4.961002285,-0.489347207,0.205596924,0.063907443,0.000437444,1.750402544,51.41,1.26,16.58,0,7.57,10.98,3.01,0.37,0.18,7.58,0.903825516
STD_D1010_020520_256s_100x100_c,4.361710772,5.527285626,-0.557829827,0.22415061,-0.016215064,0.000572511,1.730862627,51.41,1.26,16.58,0,7.57,10.98,3.01,0.37,0.18,7.58,0.850250891
VF74_127-7_101220_256s_15x20_a,0.993038484,1.885691802,0.504366725,0.132904879,-0.246786828,0.000365294,0.581190206,51.37,1.11,17.3,0.17,3.79,7.56,3.66,0.85,0.22,9.064716998,5.3075675
VF74_127-7_101220_256s_15x20_b,1.090868669,2.625068802,0.704615108,0.402439432,-0.296178299,0.000453706,0.612512856,51.37,1.11,17.3,0.17,3.79,7.56,3.66,0.85,0.22,9.064716998,5.136102058
VF74_127-7_101220_256s_15x20_c,1.013922213,1.826323796,0.503322992,0.179832691,-0.221544724,0.000359026,0.590460879,51.37,1.11,17.3,0.17,3.79,7.56,3.66,0.85,0.22,9.064716998,5.306980952
VF74_131-1_101220_256s_25x50_a,0.66924823,-0.805402115,0.305969519,-0.270383675,0.067205553,5.33E-06,0.546492906,52.99,1.05,16.86,0.18,4.43,7.43,1.06,0.96,0.16,9.044716998,4.261935719
VF74_131-1_101220_256s_25x50_b,0.696340808,-0.763062344,0.304842543,-0.257699676,0.055891378,1.94E-05,0.553100033,52.99,1.05,16.86,0.18,4.43,7.43,1.06,0.96,0.16,9.044716998,4.247159275
VF74_131-1_101220_256s_25x50_c,0.679809353,-0.6554215,0.309808117,-0.256421025,0.053150666,3.12E-05,0.536648178,52.99,1.05,16.86,0.18,4.43,7.43,1.06,0.96,0.16,9.044716998,4.283468565
VF74_131-9_MI2_101220_256s_20x25_a,0.691000022,3.317558633,0.184479212,0.391633999,-0.222295908,0.000520243,0.185132666,51.01,1.17,16.8,0.19,4.27,8.64,3.72,0.84,0.12,9.47670476,2.363576798
VF74_131-9_MI2_101220_256s_20x25_b,0.708691996,3.437847369,0.181361187,0.396274207,-0.238333053,0.000544787,0.18040798,51.01,1.17,16.8,0.19,4.27,8.64,3.72,0.84,0.12,9.47670476,2.377083314
VF74_131-9_MI2_101220_256s_20x25_c,0.723109172,3.5199942,0.182475161,0.405057062,-0.247289197,0.000562909,0.181697551,51.01,1.17,16.8,0.19,4.27,8.64,3.72,0.84,0.12,9.47670476,2.568440439
VF74_132-1_101220_256s_40x50_a,1.421374441,3.084193663,0.213883349,0.125313921,-0.148510978,0.000574509,0.600670908,50.92,1.06,18.14,0.17,3.64,8.01,4.1,0.85,0.23,9.103715468,2.484839873
VF74_132-1_101220_256s_40x50_b,1.410448859,2.978490233,0.212837777,0.113085318,-0.143399731,0.000554975,0.606167435,50.92,1.06,18.14,0.17,3.64,8.01,4.1,0.85,0.23,9.103715468,2.49802649
VF74_132-1_101220_256s_40x50_c,1.415354098,2.999329108,0.212919856,0.114689507,-0.1453148,0.000560606,0.605493431,50.92,1.06,18.14,0.17,3.64,8.01,4.1,0.85,0.23,9.103715468,2.502415928
VF74_132-2_101220_256s_20x25_a,0.460991387,-2.486543247,0.762119609,-0.469506765,0.348443124,-0.00041231,0.685680589,52.93,1.17,16.43,0.18,4.17,7.47,0.95,0.95,0.15,9.39770629,3.86220367
VF74_132-2_101220_256s_20x25_b,0.430876507,-2.796681006,0.766030978,-0.513671402,0.3682526,-0.000465451,0.700957825,52.93,1.17,16.43,0.18,4.17,7.47,0.95,0.95,0.15,9.39770629,3.871835359
VF74_132-2_101220_256s_20x25_c,0.442900023,-2.536261668,0.751788115,-0.485880172,0.369827974,-0.000418395,0.680712936,52.93,1.17,16.43,0.18,4.17,7.47,0.95,0.95,0.15,9.39770629,3.980214
VF74_136-3_101220_256s_20x30_a,0.614044803,0.151414816,0.328316002,-0.154306684,-0.014042257,0.000173259,0.444435284,51.39,1.23,17.05,0.15,4.06,8.05,3.89,0.91,0.19,8.329739944,4.066973894
VF74_136-3_101220_256s_20x30_b,0.61757775,0.269278891,0.330909435,-0.131677922,-0.013508177,0.000187945,0.437692076,51.39,1.23,17.05,0.15,4.06,8.05,3.89,0.91,0.19,8.329739944,4.072526109
VF74_136-3_101220_256s_20x30_c,0.626491642,0.293704978,0.330329972,-0.134227548,-0.022709927,0.000196621,0.437406391,51.39,1.23,17.05,0.15,4.06,8.05,3.89,0.91,0.19,8.329739944,4.049304116
