,H2Ot_MEAN,H2Ot_STD,H2Ot_3550_M,H2Ot_3550_STD,H2Ot_3550_SAT,H2Om_1635_BP,H2Om_1635_STD,CO2_MEAN,CO2_STD,CO2_1515_BP,CO2_1515_STD,CO2_1430_BP,CO2_1430_STD,H2Om_5200_M,H2Om_5200_STD,OH_4500_M,OH_4500_STD,PH_5200_STN,ERR_5200,PH_4500_STN,ERR_4500,Density,Density_Sat,Tau,Eta,epsilon_H2Ot_3550,sigma_epsilon_H2Ot_3550,epsilon_H2Om_1635,sigma_epsilon_H2Om_1635,epsilon_CO2,sigma_epsilon_CO2,epsilon_H2Om_5200,sigma_epsilon_H2Om_5200,epsilon_OH_4500,sigma_epsilon_OH_4500
FR02MI01c,3.6280508896834163,0.33136148345759403,3.6280508896834163,0.33136148345759403,-,2.11857618196516,0.3415808331670192,680.1875809469565,53.61222735300584,757.0740952840041,76.20038565093529,603.3010666099088,75.4359656506781,2.3684066597990374,0.5233822836168988,1.7541503908439984,0.4056363643606426,4.243968621439186,-,5.988166144232438,-,2656.756314021197,2656.756314021197,0.6866945380860127,0.5754508473708502,64.76494029986466,7.401008082437057,34.92459878340096,8.527506710820557,234.1265733591972,19.743040159457212,0.9192396198815969,0.2966513811940247,0.7930336266736941,0.2756891797580799
FR02MI02a,4.8846400310423945,0.450930028806,3.5859233514646474,0.3266543498292995,*,1.948419346554632,0.34841254060233556,356.7274574233019,33.33370696581881,369.1990723428075,47.17404670340608,354.34797509076026,48.36774804145059,3.796513946118141,0.9952570371387595,3.005316059412008,0.8458055998530194,4.939752818427166,-,6.126177126351071,-,2763.486437864409,2724.940953321104,0.6501374200823549,0.4470643442726649,62.154883195081304,7.207784445805224,30.382357353601172,8.302652791866924,274.96552090557987,17.39370134241974,0.7483157735087742,0.2886706615556956,0.6638947964888957,0.2683150026224715
FR02MI02b,4.4247165944796425,0.38878264770110293,3.5581863728155554,0.32438076868518584,*,1.9304256884737523,0.3459642604100193,310.6323716860727,30.171207599167822,306.64578699495127,41.639112005902795,320.51178010200516,44.60340146267706,3.585432196252245,0.9322839913449869,2.536260251927547,0.7057786277448731,4.48563708090534,-,3.969607145568331,*,2763.8142489154266,2737.845224492475,0.6501374200823549,0.4470643442726649,62.154883195081304,7.207784445805224,30.382357353601172,8.302652791866924,274.96552090557987,17.39370134241974,0.7483157735087742,0.2886706615556956,0.6638947964888957,0.2683150026224715
FR02MI02c,4.199191003823678,0.36728647632245587,3.4100304250099702,0.3107657220890726,*,1.899549596908552,0.3401878465719248,352.37765058251273,30.88992778037901,365.2934591947724,42.94724753512787,345.5737655600969,45.10312271439648,2.818818785743961,0.7337745762969523,2.336058493118102,0.6590633814632235,4.185651139968414,-,5.186171976102742,-,2768.0617247273635,2744.2623692860725,0.6501374200823549,0.4470643442726649,62.154883195081304,7.207784445805224,30.382357353601172,8.302652791866924,274.96552090557987,17.39370134241974,0.7483157735087742,0.2886706615556956,0.6638947964888957,0.2683150026224715
FR02MI03a,3.745118538598515,0.5326395943994587,3.745118538598515,0.5326395943994587,-,1.632659924196259,0.3494157805667634,799.3862532254036,93.79187775834475,824.8121423223394,134.70271439791009,773.9603641284677,130.54824421485037,4.059603963008406,1.1856958906118582,2.7200885215734427,0.8461844614514145,4.21015314207339,-,2.149951503376661,*,2756.8965490668556,2756.8965490668556,0.6487853939742424,0.45549193424747836,62.058353010481454,7.200676560964254,30.21436738782146,8.294280767473412,272.2847569886702,17.55267061262722,0.7419943369345905,0.28837249617498506,0.6591187342740494,0.26804177203333757
FR02MI03b,3.8942901294334207,0.5549273856978956,3.8942901294334207,0.5549273856978956,-,1.7697095133840328,0.37886576273815276,843.5078083850385,98.19284267165216,880.7904701732907,142.9666070893877,806.2251465967862,134.6398405566048,2.906688315282639,0.8486439561960281,2.982656119907895,0.9068510608502918,2.4135607392953182,*,4.0254269972524215,-,2752.6006970315184,2752.6006970315184,0.6487853939742424,0.45549193424747836,62.058353010481454,7.200676560964254,30.21436738782146,8.294280767473412,272.2847569886702,17.55267061262722,0.7419943369345905,0.28837249617498506,0.6591187342740494,0.26804177203333757
FR02MI03c,3.9703016230239503,0.5655683265307618,3.9703016230239503,0.5655683265307618,-,1.8026780015910557,0.3859877653310462,882.040562939439,101.60029826270919,946.6103163319094,149.89251330954528,817.4708095469688,137.19590694344225,2.8524566441121824,0.8272616479559183,3.5686514853796436,1.0927125271836822,3.073524710484808,*,3.942290139604976,*,2750.421849150021,2750.421849150021,0.6487853939742424,0.45549193424747836,62.058353010481454,7.200676560964254,30.21436738782146,8.294280767473412,272.2847569886702,17.55267061262722,0.7419943369345905,0.28837249617498506,0.6591187342740494,0.26804177203333757
FR02MI04a,3.4051927594850797,0.3289025771955752,3.4051927594850797,0.3289025771955752,-,1.7743835314330678,0.3072434807763357,971.5565882300963,64.9516112118107,1011.8723754086291,93.0136914178057,931.2408010515635,90.68241508073146,2.1432924015795805,0.5223759033608896,1.7076940446852777,0.43694957478039526,10.155855459940499,-,15.965994040481618,-,2720.25037560518,2720.25037560518,0.6679868530301523,0.47464547366826854,63.429273568991285,7.3018821365173725,32.600158927177254,8.412800277890351,266.19213531227,17.911220419527577,0.8317713056080511,0.2925866485745288,0.7269483142774131,0.27191876929724557
FR02MI04b,3.370525898372467,0.3249453989588708,3.370525898372467,0.3249453989588708,-,1.7592727112504283,0.3041164785007498,975.6121260290817,65.34643939725244,1001.9735108829091,92.46276040469115,949.2507411752542,92.3648553614405,2.325349633406235,0.5669151805570102,1.5800655418463954,0.4027421914710055,6.718074473175212,-,10.841392383201269,-,2721.217104460187,2721.217104460187,0.6679868530301523,0.47464547366826854,63.429273568991285,7.3018821365173725,32.600158927177254,8.412800277890351,266.19213531227,17.911220419527577,0.8317713056080511,0.2925866485745288,0.7269483142774131,0.27191876929724557
FR02MI04c,3.363143462726094,0.32441435607537855,3.363143462726094,0.32441435607537855,-,1.7645855057958688,0.3050361513319815,988.1225922074632,66.30373454479688,1016.4804147998691,93.67812747462611,959.7647696150573,93.8570684136004,2.318473164141803,0.55398732618617,1.7386317183700777,0.45552220005974553,11.454099238097173,-,8.822110549788947,-,2721.423150231781,2721.423150231781,0.6679868530301523,0.47464547366826854,63.429273568991285,7.3018821365173725,32.600158927177254,8.412800277890351,266.19213531227,17.911220419527577,0.8317713056080511,0.2925866485745288,0.7269483142774131,0.27191876929724557
FR02MI05a,2.46617527419168,0.26463281906987846,2.46617527419168,0.26463281906987846,-,1.2510930995896574,0.2433880083069304,838.4609431349722,66.59354500249248,815.372573618992,89.12362002520248,861.5493126509524,98.973639407669,3.01216745793224,0.8592998902924994,1.9279706547228947,0.5757162699991895,2.8362622069919,*,2.4336967815529142,*,2814.951119411169,2814.951119411169,0.6411246388510683,0.4708729516733672,61.51140047622409,7.160455668436376,29.26251447368991,8.246765722120735,267.3921510783317,17.840893389057708,0.7061762581778841,0.2866788603529422,0.6320569468858883,0.26649290903425854
FR02MI05b,2.9164256215088593,0.3136678927078036,2.9164256215088593,0.3136678927078036,-,1.3427069527118807,0.26085346331531073,913.7578870384059,71.43921653247615,903.9291099751796,97.15886072404423,923.5866641016323,104.75878205621633,2.6303677789905966,0.8273625165508223,2.0928309811175234,0.6219489125473064,2.5713774523724595,*,3.030291044748644,*,2801.0763782990907,2801.0763782990907,0.6411246388510683,0.4708729516733672,61.51140047622409,7.160455668436376,29.26251447368991,8.246765722120735,267.3921510783317,17.840893389057708,0.7061762581778841,0.2866788603529422,0.6320569468858883,0.26649290903425854
FR02MI05c,2.45831640841439,0.26424129569506777,2.45831640841439,0.26424129569506777,-,1.2278006130197285,0.23896736692681184,767.7287196113466,62.417652601620794,747.5887861515962,84.07947185926105,787.8686530710971,92.27402579845645,4.391225028333443,1.2701769938393637,1.7696173875837684,0.555052360046391,4.9467453871158815,-,2.4637007373050133,*,2815.1956655614626,2815.1956655614626,0.6411246388510683,0.4708729516733672,61.51140047622409,7.160455668436376,29.26251447368991,8.246765722120735,267.3921510783317,17.840893389057708,0.7061762581778841,0.2866788603529422,0.6320569468858883,0.26649290903425854
FR02MI05d,2.8471138026686718,0.3061153290658737,2.8471138026686718,0.3061153290658737,-,1.3044017572252464,0.25353273719499797,821.8310454766208,65.9371231664682,840.4846705917922,91.58281572641083,803.1774203614493,94.8862725029404,3.0462696969366485,0.8837030501348828,2.652061878949718,0.7886829205681285,2.859182979091868,*,2.7939609300729664,*,2803.1950237968226,2803.1950237968226,0.6411246388510683,0.4708729516733672,61.51140047622409,7.160455668436376,29.26251447368991,8.246765722120735,267.3921510783317,17.840893389057708,0.7061762581778841,0.2866788603529422,0.6320569468858883,0.26649290903425854
