,H2Ot_MEAN,H2Ot_STD,H2Ot_3550_M,H2Ot_3550_STD,H2Ot_3550_SAT,H2Om_1635_BP,H2Om_1635_STD,CO2_MEAN,CO2_STD,CO2_1515_BP,CO2_1515_STD,CO2_1430_BP,CO2_1430_STD,H2Om_5200_M,H2Om_5200_STD,OH_4500_M,OH_4500_STD,PH_5200_STN,ERR_5200,PH_4500_STN,ERR_4500,Density,Density_Sat,Tau,Eta,epsilon_H2Ot_3550,sigma_epsilon_H2Ot_3550,epsilon_H2Om_1635,sigma_epsilon_H2Om_1635,epsilon_CO2,sigma_epsilon_CO2,epsilon_H2Om_5200,sigma_epsilon_H2Om_5200,epsilon_OH_4500,sigma_epsilon_OH_4500,H2O_EXP,H2O_EXP_STD,CO2_EXP,CO2_EXP_STD
BF77_50x50_051823_sp1,0.8750278755478942,0.0767547140086127,0.8750278755478942,0.0767547140086127,-,0.045046986275831,0.0139672936504604,752.1666178617634,38.798037998937325,757.6051833306554,53.205079312768,746.7280523928714,56.48336521127265,0.5915373492953586,0.1821518766321564,1.1640015297389563,0.3328384436443518,9.447809487,-,13.84064292,-,2872.284607219175,2872.284607219175,0.6426994871533086,0.2630397251114063,61.6238394272324,7.168716578730221,29.45819021605478,8.25654445445748,333.50260687498434,13.68384817262392,0.7135395062666885,0.2870276122701745,0.6376201334436877,0.266811412380824,0.696,0.0696,1030.0,27.0
BF77_50x50_051823_sp2,0.8724626381962788,0.0765680076511721,0.8724626381962788,0.0765680076511721,-,0.0596168625397819,0.0154798139519432,706.8123643605526,37.47923827692828,697.6437119760882,50.091362453473145,715.981016745017,55.76404410397299,0.1190971346493659,0.032841527021089,1.0357090795093644,0.3050671247307064,2.052263731,*,14.36391943,-,2872.3660141234973,2872.3660141234973,0.6426994871533086,0.2630397251114063,61.6238394272324,7.168716578730221,29.45819021605478,8.25654445445748,333.50260687498434,13.68384817262392,0.7135395062666885,0.2870276122701745,0.6376201334436877,0.266811412380824,0.696,0.0696,1030.0,27.0
BF77_50x50_051823_sp3,0.8403506456359977,0.0736595496940345,0.8403506456359977,0.0736595496940345,-,0.0184215174537824,0.0106784498854664,665.0149699377566,35.726976273102395,652.2198212241398,47.6000333538325,677.8101186513734,53.29075115992755,0.6621054755096165,0.1808212259070506,0.4138232420552136,0.1180590381573244,10.4456285,-,5.493445884,-,2873.385818245404,2873.385818245404,0.6426994871533086,0.2630397251114063,61.6238394272324,7.168716578730221,29.45819021605478,8.25654445445748,333.50260687498434,13.68384817262392,0.7135395062666885,0.2870276122701745,0.6376201334436877,0.266811412380824,0.696,0.0696,1030.0,27.0
CD33_12-2-2_VG9764_44x44_s1_EP_105um,0.2660649081837597,0.0207942696487362,0.2660649081837597,0.0207942696487362,-,9.991791185192639e-45,0.0005260513188406,133.8445065512904,13.71268958806468,109.64748255482635,16.673023459662208,158.04153054775446,21.775254571830462,0.4910871193344762,0.1400383744612312,0.1021118515491819,0.030634685092517,9.775817079,-,2.275648887,*,2905.585918538048,2905.585918538048,0.6353455242696043,0.2961476123991186,61.0987908424122,7.130174478593417,28.544456401473745,8.210832553183284,322.97119399523325,14.392414038340544,0.6791558433630662,0.285396446722048,0.6116420964461056,0.2653236791234412,0.27,0.03,170.0,17.0
CD33_12-2-2_VG9764_44x44_s2_EP_105um,0.2636575421430518,0.0206372648772233,0.2636575421430518,0.0206372648772233,-,2.1720685601695677e-45,0.0005594745892543,126.3323649231968,13.647010871803207,100.43107201501589,16.955091433317307,152.2336578313777,21.388980747766123,0.4780595293505522,0.1360666603809837,0.1160353571744128,0.0374136728149139,10.58473604,-,3.003466342,*,2905.666125094283,2905.666125094283,0.6353455242696043,0.2961476123991186,61.0987908424122,7.130174478593417,28.544456401473745,8.210832553183284,322.97119399523325,14.392414038340544,0.6791558433630662,0.285396446722048,0.6116420964461056,0.2653236791234412,0.27,0.03,170.0,17.0
CD33_12-2-2_VG9764_44x44_s3_EP_105um,0.2667145199066343,0.0208509175730966,0.2667145199066343,0.0208509175730966,-,1.7956396165044854e-48,0.0005450627751877,131.44267135591713,13.78699578695884,105.97418823677664,16.923957923518717,156.91115447505766,21.769351380357,0.490471979353367,0.1401336625612018,0.0994964714001267,0.0366755853987712,11.74068922,-,1.714792651,*,2905.5642767568165,2905.5642767568165,0.6353455242696043,0.2961476123991186,61.0987908424122,7.130174478593417,28.544456401473745,8.210832553183284,322.97119399523325,14.392414038340544,0.6791558433630662,0.285396446722048,0.6116420964461056,0.2653236791234412,0.27,0.03,170.0,17.0
CD33_22-1-1_VG9812_44x44_s1_EP_73um,0.5385478732103043,0.0449590731980581,0.5385478732103043,0.0449590731980581,-,6.487253985505194e-37,0.0034110771280843,66.45697780280757,15.982746262423037,59.91353923729398,20.73767093067882,73.00041636832115,24.325741853577025,0.4126514921465674,0.1186582888264064,0.3686851730192517,0.1087220178593624,5.412727684,-,4.844100082,-,2861.9168692562343,2861.9168692562343,0.6452473155181329,0.2374480428498767,61.80574593104139,7.182089457319374,29.774759250669767,8.272352753457305,341.64316171744326,13.119652049258749,0.7254519503485759,0.2875911885566513,0.6466203936532624,0.2673265870875808,0.49,0.05,109.0,10.9
CD33_22-1-1_VG9812_44x44_s2_EP_73um,0.5228522755579508,0.0437419608626389,0.5228522755579508,0.0437419608626389,-,2.2556644474572954e-29,0.0039053930332355,66.32786427306536,15.552985448714187,60.39741796971816,20.278712974149364,72.25831057641257,23.587183502566123,0.4518734807306367,0.1225038222836689,0.2755516654797981,0.0790043400966533,8.345936486,-,4.100159605,-,2862.4167259102537,2862.4167259102537,0.6452473155181329,0.2374480428498767,61.80574593104139,7.182089457319374,29.774759250669767,8.272352753457305,341.64316171744326,13.119652049258749,0.7254519503485759,0.2875911885566513,0.6466203936532624,0.2673265870875808,0.49,0.05,109.0,10.9
CD33_22-1-1_VG9812_44x44_s3_EP_73um,0.5302144868938746,0.0443592918052885,0.5302144868938746,0.0443592918052885,-,3.561867251503278e-36,0.0047329918142109,67.87485773806617,15.912960559164429,65.39328152208915,20.504078507513366,70.35643395404317,24.340748131226757,0.4164640910481085,0.1142930688000166,0.2838735344139332,0.0794402684635504,6.963665319,-,3.349472058,*,2862.1822206720326,2862.1822206720326,0.6452473155181329,0.2374480428498767,61.80574593104139,7.182089457319374,29.774759250669767,8.272352753457305,341.64316171744326,13.119652049258749,0.7254519503485759,0.2875911885566513,0.6466203936532624,0.2673265870875808,0.49,0.05,109.0,10.9
CI_ETNA_4_1_1_100x100_256s_sp3,2.669103986833334,0.2198182838027972,2.645790457560372,0.2068129346268127,*,1.1379068338028626,0.1909346662109288,2649.8953852008017,94.3207217960342,2702.3130012260017,135.65029900946732,2598.7697773704576,131.0644970306685,1.3323536486353424,0.3228764210186622,1.531847839892143,0.3963320940453903,9.153056821,-,12.79765415,-,2788.165011482231,2787.485465020895,0.6575956648102835,0.3675100268763061,62.68737715807356,7.247044125492372,31.30904824300317,8.348762389768984,300.2712541161302,15.85206368379055,0.7831870091450144,0.2903115054658893,0.6902412114141718,0.2698215764188176,,,,
