,Density,Density_Sat,Tau,Eta,epsilon_H2OT_3550,sigma_epsilon_H2OT_3550,epsilon_H2Om_1635,sigma_epsilon_H2Om_1635,epsilon_CO2,sigma_epsilon_CO2,epsilon_H2Om_5200,sigma_epsilon_H2Om_5200,epsilon_OH_4500,sigma_epsilon_OH_4500
AC4_OL21_012821_256s_20x25_b,2707.5235310403023,2707.5235310403023,0.6913040713712982,0.4685643386635172,65.06302365674013,7.445963922145389,35.49733602425792,8.555656320959326,269.9494750115508,18.668374112964308,0.9407915422105031,0.29766846665568475,0.8093168408086813,0.27658746834750536
AC4_OL21_012821_256s_20x25_c,2707.4333215283846,2707.4333215283846,0.6913040713712982,0.4685643386635172,65.06302365674013,7.445963922145389,35.49733602425792,8.555656320959326,269.9494750115508,18.668374112964308,0.9407915422105031,0.29766846665568475,0.8093168408086813,0.27658746834750536
AC4_OL24_020320_256s_25x25_CO2_a,2676.5098057314776,2676.5098057314776,0.7062741034634854,0.5180296921841592,66.13141525138752,7.5258294844658975,37.35737050570931,8.646781769803749,253.4055677064983,19.6203283820811,1.010784346418423,0.300884534870579,0.8621988085150383,0.2795984488316509
AC4_OL24_020320_256s_25x25_CO2_b,2677.106856000939,2677.106856000939,0.7062741034634854,0.5180296921841592,66.13141525138752,7.5258294844658975,37.35737050570931,8.646781769803749,253.4055677064983,19.6203283820811,1.010784346418423,0.300884534870579,0.8621988085150383,0.2795984488316509
AC4_OL24_020320_256s_25x25_CO2_c,2677.392074897997,2677.392074897997,0.7062741034634854,0.5180296921841592,66.13141525138752,7.5258294844658975,37.35737050570931,8.646781769803749,253.4055677064983,19.6203283820811,1.010784346418423,0.300884534870579,0.8621988085150383,0.2795984488316509
AC4_OL24_020320_256s_25x30_H2O_a,2663.167969597532,2663.167969597532,0.7062741034634854,0.5180296921841592,66.13141525138752,7.5258294844658975,37.35737050570931,8.646781769803749,253.4055677064983,19.6203283820811,1.010784346418423,0.300884534870579,0.8621988085150383,0.2795984488316509
AC4_OL24_020320_256s_25x30_H2O_b,2661.8558182251527,2661.8558182251527,0.7062741034634854,0.5180296921841592,66.13141525138752,7.5258294844658975,37.35737050570931,8.646781769803749,253.4055677064983,19.6203283820811,1.010784346418423,0.300884534870579,0.8621988085150383,0.2795984488316509
AC4_OL24_020320_256s_25x30_H2O_c,2661.7317894198736,2661.7317894198736,0.7062741034634854,0.5180296921841592,66.13141525138752,7.5258294844658975,37.35737050570931,8.646781769803749,253.4055677064983,19.6203283820811,1.010784346418423,0.300884534870579,0.8621988085150383,0.2795984488316509
AC4_OL27_020520_256s_20x25_a,2702.905199996415,2685.7837133671546,0.6939064233828023,0.4896321369465031,65.24875011332239,7.459824966487302,35.82067965134327,8.571529928125122,262.903256252196,19.076806815788114,0.9529589119061468,0.29822928552209294,0.8185097065410636,0.2771111830246679
AC4_OL27_020520_256s_20x25_b,2705.9952767740147,2686.1316995608804,0.6939064233828023,0.4896321369465031,65.24875011332239,7.459824966487302,35.82067965134327,8.571529928125122,262.903256252196,19.076806815788114,0.9529589119061468,0.29822928552209294,0.8185097065410636,0.2771111830246679
