,H2OT_MEAN,H2OT_STD,H2OT_3550_M,H2OT_3550_STD,H2OT_3550_SAT,H2Om_1635_BP,H2Om_1635_STD,CO2_MEAN,CO2_STD,CO2_1515_BP,CO2_1515_STD,CO2_1430_BP,CO2_1430_STD,H2Om_5200_M,H2Om_5200_STD,OH_4500_M,OH_4500_STD,PH_5200_S2N,ERR_5200,PH_4500_S2N,ERR_4500,H2O_EXP,H2O_EXP_STD,CO2_EXP,CO2_EXP_STD
BF77_50x50_051823_sp3,0.8407591236795691,0.0738516258568101,0.8407591236795691,0.0738516258568101,-,0.0113452270998065,0.0089571807305768,595.5352155421815,31.94318299062308,583.0688282055928,42.56741478255483,608.0016028787701,47.63909064014194,0.6621085329842504,0.1809351196807703,0.4138251762543427,0.1181203392261852,10.445628501043965,-,5.493445884268685,-,0.696,0.0696,703.0,19.0
CD33_12-2-2_VG9764_44x44_s1_EP_105um,0.2661936317906068,0.0208985119845056,0.2661936317906068,0.0208985119845056,-,9.899132911479408e-47,0.0005063558384213,78.48582416169637,8.753574011196239,61.4304649456341,11.519389189190154,95.54118337775864,13.183470885390154,0.4910879009598964,0.1397342103294686,0.10211201372514,0.0306144163923799,9.775817078758717,-,2.275648886649353,*,0.27,0.03,170.0,17.0
CD33_12-2-2_VG9764_44x44_s2_EP_105um,0.2637850972126747,0.0206921415965939,0.2637850972126747,0.0206921415965939,-,9.33787199708902e-44,0.0005160300533128,74.73894484418147,8.839380906955126,54.97716375929962,11.840195754808894,94.50072592906332,13.12815233613538,0.478060245468535,0.1357123813150279,0.1160355814639577,0.0373257407249668,10.584736035559713,-,3.003466342113648,*,0.27,0.03,170.0,17.0
CD33_12-2-2_VG9764_44x44_s3_EP_105um,0.2668435582662293,0.020942318669587,0.2668435582662293,0.020942318669587,-,1.7103557493867784e-46,0.0005134229409898,78.45800003572089,8.81125846007447,59.682402272771625,11.69519421598858,97.23359779867012,13.182394882996144,0.4904727169239429,0.1401750575116503,0.0994966599672042,0.0366241856870514,11.740689223907438,-,1.7147926506106508,*,0.27,0.03,170.0,17.0
CD33_22-1-1_VG9812_44x44_s1_EP_73um,0.5388086373482931,0.0451490396263287,0.5388086373482931,0.0451490396263287,-,2.5267680345966707e-42,0.0032742049323087,47.80773693206226,14.149174208136133,42.113132571404975,17.98343450003496,53.50234129271955,21.84931593143573,0.4126527379356131,0.1184272346347672,0.3686863239596538,0.1086769036606164,5.412727683791551,-,4.844100082201631,-,0.49,0.05,109.0,10.9
CD33_22-1-1_VG9812_44x44_s2_EP_73um,0.5231053967817059,0.0438501986107963,0.5231053967817059,0.0438501986107963,-,1.5317834119326895e-25,0.0036646216774185,50.92119448812092,14.22201733183585,45.37766913678504,18.000739039129705,56.46471983945679,22.023544265020316,0.4518747519574555,0.1224581469657433,0.275552478754046,0.0790978829722377,8.345936485958887,-,4.100159605027521,-,0.49,0.05,109.0,10.9
CD33_22-1-1_VG9812_44x44_s3_EP_73um,0.5304711929790903,0.0443392827474365,0.5304711929790903,0.0443392827474365,-,1.6304168319413327e-24,0.0044094388086473,53.3441016930454,14.038781727975463,51.17046946066378,18.16710083204341,55.517733925427024,21.408082982399865,0.4164653266557377,0.1144640502497728,0.2838743651231227,0.0794991790768418,6.963665318556896,-,3.3494720578838497,*,0.49,0.05,109.0,10.9
CI_ETNA_4_1_1_100x100_256s_sp3,2.673663676042344,0.2203557645729657,2.647183307953882,0.2071825176655247,*,1.142484945928019,0.1915707121040509,2581.4175985025804,94.30562226057668,2636.7929666995105,135.5812158562225,2527.471734680953,130.93282065079154,1.3324155624576928,0.3225551029824451,1.5319190237276492,0.3961596155886959,9.153056821461805,-,12.797654147380236,-,,,,
CI_ETNA_4_1_1_50x50_256s_sp5,2.76899268044414,0.2285750235850225,3.034538454587374,0.2373690258760992,*,1.183428268836053,0.1984069317904667,2681.954613974219,97.28460411271872,2746.897315830108,140.51597147008476,2602.1910781689844,133.59816136846848,1.34730759033768,0.3285457994754664,1.577913502731781,0.4100342403902129,10.717609774552256,-,15.99610280463378,-,,,,
CI_IPGP_B6_1_50x50_256s_sp1,1.4069602653596018,0.1399306960760036,1.4069602653596018,0.1399306960760036,-,0.3281894697366507,0.0693789877782701,2234.117386608628,123.09087906863722,2371.539529693121,182.81213911445732,2096.695243524134,164.87928866887978,0.9283943319076384,0.324856356798141,1.183230278155986,0.4150660145033238,6.1973269105417685,-,5.652272509721634,-,,,,
CI_IPGP_B6_1_50x50_256s_sp2,1.0857968508840836,0.1078561271259032,1.0857968508840836,0.1078561271259032,-,0.082960385415468,0.0237457794266418,1534.4085877635837,86.65539982747728,1486.1008365392172,117.86400473463708,1582.7163389879497,127.06183402168116,0.6274519942221983,0.209269970198708,0.875538234922312,0.2980873965344547,8.8201629785148,-,9.665502922694731,-,,,,
CI_IPGP_B6_2_50x50_256s_sp1,0.966293878934022,0.1388167108667312,0.966293878934022,0.1388167108667312,-,0.0876324974898495,0.0364796624476855,1379.5471726167405,134.2156931884317,1471.452848070395,198.10338659368165,1287.641497163086,181.13657116198047,0.6042465445838926,0.2154554098824105,0.7203101699654795,0.2597536137538271,4.286823621342716,-,6.608363490649132,-,,,,
CI_IPGP_NBO_2_2_1_100x100_256s_sp1,,,,,-,,,,,,,,,,,,,4.375742669666226,-,10.849414704029911,-,,,,
CI_LMT_BA17_3_50x50_256s_sp1,0.1978028657022996,0.0218769301748784,0.1978028657022996,0.0218769301748784,-,0.8221834810188892,0.1538904236439663,17567.539689258803,1131.7239397162734,17761.71004958749,1618.9145230859792,17373.36932893012,1581.8698018007012,0.2431601424816526,0.0673311570812426,0.3137318880246413,0.0868386329023283,5.388611840359594,-,3.0040497147195038,*,,,,
CI_LMT_BA17_4_50x50_256s_sp1,0.2579463746229525,0.0312434745127225,0.2579463746229525,0.0312434745127225,-,0.8964898955064362,0.1736346116777094,19144.40091119541,1383.8427970919029,19365.25701127788,1979.3173023486795,18923.54481111295,1934.5248938371692,0.6775539067176137,0.1883194201650116,0.3446223646800219,0.1099753340022488,6.837401243997131,-,3.506907946260877,*,,,,
CI_LMT_BA5_2_50x50x_256s_sp1,0.2627220614182462,0.023208864405367,0.2627220614182462,0.023208864405367,-,3.471338752715685e-38,0.0028260221832208,3501.811597003044,156.5386303482507,3518.9382639728788,222.3386054243058,3484.6849300332096,220.41532547261764,0.3284347276104111,0.0909248947418575,0.2074859052205874,0.0546696743257566,2.832653053671239,*,1.80630857552403,*,,,,
CI_Ref_10_1_100x100_256s_040523_sp2,0.8395835683582779,0.1024706758070328,0.8395835683582779,0.1024706758070328,-,0.3666785778497954,0.0740713763355731,8515.884971709442,628.1340178546167,7796.702508653158,810.2815496641813,9235.067434765726,960.0277015891512,1.2068778707756416,0.3968303181337927,1.8982679457115528,0.5295535659152713,2.7481690077940164,*,3.194594399640552,*,,,,
CI_Ref_10_1_100x100_256s_060223_sp2,0.831601194010153,0.0783552845282048,0.831601194010153,0.0783552845282048,-,0.290729537501699,0.0528237246489343,4492.127383687815,223.56724899962148,4448.346840936958,312.7831641324285,4535.907926438674,319.5245710995342,0.2887935538467271,0.0731928923463423,0.6584108816933024,0.1769035997308418,5.006684397426516,-,6.187115372585424,-,,,,
CI_Ref_10_1_100x100_256s_sp1,0.8204665631764252,0.0786475332899805,0.8204665631764252,0.0786475332899805,-,0.2933073381014253,0.0536088095462923,4809.154656120167,246.37082370804555,4735.187532853802,342.79720602427943,4883.121779386531,353.9553737977023,0.3127668490776625,0.0786478277465813,0.4449869386545773,0.1181664649044658,12.228288181698304,-,12.433084027978737,-,,,,
CI_Ref_10_1_100x100_256s_sp3,0.837118881541048,0.1045080011555578,0.837118881541048,0.1045080011555578,-,0.4485964329136875,0.0904613588187271,8692.702836779132,660.1157301861836,8252.109609412484,883.9217621270367,9133.296064145778,980.6596899002158,0.6593853489474463,0.1751745733613921,0.598533514973879,0.1676409279087897,5.197652722883716,-,6.946905774324879,-,,,,
CI_Ref_10_1_100x100_256s_sp5,0.7676769391554462,0.0959714631175617,0.7676769391554462,0.0959714631175617,-,0.2814581331055393,0.0590378885057192,7067.64280140954,538.8167721245649,6467.045527805562,696.5307451259836,7668.240075013518,822.276703297122,0.4260936726322387,0.1158305735631015,0.4007134873026702,0.112338395968121,6.907209118789109,-,5.681637094256863,-,,,,
CI_Ref_10_chip1_100x100_256s_sp1,0.8117365418577076,0.0622884162906697,0.8117365418577076,0.0622884162906697,-,0.3145303219155739,0.0526837757948682,5479.455258464075,171.33838677653245,5473.786028804803,242.0729688009155,5485.124488123347,242.5449420388921,0.1369485352270563,0.0338740466899179,0.6564056840450362,0.1693464186907375,12.831905124509085,-,20.672675006825045,-,,,,
CI_Ref_10_chip1_100x100_256s_sp2,0.7896307019229255,0.0605581339232703,0.7896307019229255,0.0605581339232703,-,0.2797646532418223,0.0469420584263724,4828.906643948028,150.9510234996246,4831.959891821363,213.29440438402764,4825.853396074695,213.65940896857265,0.2790765926603679,0.0677058867834548,0.4395324417023137,0.1131240296444404,23.005587642673287,-,9.795080309062817,-,,,,
CI_Ref_10_chip1_100x100_256s_sp3,0.7909450564471396,0.0607225462524545,0.7909450564471396,0.0607225462524545,-,0.275476000392447,0.0462275055093818,4880.238491262231,152.52140110882283,4897.84487030794,216.40973931662597,4862.632112216523,214.9835712646519,0.1903985721936602,0.0465112247322281,0.5162922598274365,0.1325977447798987,14.908543036144833,-,15.507606156154004,-,,,,
CI_Ref_10_chip1_100x100_256s_sp4,0.8183745122310386,0.0626626351772104,0.8183745122310386,0.0626626351772104,-,0.3051585570168345,0.0511078500913936,5426.458132193879,168.36973253354927,5408.206996878505,237.0760210959049,5444.709267509251,239.1410202265804,0.5646168084489009,0.1369475348594682,0.333286340610363,0.0856845774768665,26.656049389679144,-,10.6072847875285,-,,,,
CI_Ref_10_chip1_100x100_256s_sp5,0.7870702684923471,0.0605105206170431,0.7870702684923471,0.0605105206170431,-,0.2863859790837962,0.0480365646861225,4796.15914530703,150.98292737874436,4809.114484186319,214.0407548443124,4783.20380642774,213.0021894373336,0.2577499502432313,0.0623844940641954,0.4545472476835186,0.1170634566795482,19.015751553743165,-,16.79653592526068,-,,,,
CI_Ref_11_1_100x100_256s_sp1,1.94361231690062,0.2875673712813374,1.94361231690062,0.2875673712813374,-,0.7442575490799735,0.1572108475357128,10439.69663639772,985.7849411181586,10441.840872575176,1395.6121121821166,10437.552400220262,1392.6071351504331,0.1986763374104517,0.0926747254345785,1.1085819696255956,0.3127472199518152,3.992879093474949,*,8.02074825850312,-,,,,
CI_Ref_11_1_100x100_256s_sp2,1.038706790628321,0.1536471767589446,1.038706790628321,0.1536471767589446,-,0.4979632214835414,0.1067286325086492,6342.493032769957,598.924544407551,6354.467468786485,847.6117469541421,6330.518596753427,846.4022483432552,0.6153076655168568,0.1688516361023392,0.119265829639075,0.0336785902424132,8.30892453029976,-,4.079891874790737,-,,,,
CI_Ref_11_1_100x100_256s_sp3,1.1608902163256567,0.161219155001906,1.1608902163256567,0.161219155001906,-,0.4627636885756672,0.0960580889244438,7038.323410488043,613.8543867952307,6952.345292032155,857.3661220768038,7124.301528943932,878.744653164944,0.6834371902139033,0.1831554229530005,0.9388220640903766,0.2632662974411718,4.964144076179572,-,4.149642517036695,-,,,,
CI_Ref_11_1_100x100_256s_sp4,0.9530008292629072,0.1284097083679418,0.9530008292629072,0.1284097083679418,-,0.4126672174473773,0.0848306069791454,5839.012887234769,490.8306075135744,5843.36305215276,692.9116405711476,5834.662722316777,695.3647959521525,0.1168931602913502,0.0487961374069811,0.7681428162179406,0.209958010210356,3.2223090317640377,*,19.674122916663364,-,,,,
CI_Ref_13_1_100x100_256s_sp1,1.0616453142524247,0.1751310296308585,1.0616453142524247,0.1751310296308585,-,0.2525489832551713,0.0635367724555858,5258.105176105579,566.5761576688235,5240.441078856565,798.1398685231198,5275.769273354594,804.3674036340402,0.5098313725415331,0.1488553332341742,0.7403725527267331,0.2297436427150453,10.682186354794288,-,8.391566021720996,-,,,,
CI_Ref_13_1_100x100_256s_sp2,1.074683337500741,0.2135489505196634,1.074683337500741,0.2135489505196634,-,0.436675769458075,0.1154192340609198,5628.550660341423,748.4851827385822,5646.509793239618,1059.2829076049966,5610.591527443228,1057.7523324354995,0.546851872880495,0.168948149827254,0.4682045475288637,0.1506130671626689,7.916947636905998,-,7.685991259810738,-,,,,
CI_Ref_13_1_100x100_256s_sp3,1.10812822227284,0.1805865237741641,1.10812822227284,0.1805865237741641,-,0.4693559796728099,0.1078055950058421,5649.69389883767,599.4291086496404,5718.967955247768,856.9679840944111,5580.419842427572,838.3715759871459,0.6962844148226913,0.1964888265543543,0.7561854051896233,0.2230561448988926,6.702853893680562,-,17.564481286488967,-,,,,
CI_Ref_13_1_100x100_256s_sp4,1.1233395994530668,0.1829880581589128,1.1233395994530668,0.1829880581589128,-,0.3749898279273264,0.087794845390661,5612.144752041026,594.7463165581518,5629.187444096715,843.2906973777916,5595.102059985336,838.900187122422,1.1749667589680692,0.3267017072019759,1.1705798765474686,0.3440167266904386,5.732634476574624,-,5.862575727587717,-,,,,
CI_Ref_14_1_100x100_256s_sp2,1.0472375261318247,0.1413228536534994,1.0472375261318247,0.1413228536534994,-,0.2422416804895659,0.0536368170887684,2600.6456333131946,223.4471988073226,2617.262137797732,316.6467495373768,2584.0291288286576,315.356050563122,1.002169621669819,0.2761333019451639,1.2089195503741093,0.3327410192829886,4.077804313484024,-,4.434663964347729,-,,,,
CI_Ref_14_1_100x100_256s_sp3,1.0933299580034408,0.1518208370670125,1.0933299580034408,0.1518208370670125,-,0.3017800421043976,0.0655084679695878,3134.805831879224,277.62077375228046,3143.7993021674997,392.5524707493405,3125.812361590949,392.677646147381,1.149064929369703,0.3152377072361114,2.262012071896649,0.6345034657124603,4.086661497287298,-,4.009645124309713,-,,,,
CI_Ref_15_2_100x100_256s_sp1,0.9730778485730652,0.2569808006575579,0.9730778485730652,0.2569808006575579,-,0.198656221935801,0.0766989484756959,2020.3895989374253,383.3597000411544,2153.963858598785,583.1380780156509,1886.8153392760664,497.80379712371433,0.5879514578277754,0.2099169042613909,0.5931151039374246,0.2230965680531443,7.880544259900279,-,7.2880098920379455,-,,,,
CI_Ref_15_2_100x100_256s_sp2,1.0791973417130776,0.3385347788303489,1.0791973417130776,0.3385347788303489,-,0.1524940647551779,0.0795634023999908,2511.5368306681385,893.8425883184055,2541.783005691929,801.9991728939361,2481.290655644348,1597.690713950741,1.4692193632582642,0.6204940492415653,2.2303544323255684,0.9020932560923584,8.341950316014975,-,8.639847644541815,-,,,,
CI_Ref_15_2_100x100_256s_sp5,0.9633718042549192,0.2507251513927232,0.9633718042549192,0.2507251513927232,-,0.1673030482464509,0.0684015776313672,2149.994834615615,406.6651290192356,2237.4354655512348,572.128811045821,2062.554203679996,578.0784827445332,0.7877917577535924,0.2843850288206476,1.253001915058939,0.4646908470298749,7.290773822845366,-,6.360704100814568,-,,,,
CI_Ref_18_1_100x100_256s_sp1,1.003678135965112,0.125261649901102,1.003678135965112,0.125261649901102,-,0.1897750371685053,0.0419199339299157,2721.1161260900008,211.52940119118952,2689.021818461482,294.73120456727213,2753.21043371852,303.5000285461892,0.4998198823998897,0.1263635298026105,0.6532017993978215,0.1893027663923895,13.27463151122356,-,7.379988097357689,-,,,,
CI_Ref_18_1_100x100_256s_sp2,1.06991476220229,0.1483897854687583,1.06991476220229,0.1483897854687583,-,0.2805024276084266,0.0613894977204165,2989.9690531484543,264.6515931552645,3014.251754515767,376.8235139494153,2965.6863517811416,371.7067424372249,0.9257619108490708,0.2638430172060813,1.6259873956986488,0.4718985689624117,12.911522171828452,-,10.3918668345581,-,,,,
CI_Ref_18_1_100x100_256s_sp3,0.9921554818801408,0.1238803202791984,0.9921554818801408,0.1238803202791984,-,0.1689759262564529,0.0385070986569248,2215.15697111107,173.79937592276357,2223.108451831835,245.4687884442613,2207.2054903903054,246.10966292341064,0.7619842723138951,0.1937228091559979,0.6805059060160311,0.1840015369712523,6.46252352013515,-,3.1148448878953694,*,,,,
CI_Ref_18_1_100x100_256s_sp4,1.014859332268066,0.1294703405932037,1.014859332268066,0.1294703405932037,-,0.1746570820501022,0.0400191340144885,2462.2018771932726,198.14702281047423,2385.444428884653,271.0130870857748,2538.959325501893,289.1381628613847,0.342197129339703,0.0987385555303887,0.9624456376173338,0.2819194150716035,4.3047836569532265,-,4.105358692136667,-,,,,
CI_Ref_18_1_100x100_256s_sp5,0.953226676174653,0.1247569244345653,0.953226676174653,0.1247569244345653,-,0.3316102161920705,0.0690092103662825,2756.5954614566854,228.4054427766276,2818.330962750148,328.0954137215704,2694.8599601632222,317.8515135323737,0.3122300688459287,0.0874090085472207,0.7826692054026411,0.2135604121079718,5.057568855444679,-,7.624511131243228,-,,,,
CI_Ref_20_1_100x100_256s_sp1,0.7039243000710315,0.1228303542533106,0.7039243000710315,0.1228303542533106,-,0.1852093731815246,0.0528051630347193,3226.181396459609,376.1419473522772,3227.6430537204765,530.3219434111809,3224.7197391987424,533.5632057858198,0.7928671488646818,0.3398046089669871,1.8236850855738915,0.5816607090810014,3.3094573061261534,*,22.463098239918512,-,,,,
