,H2Ot_MEAN,H2Ot_STD,H2Ot_3550_M,H2Ot_3550_STD,H2Ot_3550_SAT,H2Om_1635_BP,H2Om_1635_STD,CO2_MEAN,CO2_STD,CO2_1515_BP,CO2_1515_STD,CO2_1430_BP,CO2_1430_STD,H2Om_5200_M,H2Om_5200_STD,OH_4500_M,OH_4500_STD,PH_5200_S2N,ERR_5200,PH_4500_S2N,ERR_4500,Density,Density_Sat,Tau,Eta,epsilon_H2OT_3550,sigma_epsilon_H2OT_3550,epsilon_H2Om_1635,sigma_epsilon_H2Om_1635,epsilon_CO2,sigma_epsilon_CO2,epsilon_H2Om_5200,sigma_epsilon_H2Om_5200,epsilon_OH_4500,sigma_epsilon_OH_4500
AC4_OL29_012821_256s_10x12_a,2.490102425,0.224712638,2.490102425,0.224712638,-,1.023212774,0.159238591,45.66360049,20.28239116,3.91E-18,8.460431414,91.32720097,39.67269419,1.354985692,0.281512936,2.536130597,0.648105054,1.374252325,*,3.543864351,*,2695.514209,2695.514209,0.699093896,0.509805771,65.61897323,7.487483769,36.46522587,8.603130905,256.1560945,19.463719,0.977213084,0.299345007,0.836834567,0.278154774
AC4_OL29_012821_256s_12x22_a,2.443272106,0.220812091,2.443272106,0.220812091,-,1.075347644,0.167540275,127.096807,22.47765963,2.19E-28,11.96492304,254.1936141,43.33383606,1.60805768,0.459813649,2.710517131,0.59872567,1.535462512,*,4.529920771,-,2696.76806,2696.76806,0.699093896,0.509805771,65.61897323,7.487483769,36.46522587,8.603130905,256.1560945,19.463719,0.977213084,0.299345007,0.836834567,0.278154774
AC4_OL29_012821_256s_12x22_b,2.459525735,0.22187404,2.459525735,0.22187404,-,1.050612931,0.163769702,52.32371842,20.22753364,4.08E-31,6.342931941,104.6474368,39.95472041,1.685069653,0.345047259,2.034114416,0.45096388,2.137332106,*,3.736649835,*,2696.332613,2696.332613,0.699093896,0.509805771,65.61897323,7.487483769,36.46522587,8.603130905,256.1560945,19.463719,0.977213084,0.299345007,0.836834567,0.278154774
AC4_OL29_012821_256s_12x22_c,2.433949453,0.219114886,2.433949453,0.219114886,-,1.067111904,0.166095297,49.73036276,20.28810985,3.77E-22,8.089271672,99.46072553,39.76170632,1.398528627,0.310781447,1.706139284,0.381579025,1.666850986,*,3.552695686,*,2697.017948,2697.017948,0.699093896,0.509805771,65.61897323,7.487483769,36.46522587,8.603130905,256.1560945,19.463719,0.977213084,0.299345007,0.836834567,0.278154774
AC4_OL32_MI1_021420_256s_25x30_a,1.944799839,0.130257415,2.236276647,0.180589593,*,0.886067026,0.131204656,107.9627445,17.37342093,34.03995846,20.69315908,181.2294509,27.80217321,0.869369057,0.167513836,1.052823628,0.223897364,5.312951371,-,9.101106908,-,2700.091325,2708.320432,0.703490819,0.462447851,65.93277585,7.510956942,37.01154586,8.629873499,271.9951613,18.54891846,0.99777102,0.300288419,0.852366793,0.279038943
AC4_OL32_MI1_021420_256s_25x30_b,2.239743309,0.180738357,2.239743309,0.180738357,-,0.887333227,0.131508713,106.8257397,17.17759905,33.07195092,20.50882072,180.5795284,27.56207374,0.830299979,0.160323545,1.106383442,0.234384931,6.81999227,-,6.218844859,-,2700.183154,2700.183154,0.703490819,0.462447851,65.93277585,7.510956942,37.01154586,8.629873499,271.9951613,18.54891846,0.99777102,0.300288419,0.852366793,0.279038943
AC4_OL32_MI1_021420_256s_25x30_c,2.030372335,0.138525121,2.2207985,0.179462082,*,0.887824853,0.131633398,118.2090691,18.7782709,52.99889622,24.04936847,182.9502715,28.75360183,0.796547128,0.153278008,1.138519936,0.243531893,5.315563957,-,8.573174932,-,2700.581749,2705.949402,0.703490819,0.462447851,65.93277585,7.510956942,37.01154586,8.629873499,271.9951613,18.54891846,0.99777102,0.300288419,0.852366793,0.279038943
AC4_OL32_MI2_021220_20x35_256s_a,2.77051491,0.191206233,2.41464096,0.195363171,*,1.240145898,0.187083118,462.4063591,30.05323687,455.181065,40.35787685,473.0167872,44.74367809,1.845717842,0.365812657,1.540510054,0.335331883,12.40208767,-,14.37507223,-,2707.814147,2697.93876,0.696987431,0.475989395,65.46863763,7.476247868,36.20349655,8.590305352,267.4661318,18.81284794,0.967364252,0.298892301,0.829393435,0.277731065
AC4_OL32_MI2_021220_20x35_256s_b,2.808989152,0.194659204,2.413380104,0.194764824,*,1.235445392,0.186427435,501.0943822,31.59299526,492.9685768,42.5887976,513.2966056,47.07429624,1.908343466,0.380978405,1.584969366,0.343598627,10.54133489,-,9.63803807,-,2707.87502,2696.905317,0.696987431,0.475989395,65.46863763,7.476247868,36.20349655,8.590305352,267.4661318,18.81284794,0.967364252,0.298892301,0.829393435,0.277731065
AC4_OL32_MI2_021220_20x35_256s_c,2.732685354,0.188681298,2.418778967,0.19532677,*,1.229746278,0.18515686,467.1285625,30.19467071,456.4341241,40.67492441,480.8404451,44.86471152,1.932321581,0.384590825,1.511765047,0.330051709,8.675729426,-,8.595062834,-,2707.673477,2698.956443,0.696987431,0.475989395,65.46863763,7.476247868,36.20349655,8.590305352,267.4661318,18.81284794,0.967364252,0.298892301,0.829393435,0.277731065
