,Density,Density_Sat,Tau,Eta,epsilon_H2OT_3550,sigma_epsilon_H2OT_3550,epsilon_H2Om_1635,sigma_epsilon_H2Om_1635,epsilon_CO2,sigma_epsilon_CO2,epsilon_H2Om_5200,sigma_epsilon_H2Om_5200,epsilon_OH_4500,sigma_epsilon_OH_4500
BF77_1_RA,2877.791224074287,2877.791224074287,0.6426994871533086,0.26303972511140633,61.59417810450295,7.188906974510447,29.45819048032473,8.256543033911358,347.26329552988534,15.19761898649665,0.7135394477709345,0.2870524768913344,0.6376200777577803,0.26678216791376747
BF77_2_RA,2877.777064962583,2877.777064962583,0.6426994871533086,0.26303972511140633,61.59417810450295,7.188906974510447,29.45819048032473,8.256543033911358,347.26329552988534,15.19761898649665,0.7135394477709345,0.2870524768913344,0.6376200777577803,0.26678216791376747
BF77_3_RA,2877.841236620799,2877.841236620799,0.6426994871533086,0.26303972511140633,61.59417810450295,7.188906974510447,29.45819048032473,8.256543033911358,347.26329552988534,15.19761898649665,0.7135394477709345,0.2870524768913344,0.6376200777577803,0.26678216791376747
BF77_50x50_051823_sp1,2872.271105164448,2872.271105164448,0.6426994871533086,0.26303972511140633,61.59417810450295,7.188906974510447,29.45819048032473,8.256543033911358,347.26329552988534,15.19761898649665,0.7135394477709345,0.2870524768913344,0.6376200777577803,0.26678216791376747
BF77_50x50_051823_sp2,2872.3525505741595,2872.3525505741595,0.6426994871533086,0.26303972511140633,61.59417810450295,7.188906974510447,29.45819048032473,8.256543033911358,347.26329552988534,15.19761898649665,0.7135394477709345,0.2870524768913344,0.6376200777577803,0.26678216791376747
BF77_50x50_051823_sp3,2873.372837280596,2873.372837280596,0.6426994871533086,0.26303972511140633,61.59417810450295,7.188906974510447,29.45819048032473,8.256543033911358,347.26329552988534,15.19761898649665,0.7135394477709345,0.2870524768913344,0.6376200777577803,0.26678216791376747
CD33_12-2-2_VG9764_44x44_s1_EP_105um,2905.5816300695833,2905.5816300695833,0.6353455242696043,0.29614761239911863,61.06933539983039,7.150329152917523,28.544456665008298,8.210831123422407,335.50319849348733,15.980342083149338,0.6791557883972144,0.2854218171054137,0.6116420420839113,0.2652944993411004
CD33_12-2-2_VG9764_44x44_s2_EP_105um,2905.6618751152605,2905.6618751152605,0.6353455242696043,0.29614761239911863,61.06933539983039,7.150329152917523,28.544456665008298,8.210831123422407,335.50319849348733,15.980342083149338,0.6791557883972144,0.2854218171054137,0.6116420420839113,0.2652944993411004
CD33_12-2-2_VG9764_44x44_s3_EP_105um,2905.559977922566,2905.559977922566,0.6353455242696043,0.29614761239911863,61.06933539983039,7.150329152917523,28.544456665008298,8.210831123422407,335.50319849348733,15.980342083149338,0.6791557883972144,0.2854218171054137,0.6116420420839113,0.2652944993411004
CD33_22-1-1_VG9812_44x44_s1_EP_73um,2861.908567524178,2861.908567524178,0.6452473155181329,0.23744804284987672,61.776013279793126,7.202292497106125,29.77475951519449,8.272351336078327,356.35359670509666,14.573588965542342,0.7254518906298646,0.28761587845630965,0.6466203375087458,0.26729731974053944
CD33_22-1-1_VG9812_44x44_s2_EP_73um,2862.4086621384818,2862.4086621384818,0.6452473155181329,0.23744804284987672,61.776013279793126,7.202292497106125,29.77475951519449,8.272351336078327,356.35359670509666,14.573588965542342,0.7254518906298646,0.28761587845630965,0.6466203375087458,0.26729731974053944
CD33_22-1-1_VG9812_44x44_s3_EP_73um,2862.1740452469303,2862.1740452469303,0.6452473155181329,0.23744804284987672,61.776013279793126,7.202292497106125,29.77475951519449,8.272351336078327,356.35359670509666,14.573588965542342,0.7254518906298646,0.28761587845630965,0.6466203375087458,0.26729731974053944
CI_ETNA_4_1_1_100x100_256s_sp3,2788.127982067976,2787.484456100483,0.6575956648102835,0.36751002687630613,62.6572988047847,7.267310373350378,31.309048508762743,8.34876098755928,310.15489065039355,17.589450862109054,0.7831869434990955,0.29033535208828537,0.6902411530469523,0.2697921948168151
CI_ETNA_4_1_1_50x50_256s_sp5,2776.9650104419197,2784.8369117190487,0.6575956648102835,0.36751002687630613,62.6572988047847,7.267310373350378,31.309048508762743,8.34876098755928,310.15489065039355,17.589450862109054,0.7831869434990955,0.29033535208828537,0.6902411530469523,0.2697921948168151
CI_IPGP_B6_1_50x50_256s_sp1,2901.9404703571986,2901.9404703571986,0.6193675585554158,0.2655674215873765,59.92900890196588,7.066812050434166,26.559185892786687,8.111077446577482,346.3654443448294,15.258312264943774,0.6044503623174862,0.2818554913403003,0.5551995266832948,0.26205831115805
CI_IPGP_B6_1_50x50_256s_sp2,2912.35768065317,2912.35768065317,0.6193675585554158,0.2655674215873765,59.92900890196588,7.066812050434166,26.559185892786687,8.111077446577482,346.3654443448294,15.258312264943774,0.6044503623174862,0.2818554913403003,0.5551995266832948,0.26205831115805
CI_IPGP_B6_2_50x50_256s_sp1,2916.2698494398733,2916.2698494398733,0.6193675585554158,0.2655674215873765,59.92900890196588,7.066812050434166,26.559185892786687,8.111077446577482,346.3654443448294,15.258312264943774,0.6044503623174862,0.2818554913403003,0.5551995266832948,0.26205831115805
CI_IPGP_NBO_2_2_1_100x100_256s_sp1,2883.486104885334,2883.486104885334,0.6600158242574253,0.2605215976021509,62.83002241653849,7.280080770320587,31.609754612435253,8.363696821136424,348.1577477672487,15.136993237602498,0.7945024667586713,0.29086621109012484,0.6987904195374885,0.27028080827556444
CI_LMT_BA17_3_50x50_256s_sp1,2825.097897754135,2825.097897754135,0.659039877977211,0.2995250627687461,62.760370408033275,7.274929944152024,31.4884927659633,8.357675392352025,334.3035102217087,16.05877494464313,0.7899394025990332,0.29065222167243354,0.6953428678318132,0.27008378545767636
CI_LMT_BA17_4_50x50_256s_sp1,2823.2842829879573,2823.2842829879573,0.659039877977211,0.2995250627687461,62.760370408033275,7.274929944152024,31.4884927659633,8.357675392352025,334.3035102217087,16.05877494464313,0.7899394025990332,0.29065222167243354,0.6953428678318132,0.27008378545767636
