,PH_3550_M,PH_3550_STD,H2Ot_3550_MAX,BL_H2Ot_3550_MAX,H2Ot_3550_SAT,PH_1635_BP,PH_1635_STD,PH_1515_BP,PH_1515_STD,P_1515_BP,P_1515_STD,STD_1515_BP,STD_1515_STD,PH_1430_BP,PH_1430_STD,P_1430_BP,P_1430_STD,STD_1430_BP,STD_1430_STD,PH_5200_M,PH_5200_STD,PH_4500_M,PH_4500_STD,STN_P5200,ERR_5200,STN_P4500,ERR_4500,AVG_BL_BP,AVG_BL_STD,PC1_BP,PC1_STD,PC2_BP,PC2_STD,PC3_BP,PC3_STD,PC4_BP,PC4_STD,m_BP,m_STD,b_BP,b_STD,PH_1635_PC1_BP,PH_1635_PC1_STD,PH_1635_PC2_BP,PH_1635_PC2_STD
BF73_100x100_051823_sp2,1.5618741652860895,0.0009867256660651717,1.679841,0.14285783906214797,-,0.09006527730089624,0.003066676675491893,0.9996703364807171,0.003739758069734404,1525.2457902135932,0.14724432771507603,33.13849633737659,0.2148260485036035,1.0534986286252142,0.004665963876106084,1426.352793120135,0.18642753186695724,39.99999999999999,0.10851944602317065,0.011431280490030357,0.00032572184021846133,0.009237046907205964,4.2332585599872735e-06,34.240377801065364,-,13.815249361414539,-,2.8508412205790368,0.007658008833904547,2.9999999999999996,0.017310371696229964,0.8675905846987441,0.02025670428404364,0.4125565871025419,0.022595961804353557,0.18769310763345923,0.02913513921184516,-0.0004466847366935238,6.9763523216943205e-06,1.8249083241882091,0.0027792431689940104,0.30738318795095515,0.014653103209004172,0.7765708865728824,0.0252862848839127
BF73_100x100_051823_sp3,1.5532328231463175,7.693893633050029e-05,1.690503,0.16083524134616728,-,0.07912527982405608,0.0031290664119937635,0.9759636283295643,0.0035038320524291284,1525.3524629430533,0.16817721166898728,33.40625531949012,0.24228340331864864,1.0280409471608012,0.004388643813608379,1426.2468005909068,0.20267184573317745,39.99999999999999,0.18398018101049593,0.009856454043293071,0.0005281922611689741,0.008632648977357757,5.074073574028758e-06,29.173687505493593,-,10.053494671027957,-,2.641242851549235,0.0076017233620162905,2.9999999999999996,0.016749673571536856,0.9572253544138032,0.020693962154527016,0.40947780811071055,0.021209728380147654,0.29788956130929967,0.02407766516106321,-0.0005784209039121902,7.23877810051094e-06,1.7922004058298844,0.0025683734577304747,0.34604934147531846,0.014472347308822056,0.7084857812028544,0.027060329977304964
BF76_100x100_051823_sp1,1.0225366260727065,4.126925532791638e-05,1.091113,0.08418424536286077,-,0.06755546342438837,0.0031489661332240477,0.5845963183651911,0.0037308621846691703,1524.7282820021044,0.31854682525127404,32.887853981375784,0.41654953269698475,0.5916382343747173,0.005646212535475879,1426.5180410107691,0.3695555660008391,38.640152320202574,0.49527704318549276,0.007716203237680581,0.0002364409248454187,0.005859554468076545,5.502655545596401e-06,33.89040375411332,-,13.052156797591303,-,2.435578123909181,0.008802636880795257,2.9999999999999996,0.04518193555090903,-0.07275042285348232,0.021585755886632838,0.3463313256937519,0.024353603808497232,-0.19446449660585766,0.03600255288536587,0.00013994807731653854,1.0472412436438875e-05,1.2289056457067877,0.003783348288401034,0.09964300337510545,0.014646426713991838,0.5003374695570665,0.026591181603981454
BF76_100x100_051823_sp2,1.0359584936108874,0.0008291356237345642,1.108027,0.08696573634953012,-,0.054751178483008804,0.0031026641205193967,0.5622843016711859,0.0037947989817817833,1524.9897121045947,0.3134282389818894,32.90216901906477,0.4297238502002741,0.5811796232905374,0.00569572260486193,1426.281277193466,0.36100691484799524,39.150753512695445,0.4710205660120332,0.00802852361035402,0.00014273110546015574,0.00640256568127407,2.683201887796358e-05,30.53968894842436,-,14.01944299163498,-,2.2209394185891274,0.008245389624448119,2.9999999999999996,0.03463915321053237,0.28563729428212287,0.02136238017643699,0.055641729540267734,0.024209759388814683,-0.002697378540019264,0.03610995727697474,-5.794287869840614e-05,9.340868648389982e-06,1.2277902599807795,0.003484104959786029,0.1604392348125679,0.01474752392968413,0.4415338086339748,0.027025333219994334
BF76_100x50_051823_sp3,1.0423294298395591,5.6814538456891645e-05,1.226421,0.19913031444777157,-,0.02740345879208563,0.003157350287894194,0.5369500841957814,0.0033074054329991715,1525.2095994306226,0.3360060030259453,33.65420136583498,0.4758304954457313,0.5674865570249518,0.003791714383110481,1425.6200545935808,0.39060157086721814,39.32462748459209,0.40960058333315885,0.007943936534310754,0.0004782628943974636,0.007019524772915449,0.00037971454386434437,20.532496273197555,-,8.457977271899495,-,1.8891488115709996,0.008208381728595797,2.9999999999999996,0.03343145947958872,0.59928035140858,0.020513662320485064,0.2674124599135074,0.02052712672131229,0.29999999999999993,0.01686191296708378,-0.0001822574109758827,9.0178267956016e-06,1.2390255475908147,0.002810672422472873,0.259042098847379,0.014600396640062137,0.3188395700409085,0.027993483647393246
BF77_50x50_051823_sp1,0.5330261874398089,3.268284406022143e-05,0.6175655,0.09432573735412286,-,0.013117761577130498,0.0030806566180506755,0.10279621653276566,0.003751216444027616,1523.7884129396743,1.5742624510423773,33.64954818816954,2.1068219365937817,0.1014492501657804,0.004752220185493769,1425.685802505983,1.6562677928635994,34.6009518829477,1.9303250890977515,0.004172380658791469,0.0005524485894808453,0.007336558963288951,0.00017690028734693514,9.447893349242593,-,13.840601198019215,-,1.3785383146220862,0.015852065584067015,2.9999999999999996,0.14455414787073273,-0.5093387401707375,0.02041536323808624,0.23412190595935897,0.029193954633402144,0.10995919389478011,0.03191180135277494,0.0002664352797605834,2.5390764272000327e-05,0.6254350663048228,0.007822137087776203,0.044520163296123356,0.01430234851381794,0.02980948136951209,0.025161749906610114
BF77_50x50_051823_sp2,0.5314798948112166,0.0010681222697343702,0.6305819,0.10620219589016418,-,0.017542614965270455,0.003122958732082944,0.09468363662091302,0.003706650780201556,1524.401414322044,1.7108222073301096,33.51914851069501,2.2321021730544275,0.09746197100285234,0.004754101124989234,1425.6955180150735,1.7649257271944412,36.22297951053931,1.868534607199186,0.0008408256019013031,3.558488581091219e-05,0.006528187968234195,0.0004262520083857064,2.0540188103594565,*,14.364070398316102,-,1.3745804552167475,0.018217473093794352,2.9999999999999996,0.17178463230192936,0.027542821229106174,0.02034012882031405,-0.033032767513884245,0.031561506500451204,-0.15783480265064506,0.03242506980123838,0.00033987373150655284,2.9965560709151762e-05,0.6027915124849029,0.009145825037611096,0.043683404381867574,0.014426944686522248,0.05182162454500846,0.024952103076918933
BF77_50x50_051823_sp3,0.512100256296799,0.00015528113521702581,0.6190756,0.11649836264227896,-,0.005012176866677356,0.0027289102134178786,0.08870227686288333,0.003687222362456984,1524.3438367921553,1.8281285809932597,33.66579373394806,2.3149932329638068,0.09214573264822648,0.004695177936432494,1425.302003912595,1.7191416536102413,34.92219876534778,2.033485516087189,0.004671936159383279,0.0001327031042379737,0.002609361591702199,1.4517144538184584e-05,10.44577219649544,-,5.493467916143295,-,1.3191945087406038,0.011230013767445646,2.9999999999999996,0.08852495112119875,-0.42076216160756313,0.01993315699492645,0.3572881532980844,0.025144880617076815,-0.025517830624164035,0.03073231217160609,0.0002894496846522966,1.622647434348514e-05,0.5924465931616942,0.005265752235569072,0.0714974152269748,0.014465773186352344,-0.0004697153463126762,0.025637479203215578
CD33_12-2-2_VG9764_44x44_s1_EP_105um,0.2752964487178101,5.064678085850331e-05,0.4704139,0.19518535748532728,-,1.278091493712665e-44,0.00023619579251134152,0.026926218538278292,0.003569558136190373,1531.135838936702,4.283945951540426,33.570185762626366,2.6825350920638047,0.038188124269881205,0.00470093109110665,1419.0800566705962,2.828149514236974,39.99999999995251,3.1470783219968697,0.005647878307649402,0.00018378269742745195,0.001057631216261098,5.298514523305568e-05,9.77506243430855,-,2.275453561816702,*,1.2027178317880816,0.008403682478311367,2.9999999999999996,0.0454730422822601,-0.1367567747237726,0.018981296432191666,0.26610780535826223,0.022002847373844822,0.24644913928170478,0.0283364076044871,2.7841398478004743e-05,9.875180680567743e-06,0.6925226801816058,0.0034430289606474877,0.20439958651474197,0.01396743377291845,-0.15310193470629127,0.016139706370105197
CD33_12-2-2_VG9764_44x44_s2_EP_105um,0.2728098643067247,5.3706083502124e-05,0.4526495,0.1793049438903842,-,9.796380885911813e-48,0.0002302907992333469,0.025476077061628962,0.0036139325271108027,1531.263540666091,4.456642133779644,33.387776986022125,2.8235389855633946,0.03788773724960762,0.004623033081674691,1418.894753893824,2.8321583290956855,39.9999999999994,3.3788660084127873,0.005498162832347287,0.0001370200788478466,0.0012017256151131133,0.0001413886014431716,10.584130634746991,-,3.0027551399525785,*,1.1862833751086934,0.008305733324453385,2.9999999999999996,0.04378460495597933,-0.13180904556027212,0.018793203680513248,0.261346635837867,0.021890562495159832,0.24966689971418152,0.028681669089298457,3.041686366359807e-05,9.635644946257916e-06,0.6671971824826931,0.0034054107586348613,0.20725280568429788,0.013909217622182874,-0.15427260405036733,0.015688197283587113
