,PH_3550_M,PH_3550_STD,H2OT_3550_MAX,BL_H2OT_3550_MAX,H2OT_3550_SAT?,PH_1635_BP,PH_1635_STD,H2Om_1635_MAX,BL_H2Om_1635_MAX,PH_1515_BP,PH_1515_STD,P_1515_BP,P_1515_STD,STD_1515_BP,STD_1515_STD,MAX_1515_ABS,BL_MAX_1515_ABS,PH_1430_BP,PH_1430_STD,P_1430_BP,P_1430_STD,STD_1430_BP,STD_1430_STD,MAX_1430_ABS,BL_MAX_1430_ABS,PH_5200_M,PH_4500_M,PH_5200_STD,PH_4500_STD,S2N_P5200,S2N_P4500,ERR_5200,ERR_4500,AVG_BL_BP,AVG_BL_STD,PCA1_BP,PCA1_STD,PCA2_BP,PCA2_STD,PCA3_BP,PCA3_STD,PCA4_BP,PCA4_STD,m_BP,m_STD,b_BP,b_STD,PH_1635_PCA1_BP,PH_1635_PCA1_STD,PH_1635_PCA2_BP,PH_1635_PCA2_STD
CI_Ref_10_1_100x100_256s_sp5,0.237556725,4.68E-06,0.1747792,-0.056719071,-,,,-0.00790702,0.051418313,0.495,,1526.722017,0.299366385,32.81971571,0.380304343,0.559142975,0.100726948,0.575,,1422.836594,0.34879778,40,0.282121643,0.64544703,0.170574171,0.001651964,0.001368631,9.32E-05,7.22E-06,6.907209119,5.681637094,-,-,0.736094692,0.056925237,1.263372858,0.91715965,0.066564384,0.054424463,0.243161999,0.16052983,-0.75,0.02381675,9.59E-05,0.000137997,0.243545541,0.055868664,-0.157907549,0.018175204,0.5,0.013422755
CI_Ref_11_1_100x100_256s_sp2,0.26023825,0.000225753,0.2432597,-0.011887864,-,,,0.02047576,0.060053039,0.381,,1525.773401,0.541588731,33.96017979,0.778590327,0.428782446,0.070951076,0.369,,1426.586259,0.65530138,38.1747805,0.81259591,0.396581748,0.081812252,0.002028871,0.000343516,0.000127833,4.94E-06,8.30892453,4.079891875,-,-,0.457517239,0.151167107,2.531312772,1.77829903,0.197391616,0.065587584,0.205054143,0.24212112,-0.298069168,0.11711118,0.000399212,0.000299299,0.01348366,0.0957291,-0.079139276,0.021464403,0.37033834,0.028906284
CI_Ref_11_1_100x100_256s_sp3,0.313707105,7.18E-05,0.3005452,-0.006805205,-,,,0.04193676,0.076004638,0.439,,1526.493988,0.44854579,33.87660507,0.640792255,0.520315937,0.094171006,0.439,,1426.892523,0.543551832,38.71218073,0.669581201,0.499071768,0.124153445,0.002430613,0.002916551,0.000148168,0.000141017,4.964144076,4.149642517,-,-,0.635033959,0.150042648,3.159206364,1.755078969,0.056652841,0.064931881,0.430936559,0.239168444,-0.436240184,0.115695685,0.000474879,0.000295931,0.0561449,0.094452034,-0.115358465,0.021354757,0.417445969,0.028786879
CI_Ref_11_1_100x100_256s_sp4,0.267663803,0.000210396,0.2740422,0.012344968,-,,,0.04474878,0.105339101,0.403,,1525.684497,0.511582545,33.28600027,0.702688468,0.48195728,0.119256617,0.387,,1426.593446,0.601459862,38.21859831,0.780491134,0.445605705,0.123641639,0.000432085,0.002480227,0.000130495,2.40E-05,3.222309032,19.67412292,*,-,0.471136933,0.151172131,1.926194578,1.785851433,0.336429891,0.065706637,-0.054956382,0.244056774,-0.301157138,0.116613962,0.000337959,0.000300276,0.097431139,0.096299236,-0.084024423,0.020993542,0.40028764,0.02699569
CI_Ref_14_1_100x100_256s_sp2,0.293354068,0.000238776,0.2709153,-0.017734265,-,,,0.03610025,0.063989157,0.177,,1527.989688,1.18785816,35.52722189,1.658749795,0.237931067,0.068289002,0.165,,1427.911199,1.379066307,38.33612015,1.315330731,0.227123556,0.084714094,0.003663855,0.00386616,0.000315557,1.52E-06,4.077804313,4.434663964,-,-,0.513256111,0.151030936,1.840424478,1.779663097,-0.095194218,0.066448999,0.24167598,0.241680901,-0.077677273,0.116726268,0.000220566,0.000299065,0.108791464,0.095729438,-0.042310331,0.02203922,0.113805967,0.032310183
CI_Ref_14_1_100x100_256s_sp3,0.295181339,0.000185126,0.2746656,-0.017394736,-,,,0.03227809,0.060252898,0.205,,1526.7363,0.902616874,33.17068164,1.301730701,0.265530529,0.069673008,0.196,,1428.854644,1.153058077,38.40972994,1.204501674,0.252517779,0.089983681,0.004048856,0.006972173,0.000310291,0.000241135,4.086661497,4.009645124,-,-,0.550040698,0.149379587,2.173919804,1.753671477,-0.087857412,0.064371698,0.289375279,0.238667635,-0.170272644,0.115245386,0.000286447,0.000294845,0.092555534,0.094178159,-0.05449756,0.021270309,0.182866273,0.027752985
CI_Ref_15_2_100x100_256s_sp1,0.14593825,4.30E-05,0.1346154,-0.008963309,-,,,0.01212872,0.027390953,0.082,,1525.680679,2.300933227,32.15892606,2.668834521,0.103137906,0.041942515,0.072,,1426.997705,2.592049503,32.82118164,2.846514111,0.092652449,0.047204356,0.001144322,0.001010768,2.38E-05,1.97E-05,7.88054426,7.288009892,-,-,0.157198678,0.122099653,-1.027809376,1.447590818,-0.168877776,0.061886878,-0.338072393,0.200472553,-0.023519882,0.097288711,-0.000156398,0.000241315,0.164781683,0.078522214,-0.015141729,0.020577513,0.07657746,0.022826577
CI_Ref_15_2_100x100_256s_sp2,0.150891075,0.000270093,0.1390995,-0.009332204,-,,,0.009165217,0.034649513,0.086,,1525.574312,2.126963519,33.0948519,2.491885078,0.11382046,0.041963479,0.079,,1425.378068,2.186105788,35.46966232,2.321891626,0.109052815,0.046364847,0.002665842,0.003543461,1.27E-05,7.36E-06,8.341950316,8.639847645,-,-,0.09974116,0.109938542,-1.425302497,1.335562152,0.003199679,0.060667781,-0.343335505,0.190352083,0.025123458,0.088893486,-0.000230419,0.000220626,0.178306396,0.073442505,-0.009582798,0.020265946,0.076210903,0.023273131
CI_Ref_15_2_100x100_256s_sp5,0.144497686,5.05E-06,0.1343519,-0.007830273,-,,,0.01213168,0.020001817,0.077,,1526.29313,2.139790356,33.01715362,2.53045035,0.096035272,0.026298857,0.068,,1424.526364,2.402731804,35.71423932,2.468218437,0.08873019,0.031968656,0.001533428,0.00213555,5.49E-05,5.86E-06,7.290773823,6.360704101,-,-,0.252459639,0.134485463,0.336632931,1.583109214,-0.137296699,0.062878725,-0.055722475,0.217550856,-0.061894473,0.105309847,8.33E-05,0.000265132,0.077501642,0.085411984,-0.013340374,0.020727006,0.077176363,0.023792199
CI_Ref_18_1_100x100_256s_sp1,0.311474417,5.23E-06,0.2839018,-0.022106947,-,,,0.04606133,0.08357411,0.190,,1525.051968,0.912471788,31.69959614,1.171937846,0.28439648,0.105626567,0.188,,1428.222473,1.098264934,36.9042253,1.420368766,0.282615494,0.131162037,0.002025706,0.002315513,4.86E-06,0.000228229,13.27463151,7.379988097,-,-,0.805630451,0.153550687,2.207201029,1.81406573,-0.20205864,0.066025765,0.027659581,0.247322363,-0.382104301,0.117083321,0.000381266,0.000304787,0.183329018,0.097625442,-0.065405796,0.020537016,0.226740047,0.023227895
CI_Ref_18_1_100x100_256s_sp2,0.288981466,9.69E-06,0.2643512,-0.019245803,-,,,0.03958234,0.060600607,0.183,,1524.397239,0.966618841,32.79215161,1.273893724,0.255523664,0.067623905,0.176,,1428.331758,1.259456679,38.12338189,1.347190343,0.252815863,0.09901773,0.003265541,0.005016605,0.000333727,0.000390053,12.91152217,10.39186683,-,-,0.397944402,0.149150825,0.278115821,1.749789331,-0.275602048,0.064585435,0.218027005,0.237486481,-0.018911532,0.115940282,-9.08E-05,0.000294281,0.209678169,0.093979223,-0.094901283,0.020849417,0.258062447,0.024362316
CI_Ref_18_1_100x100_256s_sp3,0.307936737,5.66E-05,0.2852645,-0.017900373,-,,,0.04149589,0.096817501,0.167,,1525.387786,0.973754367,30.99043225,1.284007913,0.259713174,0.113722503,0.160,,1426.989758,1.103670235,35.87276572,1.551354933,0.2579388,0.130457299,0.003088608,0.002412602,6.94E-05,5.62E-05,6.46252352,3.114844888,-,*,0.804386712,0.152263439,3.141881693,1.78754291,0.117831282,0.065033895,0.131519058,0.242932198,-0.390596825,0.117159511,0.000535425,0.000300733,0.112800944,0.095982721,-0.051965059,0.020387029,0.176852684,0.022779129
CI_Ref_18_1_100x100_256s_sp4,0.304748161,0.000714103,0.2813146,-0.018191872,-,,,0.0496884,0.068652331,0.155,,1525.558437,0.993027094,31.659507,1.281242039,0.253177385,0.087199091,0.157,,1429.100541,1.24356895,37.82837087,1.424826767,0.258751865,0.121566457,0.001341982,0.003301288,0.000166173,0.000334592,4.304783657,4.105358692,-,-,0.527042259,0.150302477,0.329293065,1.76033343,-0.407171416,0.065015646,0.094301818,0.23789238,-0.088639634,0.116488381,-7.46E-05,0.000296606,0.261409979,0.094435094,-0.052692852,0.020561775,0.200603978,0.023316973
CI_Ref_18_1_100x100_256s_sp5,0.27688302,7.00E-06,0.2529487,-0.018773972,-,,,0.02514799,0.066731542,0.198,,1527.349332,0.984570975,34.00017614,1.564268663,0.256136664,0.070799091,0.183,,1428.212645,1.33563672,39.90247606,1.018934375,0.241491323,0.084353983,0.001184431,0.002596871,0.000122594,1.84E-05,5.057568855,7.624511131,-,-,0.54168938,0.150147998,2.565581286,1.761164652,0.255822391,0.065026578,0.33683644,0.237983208,-0.214729274,0.116472112,0.000423649,0.000296189,0.044839405,0.094447172,-0.056488716,0.021932943,0.203913637,0.030910996
CI_Ref_23_1_100x100_256s_sp1,0.172242577,0.000669204,0.1605546,-0.007789873,-,,,0.01712304,0.048062095,0.128,,1525.63377,1.398037195,34.15789287,1.956493485,0.162912742,0.052175138,0.108,,1421.739366,2.097933581,40,1.092801814,0.14481041,0.055894605,0.001012405,0.001161413,5.06E-05,6.50E-06,8.444714034,7.797606563,-,-,0.427119097,0.146184887,3.569975838,1.706932936,0.095755222,0.063277515,0.351593082,0.231062577,-0.205264852,0.114653815,0.000477516,0.000287321,-0.079198669,0.091473496,-0.032040796,0.020893247,0.062214479,0.024383649
CI_Ref_23_1_100x100_256s_sp3,0.225484178,0.00114816,0.2014402,-0.017476627,-,,,0.03745619,0.064244649,0.136,,1528.519512,1.21536153,32.77742697,1.520706483,0.185342498,0.074191221,0.135,,1426.659201,1.06381873,31.64207129,1.461022152,0.187660122,0.082704699,0.001633171,0.0030118,0.000105526,2.17E-05,4.194414154,4.640415598,-,-,0.252828352,0.138486143,-0.684578462,1.621979129,-0.03337148,0.06130389,-0.255242027,0.220679302,-0.078750276,0.107615719,-6.29E-05,0.000272469,0.196272445,0.086978741,-0.104176033,0.020471343,0.10394499,0.024668931
CI_Ref_23_1_100x100_256s_sp4,0.231337892,1.44E-05,0.2170879,-0.011265834,-,,,0.04415881,0.067187304,0.142,,1519.58866,1.22033676,36.97793624,1.65984812,0.211915026,0.061908749,0.119,,1418.442282,1.624490272,38.42960498,1.304832868,0.19442637,0.068984109,0.007723458,0.01212444,6.23E-05,1.11E-05,4.620478623,5.378714533,-,-,0.558529665,0.149189284,3.439617607,1.749473461,-0.205824241,0.064330662,0.415406589,0.237584434,-0.03802138,0.116954835,0.000434873,0.000294213,0.001667484,0.093890147,0.034693001,0.020611602,0.100455881,0.023864617
CI_Ref_23_1_100x100_256s_sp5,0.1854235,4.88E-06,0.1672639,-0.013046757,-,,,0.01527726,0.02927009,0.082,,1522.772314,2.091311657,30.85446522,2.756983896,0.117391909,0.057596263,0.089,,1428.880652,1.75880395,27.98087264,1.819489498,0.123582064,0.07147603,0.001562239,0.002174233,0.000153749,8.45E-06,5.712262561,5.538714634,-,-,0.029041826,0.069393587,-5.337172205,0.653499186,-0.522805625,0.052384623,-1,0.085102806,0.170614721,0.063755297,-0.000823218,0.000117091,0.471424751,0.0345558,-0.006916894,0.019943891,0.111264019,0.021650122
