Wavenumber,1635_Peak_Mean,1635_Peak_PC1,1635_Peak_PC2
1540.87,0.018276227310432897,-0.005564437243459264,0.040630795467196085
1542.799,0.02029107720679039,-0.005616000371772063,0.046217772242526566
1544.727,0.022341773708028166,-0.005400669865317045,0.052493607727412954
1546.656,0.024384400508939703,-0.005027149938719679,0.05943786799902865
1548.584,0.02640659109543535,-0.0045849763130393515,0.06700496159014399
1550.513,0.028427041312013995,-0.004136481664273573,0.07510960955191323
1552.441,0.030485491262544736,-0.003773815700284334,0.08360575377059883
1554.37,0.03264262524407416,-0.0035811638977984576,0.09232982994721478
1556.298,0.03498156943971471,-0.00356329935737469,0.10118762487106761
1558.227,0.03759589777903836,-0.0036275692706470206,0.11016894869391271
1560.155,0.040563724778580515,-0.003661237644350713,0.11927204576139026
1562.084,0.04393558311592551,-0.003591518860620036,0.12845394619242675
1564.012,0.04774081680034364,-0.0033786032612581948,0.13766219630898277
1565.941,0.05199912761924984,-0.0029866190374294036,0.14683634252589053
1567.869,0.05671152195385709,-0.0024407002849059977,0.15587052001637494
1569.798,0.06185324932482285,-0.0018596510231175688,0.16461018379767894
1571.726,0.06739533200390102,-0.0014228981174368037,0.17290347883124152
1573.655,0.07333683253738757,-0.0012783267985885098,0.18060597439948792
1575.583,0.07972429228831392,-0.0015124149567065856,0.18754817219505257
1577.512,0.0866446238099641,-0.002196641009809595,0.19351300266797744
1579.44,0.09421730506585697,-0.0034347167132030604,0.1981978189697319
1581.369,0.10260217776489462,-0.005321948567315518,0.20172252862850507
1583.297,0.11199249237154434,-0.007902951268503064,0.20392826239653244
1585.226,0.12257899148012469,-0.01113717841547467,0.2046968435548219
1587.154,0.13454942808671236,-0.014882012298466269,0.2038166912249785
1589.083,0.1481036782734726,-0.018906823262595174,0.2017882745160121
1591.011,0.1634419542158689,-0.02298979323598053,0.19905924660231702
1592.94,0.18075521776939332,-0.026987242042705063,0.1955738338262176
1594.868,0.20024123625449133,-0.030813560389753393,0.19149176953645658
1596.797,0.22213025029827738,-0.03433399878469819,0.18678857760316525
1598.725,0.24668464975500723,-0.037349224573037854,0.18160595675777078
1600.654,0.2741662416697573,-0.03968325430008635,0.17593240804264876
1602.582,0.30481299261928696,-0.04124237126707142,0.16969524816185597
1604.511,0.33883106259063106,-0.04195167070389064,0.16281514006657397
1606.439,0.376366837585338,-0.04168044716564169,0.15524840054716182
1608.368,0.41745544359334646,-0.04022695101809911,0.14696275419881183
1610.296,0.4619773127361784,-0.03737905045621556,0.13790637019895532
1612.225,0.5096155618694818,-0.032980934179231404,0.12804729369091403
1614.153,0.5598509257142944,-0.027037910282032313,0.1174677010745087
1616.082,0.6119449595001197,-0.019795361094235527,0.1063732967766099
1618.01,0.6649321111911585,-0.011712083205211278,0.09502066803399914
1619.939,0.7176675193274926,-0.003323478692843259,0.08366595324710144
1621.867,0.7689103379400423,0.004838345751257757,0.0725399646131603
1623.796,0.8173830748274721,0.012169937885277786,0.06182148436216769
1625.724,0.8616627013932883,0.017886606177707258,0.051610948684362945
1627.653,0.9008699519731516,0.02111686068156231,0.04193050452849937
1629.581,0.9339291974128209,0.021129824015552155,0.032762137484450775
1631.51,0.9600330724539734,0.017497754602953816,0.024063206433265972
1633.438,0.9786683324875058,0.010097125103120651,0.015756866111202993
1635.367,0.9894351809755181,-0.0009697716129946684,0.007749001111857783
1637.295,0.9922648753754872,-0.01542002735528076,-2.212387108444239e-05
1639.224,0.987538646502628,-0.03279866089331553,-0.007563782891152644
1641.152,0.9758484842515207,-0.05252329975461011,-0.014827655183331657
1643.081,0.9576312202543527,-0.07390319942139785,-0.02171772860684064
1645.009,0.9337307225254359,-0.09613125411911508,-0.028074740115317427
1646.938,0.9048299050760292,-0.1182898653750389,-0.033670897147138105
1648.866,0.871817927325161,-0.13945324462120987,-0.03833146190969685
1650.795,0.8354163072164963,-0.1588938209471684,-0.041833951776161386
1652.723,0.7966813958068525,-0.17621954033245754,-0.043929042920564085
1654.652,0.7562202697848452,-0.1912668810242973,-0.04467437564988295
1656.58,0.7147047082670646,-0.20387633955728135,-0.044287276695439
1658.509,0.6726848872938637,-0.2138003437328942,-0.043006330972803805
1660.437,0.6305987796967286,-0.2208604852866271,-0.04077446771792844
1662.366,0.5888075325195214,-0.22513121362328697,-0.03775571993264339
1664.294,0.5476136428581773,-0.22692805610349095,-0.03418839688736753
1666.223,0.5072651230276827,-0.22665979414420376,-0.030568800820556175
1668.151,0.46798481776151635,-0.22468938766298754,-0.02696348668867495
1670.08,0.42998932962440495,-0.22124464771582525,-0.02353428718260944
1672.008,0.39350602682320024,-0.21645165758628485,-0.020365560752564873
1673.937,0.35874041975125315,-0.21045259912988873,-0.017434300869454328
1675.865,0.32584427582793557,-0.20350314330523503,-0.014625241885658525
1677.794,0.29491248379358315,-0.19591191874306998,-0.011767188125841108
1679.722,0.26600784149215045,-0.18786298656356532,-0.00867939849498047
1681.651,0.23914957505739484,-0.179389053894773,-0.005259551331681692
1683.579,0.21430714096337591,-0.17052010371343795,-0.001542429155985082
1685.508,0.1914060930540224,-0.16135950185197856,0.0023150471444090674
1687.436,0.17035530733099208,-0.1520643593569712,0.0060798929518338755
