Wavenumber,Average_1630_Peak,1630_Peak_PCA_1,1630_Peak_PCA_2
1645.009,0.935285487,-0.089713198,-0.046270391
1646.938,0.905924537,-0.109660041,-0.058420381
1648.866,0.872873863,-0.127033086,-0.069205566
1650.795,0.835757008,-0.142665048,-0.078223073
1652.723,0.796383315,-0.158326373,-0.085364341
1654.652,0.756321957,-0.172650008,-0.090476064
1656.58,0.716215762,-0.184069802,-0.093217779
1658.509,0.674102162,-0.193384349,-0.093762178
1660.437,0.631792973,-0.200869789,-0.092422717
1662.366,0.589526073,-0.205985336,-0.089387148
1664.294,0.547073501,-0.208845718,-0.085011905
1666.223,0.506744413,-0.210032124,-0.079756873
1668.151,0.468538983,-0.211509276,-0.073799016
1670.08,0.428692236,-0.211384522,-0.067318212
1672.008,0.392493106,-0.210446217,-0.060466966
1673.937,0.356957878,-0.207564533,-0.053629079
1675.865,0.323953715,-0.201827748,-0.046777964
1677.794,0.292773405,-0.194314994,-0.039999059
1679.722,0.262839964,-0.187519317,-0.033516708
1681.651,0.235735691,-0.18083523,-0.027279571
1683.579,0.212565842,-0.174564773,-0.021238722
1685.508,0.189567999,-0.167189268,-0.015286356
1687.436,0.168190596,-0.159195386,-0.009572694
1689.365,0.148960894,-0.150929607,-0.004586456
1691.293,0.131072685,-0.141779387,-0.000412942
1693.222,0.113962763,-0.133406202,0.00308468
1695.15,0.099140488,-0.125673513,0.006039614
1697.079,0.086395308,-0.117811588,0.008441665
1699.007,0.075070378,-0.11075068,0.010114431
1700.936,0.063516083,-0.101592741,0.011211556
1702.864,0.05375356,-0.091829594,0.011843121
1704.793,0.044986046,-0.084454194,0.01170775
1706.721,0.037667848,-0.076370718,0.011172075
1708.65,0.031387647,-0.067557353,0.010545606
1710.578,0.026377164,-0.059588271,0.009915417
1712.507,0.021563492,-0.051866226,0.009380165
1714.435,0.01802187,-0.043897497,0.009031418
1716.364,0.014967281,-0.03542834,0.008890641
1718.292,0.013155554,-0.02710743,0.008340979
1720.221,0.011204138,-0.020001136,0.007689467
1722.149,0.008762245,-0.014179589,0.00691968
1724.078,0.006878637,-0.009124586,0.006019568
1726.006,0.005208335,-0.005930859,0.00498447
1727.935,0.003569386,-0.003733787,0.003820041
1729.863,0.002354078,-0.001901385,0.002545098
1731.792,0.000907306,-0.001085398,0.001194366
1733.72,0.000588212,0.000784562,-0.000178853
1735.649,0.000499744,0.002652087,-0.001500103
1737.577,-0.00048896,0.002874774,-0.002671288
1739.506,-0.000881778,0.002555175,-0.003568269
1741.434,-0.000904635,0.001952353,-0.004038551
1743.363,-0.00104978,0.000892063,-0.003899059
1745.291,-0.001015075,-4.25E-05,-0.002933998
1747.22,-0.001028412,-0.001651577,-0.00089281
1749.148,-0.001244337,-0.002852395,0.002511796
1751.077,0,0,0
1753.005,0,0,0
1754.934,0,0,0
1756.862,0,0,0
1758.791,0,0,0
1760.719,0,0,0
1762.648,0,0,0
1764.576,0,0,0
1766.505,0,0,0
1768.433,0,0,0
1770.362,0,0,0
1772.29,0,0,0
1774.219,0,0,0
1776.147,0,0,0
1778.076,0,0,0
1780.004,0,0,0
1781.933,0,0,0
1783.861,0,0,0
1785.79,0,0,0
1787.718,0,0,0
1789.647,0,0,0
1791.575,0,0,0
1793.504,0,0,0
1795.432,0,0,0
1797.361,0,0,0
1799.289,0,0,0
1801.218,0,0,0
1803.146,0,0,0
1805.075,0,0,0
1807.003,0,0,0
1808.932,0,0,0
1810.86,0,0,0
1812.789,0,0,0
1814.717,0,0,0
1816.646,0,0,0
1818.574,0,0,0
1820.503,0,0,0
1822.431,0,0,0
1824.36,0,0,0
1826.288,0,0,0
1828.217,0,0,0
1830.145,0,0,0
1832.074,0,0,0
1834.002,0,0,0
1835.931,0,0,0
1837.859,0,0,0
1839.788,0,0,0
1841.716,0,0,0
1843.645,0,0,0
1845.573,0,0,0
1847.502,0,0,0
1849.43,0,0,0
1851.359,0,0,0
1853.287,0,0,0
1855.216,0,0,0
1857.144,0,0,0
1859.073,0,0,0
1861.001,0,0,0
1862.93,0,0,0
1864.858,0,0,0
1866.786,0,0,0
1868.715,0,0,0
1870.644,0,0,0
1872.572,0,0,0
1874.5,0,0,0
1876.429,0,0,0
1878.358,0,0,0
1880.286,0,0,0
1882.215,0,0,0
1884.143,0,0,0
1886.072,0,0,0
1888,0,0,0
1889.929,0,0,0
1891.857,0,0,0
1893.786,0,0,0
1895.714,0,0,0
1897.643,0,0,0
1899.571,0,0,0
1901.5,0,0,0
1903.428,0,0,0
1905.357,0,0,0
1907.285,0,0,0
1909.214,0,0,0
1911.142,0,0,0
1913.071,0,0,0
1914.999,0,0,0
1916.927,0,0,0
1918.856,0,0,0
1920.785,0,0,0
1922.713,0,0,0
1924.641,0,0,0
1926.57,0,0,0
1928.499,0,0,0
1930.427,0,0,0
1932.355,0,0,0
1934.284,0,0,0
1936.213,0,0,0
1938.141,0,0,0
1940.069,0,0,0
1941.998,0,0,0
1943.927,0,0,0
1945.855,0,0,0
1947.783,0,0,0
1949.712,0,0,0
1951.641,0,0,0
1953.569,0,0,0
1955.497,0,0,0
1957.426,0,0,0
1959.354,0,0,0
1961.283,0,0,0
1963.211,0,0,0
1965.14,0,0,0
1967.068,0,0,0
1968.997,0,0,0
1970.925,0,0,0
1972.854,0,0,0
1974.782,0,0,0
1976.711,0,0,0
1978.639,0,0,0
1980.568,0,0,0
1982.496,0,0,0
1984.425,0,0,0
1986.354,0,0,0
1988.282,0,0,0
1990.21,0,0,0
1992.139,0,0,0
1994.068,0,0,0
1995.996,0,0,0
1997.924,0,0,0
1999.853,0,0,0
2001.781,0,0,0
2003.71,0,0,0
2005.638,0,0,0
2007.567,0,0,0
2009.495,0,0,0
2011.424,0,0,0
2013.352,0,0,0
2015.281,0,0,0
2017.209,0,0,0
2019.138,0,0,0
2021.066,0,0,0
2022.995,0,0,0
2024.923,0,0,0
2026.852,0,0,0
2028.78,0,0,0
2030.709,0,0,0
2032.637,0,0,0
2034.566,0,0,0
2036.494,0,0,0
2038.423,0,0,0
2040.351,0,0,0
2042.28,0,0,0
2044.208,0,0,0
2046.137,0,0,0
2048.065,0,0,0
2049.994,0,0,0
2051.922,0,0,0
2053.851,0,0,0
2055.779,0,0,0
2057.708,0,0,0
2059.636,0,0,0
2061.565,0,0,0
2063.493,0,0,0
2065.422,0,0,0
2067.35,0,0,0
2069.279,0,0,0
2071.207,0,0,0
2073.136,0,0,0
2075.064,0,0,0
2076.993,0,0,0
2078.921,0,0,0
2080.85,0,0,0
2082.778,0,0,0
2084.707,0,0,0
2086.635,0,0,0
2088.564,0,0,0
2090.492,0,0,0
2092.421,0,0,0
2094.349,0,0,0
2096.278,0,0,0
2098.206,0,0,0
2100.135,0,0,0
2102.063,0,0,0
2103.992,0,0,0
2105.92,0,0,0
2107.849,0,0,0
2109.777,0,0,0
2111.706,0,0,0
2113.634,0,0,0
2115.563,0,0,0
2117.491,0,0,0
2119.42,0,0,0
2121.348,0,0,0
2123.277,0,0,0
2125.205,0,0,0
2127.134,0,0,0
2129.062,0,0,0
2130.991,0,0,0
2132.919,0,0,0
2134.848,0,0,0
2136.776,0,0,0
2138.705,0,0,0
2140.633,0,0,0
2142.562,0,0,0
2144.49,0,0,0
2146.419,0,0,0
2148.347,0,0,0
2150.276,0,0,0
2152.204,0,0,0
2154.133,0,0,0
2156.061,0,0,0
2157.99,0,0,0
2159.918,0,0,0
2161.847,0,0,0
2163.775,0,0,0
2165.704,0,0,0
2167.632,0,0,0
2169.561,0,0,0
2171.489,0,0,0
2173.418,0,0,0
2175.346,0,0,0
2177.275,0,0,0
2179.203,0,0,0
2181.132,0,0,0
2183.06,0,0,0
2184.989,0,0,0
2186.917,0,0,0
2188.846,0,0,0
2190.774,0,0,0
2192.703,0,0,0
2194.631,0,0,0
2196.56,0,0,0
2198.488,0,0,0
2200.417,0,0,0
2202.345,0,0,0
2204.274,0,0,0
2206.202,0,0,0
2208.131,0,0,0
2210.059,0,0,0
2211.988,0,0,0
2213.916,0,0,0
2215.845,0,0,0
2217.773,0,0,0
2219.702,0,0,0
2221.63,0,0,0
2223.559,0,0,0
2225.487,0,0,0
2227.416,0,0,0
2229.344,0,0,0
2231.273,0,0,0
2233.201,0,0,0
2235.13,0,0,0
2237.058,0,0,0
2238.987,0,0,0
2240.915,0,0,0
2242.844,0,0,0
2244.772,0,0,0
2246.701,0,0,0
2248.629,0,0,0
2250.558,0,0,0
2252.486,0,0,0
2254.415,0,0,0
2256.343,0,0,0
2258.272,0,0,0
2260.2,0,0,0
2262.129,0,0,0
2264.057,0,0,0
2265.986,0,0,0
2267.914,0,0,0
2269.843,0,0,0
2271.771,0,0,0
2273.7,0,0,0
2275.628,0,0,0
2277.557,0,0,0
2279.485,0,0,0
2281.414,0,0,0
2283.342,0,0,0
2285.271,0,0,0
2287.199,0,0,0
2289.128,0,0,0
2291.056,0,0,0
2292.985,0,0,0
2294.913,0,0,0
2296.842,0,0,0
2298.77,0,0,0
2300.699,0,0,0
2302.627,0,0,0
2304.556,0,0,0
2306.484,0,0,0
2308.413,0,0,0
2310.341,0,0,0
2312.27,0,0,0
2314.198,0,0,0
2316.127,0,0,0
2318.055,0,0,0
2319.984,0,0,0
2321.912,0,0,0
2323.841,0,0,0
2325.769,0,0,0
2327.698,0,0,0
2329.626,0,0,0
2331.555,0,0,0
2333.483,0,0,0
2335.412,0,0,0
2337.34,0,0,0
2339.269,0,0,0
2341.197,0,0,0
2343.126,0,0,0
2345.054,0,0,0
2346.983,0,0,0
2348.911,0,0,0
2350.84,0,0,0
2352.768,0,0,0
2354.697,0,0,0
2356.625,0,0,0
2358.554,0,0,0
2360.482,0,0,0
2362.411,0,0,0
2364.339,0,0,0
2366.268,0,0,0
2368.196,0,0,0
2370.125,0,0,0
2372.053,0,0,0
2373.982,0,0,0
2375.91,0,0,0
2377.839,0,0,0
2379.767,0,0,0
2381.696,0,0,0
2383.624,0,0,0
2385.553,0,0,0
2387.481,0,0,0
2389.41,0,0,0
2391.338,0,0,0
2393.267,0,0,0
2395.195,0,0,0
2397.124,0,0,0
2399.052,0,0,0
