Wavenumber,Absorbance
1928.548,0.2238515
1930.477,0.2231455
1932.405,0.2223819
1934.334,0.2216394
1936.262,0.2208477
1938.191,0.2202644
1940.119,0.219737
1942.048,0.2187182
1943.976,0.2175668
1945.905,0.2161498
1947.833,0.2148401
1949.762,0.2134946
1951.691,0.2124932
1953.619,0.2116706
1955.548,0.2106097
1957.476,0.2094949
1959.405,0.2083493
1961.333,0.2073409
1963.262,0.2062783
1965.19,0.2048777
1967.119,0.2042067
1969.047,0.2037498
1970.976,0.2030981
1972.905,0.2028209
1974.833,0.2023883
1976.762,0.2020906
1978.69,0.2017505
1980.619,0.2014335
1982.547,0.2010878
1984.476,0.2009432
1986.404,0.2010912
1988.333,0.2012993
1990.262,0.2010277
1992.19,0.200619
1994.119,0.2001218
1996.047,0.1995257
1997.976,0.1993681
1999.904,0.1994021
2001.833,0.1988993
2003.761,0.1983639
2005.69,0.1978619
2007.619,0.1971745
2009.547,0.1963314
2011.476,0.1954514
2013.404,0.1944881
2015.333,0.1934178
2017.261,0.1921346
2019.19,0.1910447
2021.118,0.1904207
2023.047,0.1897933
2024.975,0.1887262
2026.904,0.1879172
2028.833,0.1874312
2030.761,0.1870729
2032.69,0.1863418
2034.618,0.1860718
2036.547,0.1862124
2038.475,0.1861308
2040.404,0.1859767
2042.332,0.1860626
2044.261,0.1862735
2046.189,0.1862369
2048.118,0.1862005
2050.046,0.1867065
2051.975,0.1872258
2053.904,0.1871434
2055.832,0.187108
2057.761,0.1872868
2059.689,0.1871214
2061.618,0.1869823
2063.546,0.1871612
2065.475,0.1871712
2067.403,0.1871947
2069.332,0.1867478
2071.26,0.1860991
2073.189,0.1856731
2075.118,0.1850915
2077.046,0.18442
2078.975,0.1838838
2080.903,0.1831886
2082.832,0.1824228
2084.76,0.1816495
2086.689,0.1810711
2088.617,0.1805796
2090.546,0.1801722
2092.475,0.1795267
2094.403,0.1789066
2096.332,0.1786997
2098.26,0.1787974
2100.189,0.1790604
2102.117,0.1789503
2104.046,0.1790839
2105.974,0.1796256
2107.903,0.1799782
2109.832,0.1803684
2111.76,0.1807721
2113.688,0.1810623
2115.617,0.181181
2117.546,0.1815513
2119.474,0.1821944
2121.403,0.1823519
2123.331,0.1826312
2125.26,0.1829698
2127.188,0.1832092
2129.117,0.1835858
2131.045,0.1836834
2132.974,0.1833493
2134.903,0.1830585
2136.831,0.1830765
2138.76,0.1831454
2140.688,0.1829572
2142.617,0.1825813
2144.545,0.182152
2146.474,0.1817011
2148.402,0.1814945
2150.331,0.1812892
2152.26,0.1806652
2154.188,0.1801916
2156.117,0.1800558
2158.045,0.1800383
2159.974,0.1798848
2161.902,0.1795757
2163.831,0.179518
2165.759,0.1798685
2167.688,0.1805904
2169.616,0.1810198
2171.545,0.1809651
2173.474,0.1813374
2175.402,0.1819081
2177.331,0.1824646
2179.259,0.1830385
2181.188,0.1834912
2183.116,0.1840061
2185.045,0.1849156
2186.973,0.1857163
2188.902,0.1862456
2190.831,0.1865777
2192.759,0.186945
2194.688,0.1875219
2196.616,0.1882425
2198.545,0.1883209
2200.473,0.1882623
2202.402,0.1884755
2204.33,0.188585
2206.259,0.1883563
2208.188,0.1879447
2210.116,0.1875321
2212.044,0.1872179
2213.973,0.1871896
2215.902,0.1871152
2217.83,0.1865566
2219.759,0.1856186
2221.687,0.1852951
2223.616,0.1852288
2225.544,0.1850448
2227.473,0.1851209
2229.401,0.1851854
2231.33,0.1853834
2233.259,0.185471
2235.187,0.1856575
2237.116,0.1863862
2239.044,0.1867884
2240.973,0.1871829
2242.901,0.1881068
2244.83,0.1888755
2246.758,0.1897379
2248.687,0.1904093
2250.615,0.1910744
2252.544,0.1919587
2254.473,0.1926589
2256.401,0.192833
2258.33,0.193453
2260.258,0.1940292
2262.187,0.1942807
2264.115,0.1947162
2266.044,0.1947025
2267.972,0.1947515
2269.901,0.194906
2271.83,0.1947598
2273.758,0.1947083
2275.687,0.1945999
2277.615,0.1941138
2279.544,0.193294
2281.472,0.1926506
2283.401,0.1924182
2285.329,0.1922016
2287.258,0.1918737
2289.187,0.1915814
2291.115,0.1915333
2293.043,0.1913326
2294.972,0.1911695
2296.901,0.19122
2298.829,0.1913848
2300.758,0.1919078
2302.686,0.1923976
2304.615,0.1926925
2306.543,0.1933818
2308.472,0.1943792
2310.4,0.1949578
2312.329,0.1961508
2314.258,0.1974068
2316.186,0.1981682
2318.115,0.1991508
2320.043,0.2002712
2321.972,0.2010668
2323.9,0.2018991
2325.829,0.2027174
2327.757,0.2038757
2329.686,0.204404
2331.615,0.2041832
2333.543,0.2044315
2335.472,0.2044851
2337.4,0.2041374
2339.329,0.2040227
2341.257,0.2045822
2343.186,0.2043812
2345.114,0.2029796
2347.043,0.2011801
2348.971,0.199868
2350.9,0.2005877
2352.829,0.2020072
2354.757,0.2018563
2356.686,0.2013982
2358.614,0.2014634
2360.543,0.2012477
2362.471,0.2008395
2364.4,0.2007871
2366.328,0.2003634
2368.257,0.1997915
2370.186,0.1995655
2372.114,0.1992646
2374.042,0.1986187
2375.971,0.19822
2377.9,0.1979736
2379.828,0.1976882
2381.757,0.1974309
2383.685,0.1975815
2385.614,0.19802
2387.542,0.1985471
2389.471,0.1988958
2391.399,0.1990326
2393.328,0.1995745
2395.257,0.1999785
2397.185,0.2003218
2399.114,0.2008355
2401.042,0.2009334
2402.971,0.200657
2404.899,0.2005977
2406.828,0.2005797
2408.756,0.200112
2410.685,0.1995657
2412.614,0.1991401
2414.542,0.1983924
2416.471,0.1979243
2418.399,0.1970174
2420.328,0.1957502
2422.256,0.1950998
2424.185,0.1945743
2426.113,0.1940808
2428.042,0.1937018
2429.97,0.1931137
2431.899,0.1925943
2433.828,0.1920006
2435.756,0.1915474
2437.685,0.191571
2439.613,0.1916617
2441.542,0.191761
2443.47,0.192173
2445.399,0.1922496
2447.327,0.1923071
2449.256,0.1927591
2451.185,0.1932703
2453.113,0.1939601
2455.042,0.1943314
2456.97,0.1946853
2458.899,0.1950428
2460.827,0.1952539
2462.756,0.1953806
2464.684,0.1958726
2466.613,0.1964499
2468.542,0.1967525
2470.47,0.1964318
2472.398,0.1960172
2474.327,0.1958951
2476.256,0.1955275
2478.184,0.1947629
2480.113,0.1943135
2482.041,0.1936565
2483.97,0.1927905
2485.898,0.1919928
2487.827,0.1912262
2489.755,0.1904925
2491.684,0.1895275
2493.613,0.1887485
2495.541,0.188168
2497.47,0.1875639
2499.398,0.1868976
2501.327,0.1864596
2503.255,0.1861799
2505.184,0.1861219
2507.112,0.1862968
2509.041,0.1866805
2510.969,0.1871402
2512.898,0.1874245
2514.827,0.1877681
2516.755,0.1883016
2518.684,0.1888558
2520.612,0.189541
2522.541,0.1903484
2524.469,0.19122
2526.398,0.1917404
2528.326,0.1925102
2530.255,0.1932244
2532.184,0.1937911
2534.112,0.1943329
2536.041,0.1949981
2537.969,0.1956066
2539.898,0.1956937
2541.826,0.1959157
2543.755,0.196618
2545.683,0.1966236
2547.612,0.1961073
2549.541,0.1957932
2551.469,0.1955882
2553.397,0.1950763
2555.326,0.1946687
2557.255,0.1942834
2559.183,0.1942308
2561.112,0.194446
2563.04,0.194176
2564.969,0.1936952
2566.897,0.1937474
2568.826,0.1942627
2570.754,0.1944844
2572.683,0.1944792
2574.612,0.1948375
2576.54,0.1955983
2578.469,0.1964907
2580.397,0.1973785
2582.326,0.1985694
2584.254,0.2000106
2586.183,0.2013186
2588.111,0.2026036
2590.04,0.2038862
2591.969,0.205303
2593.897,0.2069482
2595.826,0.2081944
2597.754,0.2094131
2599.683,0.2107667
2601.611,0.2120471
2603.54,0.213355
2605.468,0.2145545
2607.397,0.2155083
2609.325,0.2163853
2611.254,0.2174317
2613.183,0.2183134
2615.111,0.2187298
2617.04,0.2191567
2618.968,0.219533
2620.897,0.2197518
2622.825,0.2201093
2624.754,0.2204462
2626.682,0.2209414
2628.611,0.221518
2630.54,0.2218491
2632.468,0.2223717
2634.396,0.2229421
2636.325,0.2233013
2638.254,0.2236519
2640.182,0.2247308
2642.111,0.2257883
2644.039,0.2266486
2645.968,0.2279437
2647.896,0.2292609
2649.825,0.2305083
2651.753,0.2319694
2653.682,0.2333394
2655.611,0.2353611
2657.539,0.237664
2659.468,0.2394134
2661.396,0.2412019
2663.325,0.2432096
2665.253,0.2449057
2667.182,0.2464252
2669.11,0.2481527
2671.039,0.2497004
2672.968,0.2513571
2674.896,0.2533349
2676.825,0.2549604
2678.753,0.2564063
2680.682,0.2576267
2682.61,0.2584602
2684.539,0.2594226
2686.467,0.2606592
2688.396,0.2615196
2690.324,0.2622694
2692.253,0.2630979
2694.182,0.2639963
2696.11,0.2646917
2698.039,0.2656008
2699.967,0.2663474
2701.896,0.2671357
2703.824,0.2681949
2705.753,0.2692031
2707.681,0.2700333
2709.61,0.2710515
2711.539,0.2723428
2713.467,0.2734717
2715.396,0.2750945
2717.324,0.277207
2719.253,0.2790537
2721.181,0.2807562
2723.11,0.2827653
2725.038,0.2847575
2726.967,0.2870479
2728.896,0.2893199
2730.824,0.2908331
2732.752,0.2924654
2734.681,0.294811
2736.61,0.2969494
2738.538,0.2990616
2740.467,0.3012558
2742.395,0.3033505
2744.324,0.3054492
2746.252,0.3073034
2748.181,0.308663
2750.109,0.3101889
2752.038,0.3118573
2753.967,0.3129348
2755.895,0.313933
2757.824,0.315576
2759.752,0.3174817
2761.681,0.3185601
2763.609,0.3196135
2765.538,0.3206206
2767.466,0.3216187
2769.395,0.3231563
2771.323,0.3247257
2773.252,0.3259636
2775.181,0.3272531
2777.109,0.3288736
2779.038,0.3306956
2780.966,0.3321009
2782.895,0.3337192
2784.823,0.3360254
2786.752,0.3386102
2788.68,0.3406349
2790.609,0.3426947
2792.538,0.3450929
2794.466,0.3471919
2796.395,0.3493817
2798.323,0.3517561
2800.252,0.3542138
2802.18,0.3566263
2804.109,0.3588732
2806.037,0.3616004
2807.966,0.3641211
2809.895,0.3661453
2811.823,0.3686448
2813.751,0.3709482
2815.68,0.3731796
2817.609,0.3757948
2819.537,0.377916
2821.466,0.3796021
2823.394,0.3819255
2825.323,0.3832754
2827.251,0.3846175
2829.18,0.3868189
2831.108,0.3889149
2833.037,0.3901658
2834.966,0.3915583
2836.894,0.3941348
2838.823,0.3966806
2840.751,0.3986137
2842.68,0.4009028
2844.608,0.403448
2846.537,0.4057592
2848.465,0.407764
2850.394,0.4098533
2852.323,0.4119411
2854.251,0.4143269
2856.18,0.4170642
2858.108,0.4194744
2860.037,0.4218469
2861.965,0.4246615
2863.894,0.4275473
2865.822,0.4301462
2867.751,0.4332305
2869.679,0.4363823
2871.608,0.438618
2873.537,0.4409696
2875.465,0.4438124
