Wavenumber,Absorbance,Absorbance_Hat,BL_NIR_H2O,Subtracted_Peak
4410.59,0.4829093,0.48251689999999997,0.4750250294812004,0.0074918705187995704
4412.518,0.48376090000000005,0.4829093,0.475355790034017,0.007553509965982974
4414.446,0.48251689999999997,0.4833552,0.4756865505597503,0.007668649440249697
4416.375,0.4833552,0.48376090000000005,0.4760173110580718,0.0077435889419282256
4418.304,0.4841107,0.4841107,0.47634807152866043,0.007762628471339572
4420.232,0.4848547,0.4848547,0.4766788319712027,0.008175868028797328
4422.161,0.4865879,0.4865879,0.4770095923853928,0.009578307614607207
4424.089,0.48731260000000004,0.4865879,0.4773403527709329,0.009247547229067121
4426.018,0.48723,0.4865879,0.47767111312753424,0.008916786872465776
4427.946,0.4861491,0.48723,0.4780018734549172,0.009228126545082815
4429.875,0.486523,0.48723,0.47833263375281077,0.008897366247189231
4431.804,0.4883857,0.4883857,0.4786633940209529,0.009722305979047052
4433.732,0.4901985,0.48926980000000003,0.4789941542590908,0.010275645740909223
4435.661,0.4899675,0.4899675,0.47932491446698056,0.010642585533019444
4437.589,0.48926980000000003,0.4899675,0.4796556746443883,0.010311825355611703
4439.518,0.49002920000000005,0.4899675,0.4799864347910906,0.009981065208909401
4441.446,0.48942559999999996,0.49002920000000005,0.480317194906874,0.00971200509312603
4443.375,0.4910476,0.4910476,0.48064795499153473,0.010399645008465241
4445.304,0.49316689999999996,0.49312870000000003,0.480978715044878,0.01214998495512204
4447.232,0.4937904,0.49312870000000003,0.4813094750667195,0.011819224933280525
4449.16,0.49312870000000003,0.49316689999999996,0.48164023505688663,0.01152666494311333
4451.089,0.4926022,0.4937904,0.48197099501521823,0.01181940498478179
4453.018,0.49381499999999995,0.49381499999999995,0.482301754941565,0.011513245058434929
4454.946,0.495691,0.495691,0.4826325148357893,0.01305848516421071
4456.875,0.4969314,0.4959379,0.4829632746977648,0.012974625302235199
4458.803,0.4962614000000001,0.4959379,0.4832940345273783,0.012643865472621696
4460.731,0.4959379,0.4959471,0.48362479432452926,0.012322305675470713
4462.66,0.49553059999999993,0.4959471,0.4839555540891297,0.01199154591087026
4464.589,0.4959471,0.4959471,0.48428631382110365,0.01166078617889632
4466.518,0.4970532999999999,0.4966902,0.4846170735203872,0.012073126479612839
4468.446,0.496758,0.496758,0.4849478331869278,0.011810166813072176
4470.375,0.4966902,0.4970532999999999,0.48527859282068464,0.01177470717931528
